,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
166,8,-4,-5,-3,-4,-4,-5,-7,2,-4,-8,-2,-7,-7,-9,5,-9,-7
167,8,-4,-2,-4,-2,-5,-4,-4,4,-3,-7,-1,-6,-3,-6,8,-6,-8
168,11,0,2,1,2,-5,0,-6,5,0,-3,2,-4,-1,-6,9,-5,-6
169,14,5,6,2,2,-1,1,-5,5,4,-1,5,-4,-1,-3,10,-3,-2
170,13,2,9,4,4,0,3,-1,5,4,0,6,1,1,1,11,-1,-2
171,14,4,12,8,8,4,6,-3,6,5,5,8,1,4,0,12,1,1
172,10,6,11,9,10,3,8,-1,6,9,5,9,6,6,3,12,2,6
173,14,7,13,10,9,5,6,1,7,9,6,12,5,9,5,10,4,6
174,11,8,14,10,11,6,9,2,8,9,7,12,11,9,6,11,4,8
175,9,11,16,10,11,8,12,3,6,9,11,13,10,11,5,8,8,10
176,12,12,14,9,10,9,11,5,5,11,11,14,13,13,11,4,8,11
177,14,11,12,11,11,10,10,7,6,14,7,15,11,9,10,2,10,10
178,12,12,10,9,8,12,13,6,4,14,11,12,10,9,10,-1,10,10
179,9,10,8,8,10,12,11,6,3,10,9,9,10,8,9,-2,8,11
180,5,8,6,6,10,12,12,8,2,10,9,8,11,8,10,-5,10,11
181,2,9,4,5,8,9,10,5,1,11,9,6,11,5,7,-10,11,10
182,-1,6,1,5,6,6,7,5,0,5,8,5,9,7,6,-11,9,11
183,-6,7,-3,-1,4,6,5,6,-4,5,9,4,7,6,3,-14,7,9
184,-8,4,-7,0,3,3,2,2,-3,3,7,0,5,4,2,-11,7,4
185,-11,-1,-7,0,-2,3,0,1,-4,0,5,-2,2,2,1,-11,6,3
186,-11,-3,-7,-1,-3,0,-3,-1,-7,-2,5,-4,1,1,-1,-11,3,1
187,-12,-5,-10,-4,-2,-2,-5,0,-7,-4,4,-4,-1,-1,-2,-9,3,0
188,-14,-7,-12,-5,-6,-4,-11,-2,-10,-8,0,-5,-4,-4,-3,-9,3,-4
189,-12,-5,-11,-6,-7,-6,-12,-5,-9,-8,-1,-8,-5,-7,-4,-6,0,-5
190,-12,-7,-10,-7,-9,-7,-13,-3,-7,-9,-1,-10,-8,-8,-4,-5,-3,-6
191,-11,-8,-11,-8,-9,-8,-13,-5,-7,-11,-5,-11,-8,-8,-7,-2,-4,-6
192,-8,-11,-9,-5,-8,-9,-14,-7,-8,-12,-7,-10,-10,-6,-6,4,-5,-6
193,-7,-8,-11,-8,-10,-10,-13,-6,-5,-12,-6,-10,-11,-7,-6,8,-6,-8
194,-3,-9,-10,-10,-9,-9,-15,-5,-3,-10,-10,-11,-13,-9,-6,8,-6,-8
195,-2,-7,-11,-7,-10,-8,-12,-6,-2,-9,-10,-12,-12,-7,-8,11,-7,-8
196,-1,-5,-8,-4,-8,-7,-10,-5,1,-10,-11,-9,-11,-8,-10,12,-7,-6
197,1,-3,-6,-5,-6,-6,-7,-5,3,-5,-10,-8,-11,-5,-9,14,-4,-9
198,4,-4,-4,-6,-7,-3,-6,-3,3,-5,-9,-6,-9,-5,-6,14,-2,-10
199,3,-6,-1,-5,-6,-4,-6,-3,5,-5,-7,-7,-8,-7,-5,14,-5,-7
200,3,-4,-1,-5,-3,-5,-3,-1,8,-6,-6,-5,-8,-7,-5,15,-7,-7
201,5,-2,0,-4,-2,-2,0,1,6,-3,-6,-5,-6,-3,-4,15,-4,-7
202,7,-1,2,-2,-2,-2,1,1,8,-2,-6,-2,-6,-3,0,11,-5,-9
203,5,-1,3,-1,2,-1,1,3,9,-2,-6,1,-3,-2,-1,8,-6,-7
204,4,1,4,0,3,0,3,5,10,-1,-2,-1,1,-1,0,7,-6,-6
205,6,2,7,0,2,1,2,6,8,0,-3,1,3,-1,0,5,-5,-5
