,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
100,5,8,4,6,-1,4,2,13,-2,5,-2,4,-1,11,3,5,3,-2,0,-2
101,8,11,6,9,3,8,4,14,3,8,2,5,3,12,6,7,4,0,5,1
102,11,11,9,12,5,12,8,18,7,10,4,10,5,14,10,10,9,1,8,4
103,11,14,11,13,7,14,8,19,10,11,6,10,7,13,11,12,8,4,10,7
104,13,13,11,17,7,16,9,20,13,13,9,12,10,15,12,10,10,6,10,9
105,15,16,12,17,9,16,10,21,15,12,11,12,12,13,13,14,11,9,11,10
106,14,17,13,17,10,17,8,24,14,14,11,13,15,12,14,15,13,9,15,10
107,17,14,13,17,12,18,10,25,14,14,12,13,17,12,16,16,13,11,16,13
108,18,16,14,16,14,16,12,24,16,13,14,15,17,8,16,15,12,14,17,14
109,16,16,16,15,13,16,14,22,16,16,14,15,20,7,17,16,15,14,18,14
110,16,13,15,15,16,16,15,22,15,17,15,15,19,6,16,15,13,17,17,14
111,15,15,15,16,16,16,13,20,14,15,14,16,18,7,15,15,16,16,17,13
112,15,11,15,14,14,11,14,19,12,16,14,15,18,4,15,12,15,15,16,13
113,13,9,15,11,17,10,13,16,11,17,16,12,17,4,13,12,14,16,14,14
114,12,8,14,12,16,9,13,13,10,17,15,12,15,3,14,10,12,15,13,13
115,10,7,13,11,16,8,15,12,8,14,12,12,12,-1,11,10,12,13,11,12
116,8,7,15,9,16,6,15,9,8,12,11,10,11,-2,9,9,11,14,11,12
117,4,9,12,8,14,7,13,8,9,13,10,8,11,-2,8,6,11,14,9,10
118,5,6,9,6,16,8,11,5,9,13,11,5,8,-1,7,5,11,11,9,9
119,-1,3,10,4,15,4,10,5,5,11,10,7,8,-4,8,2,8,8,4,8
120,-2,4,9,4,10,7,10,1,4,11,7,7,6,-6,7,2,6,7,4,9
121,-3,3,6,2,10,4,8,-1,5,7,6,5,4,-6,5,0,4,7,4,9
122,-3,1,3,1,8,2,6,-3,4,6,4,5,2,-6,4,4,3,6,2,7
123,-4,0,2,-1,7,1,4,-6,3,3,3,2,1,-6,2,3,0,3,-1,4
124,-3,-1,2,-2,5,2,3,-4,4,2,1,2,1,-7,2,3,-1,0,-2,3
125,-5,-2,0,-5,4,2,2,-6,1,2,-1,1,-4,-8,2,0,-2,1,-3,0
126,-5,-2,0,-7,1,1,3,-8,0,1,-3,0,-4,-7,0,-1,-4,0,-3,2
