,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
50,7,16,5,-8,11,19,17,18,17,18,8,14,17,9,17,11,20,10,15,-7,17,17,11,15,4,19,9,4,16,10,10,3,12,10,9,3,13
51,10,19,8,-5,14,20,20,20,17,17,10,15,16,10,18,14,18,14,16,-5,15,16,14,17,6,19,14,1,19,11,12,4,13,15,10,7,14
52,13,19,12,-4,15,18,17,18,17,19,14,15,13,14,21,15,19,13,17,-2,19,18,16,19,5,18,15,-3,19,11,13,5,15,18,14,11,15
53,15,19,16,-5,15,16,18,20,18,16,18,14,10,16,20,16,14,11,18,-2,17,23,17,18,7,19,15,-2,16,7,13,6,15,18,15,12,15
54,17,17,16,-1,15,16,17,19,13,16,17,14,9,17,20,17,12,14,18,-1,18,20,19,17,7,20,15,-2,17,6,17,6,15,20,16,16,15
55,18,14,15,1,15,15,14,16,11,13,18,14,6,15,19,15,10,14,17,2,18,17,17,18,7,19,17,-5,15,4,14,4,13,20,15,16,16
56,18,15,16,5,14,10,13,13,8,13,19,14,3,17,16,15,8,12,12,0,17,16,16,17,5,15,19,-4,13,2,13,3,12,19,16,16,14
57,19,12,15,6,11,10,13,11,6,13,18,12,2,16,15,12,7,13,12,4,14,12,16,14,6,11,16,-1,10,-3,11,5,12,16,15,16,11
58,15,10,15,4,11,8,10,9,4,12,19,10,0,15,11,10,5,12,13,7,12,11,14,12,6,9,13,-2,8,-3,11,5,9,13,16,15,12
59,12,8,16,6,9,5,6,6,1,12,17,6,-2,15,8,9,2,6,9,6,6,7,11,10,4,6,11,-2,4,-2,9,3,4,14,12,13,10
60,12,4,16,7,8,2,6,5,-1,9,13,7,-4,12,5,7,-2,2,5,4,4,4,9,7,1,1,10,1,3,-2,8,1,5,12,9,8,5
61,10,0,11,8,6,1,3,0,-3,4,12,7,-5,10,2,5,-4,3,4,6,4,1,6,4,-1,-1,9,4,4,-2,4,2,4,8,7,5,5
62,8,0,9,5,4,-2,0,-1,-3,3,9,5,-6,12,-2,4,-6,2,4,4,1,0,6,0,0,-1,9,7,-1,-1,2,-1,2,4,5,6,5
63,5,-1,7,3,3,-4,0,-3,-4,0,6,6,-6,7,-5,4,-5,2,5,6,-1,-4,4,0,-3,-4,7,8,-2,1,1,-2,3,4,3,4,5
64,4,-4,7,6,2,-4,-1,-3,-4,-1,3,5,-7,5,-6,4,-6,2,5,3,-2,-4,2,-1,-5,-5,3,11,-3,0,0,-3,0,3,0,2,3
65,4,-4,4,2,4,-4,-3,-4,-4,-1,1,4,-6,7,-6,5,-6,-1,5,4,-6,-3,2,-4,-6,-5,2,15,-4,2,1,-6,1,3,1,2,2
66,3,-5,4,-2,1,-6,-2,-6,-4,-3,-2,5,-3,7,-9,5,-4,0,3,2,-5,-3,3,-6,-6,-4,4,14,-4,6,1,-7,-1,-1,2,3,2
67,4,-4,3,-3,3,-7,-3,-6,-2,-6,0,5,-3,3,-9,6,-5,1,1,0,-7,-4,2,-4,-7,-5,5,19,-3,8,2,-8,-2,1,1,-1,2
68,5,-4,0,-3,6,-5,-3,-5,-3,-5,-3,3,-6,2,-9,4,-6,0,1,0,-7,-4,2,-4,-10,-5,3,19,-4,10,4,-9,-1,2,3,0,1
69,4,-4,3,-2,8,-6,-4,-5,-4,-5,-2,5,-5,4,-10,5,-6,3,1,1,-5,-5,3,-4,-11,-5,3,16,-3,14,2,-9,-1,0,1,-2,4
70,4,-4,2,-1,7,-4,-3,-4,-2,-5,-2,5,-4,3,-6,4,-3,4,0,1,-6,-4,3,-4,-12,-5,6,17,-4,14,3,-9,-2,1,2,-1,5
71,6,-4,4,0,8,-5,-6,-7,-4,-4,-2,4,-6,2,-6,4,-3,5,1,1,-9,-5,3,-4,-12,-6,7,18,-2,16,5,-10,-1,3,4,1,5
72,3,-3,5,0,6,-8,-4,-8,-4,-6,-3,3,-5,3,-5,3,-4,5,2,2,-8,-4,2,-3,-11,-5,6,16,-2,19,4,-10,1,3,6,0,5
73,2,-4,4,3,9,-7,-3,-6,-2,-5,-2,4,-6,6,-3,6,-6,7,2,4,-7,-3,3,-2,-14,-4,6,13,-3,18,8,-9,-1,3,7,2,6
74,5,-5,6,6,7,-5,-5,-5,-2,-4,-2,3,-5,6,0,7,-4,5,3,5,-6,-2,5,-4,-17,-6,9,9,-5,19,7,-10,-3,5,6,3,7
75,5,-4,7,7,6,-7,-5,-6,-4,-5,-3,1,-6,6,1,5,-6,6,4,6,-4,-4,5,-2,-13,-5,8,6,-6,17,8,-11,-3,6,7,5,6
76,3,-4,8,9,5,-6,-4,-5,-7,-6,-2,3,-11,5,3,7,-8,6,2,10,-6,-5,5,-4,-13,-6,8,0,-9,13,10,-12,-5,4,9,6,6
77,3,-4,6,11,4,-11,-5,-7,-9,-7,-1,1,-11,6,7,6,-8,6,3,11,-9,-8,5,-4,-9,-6,9,-4,-10,11,7,-10,-9,6,7,7,6
78,5,-6,6,16,3,-9,-6,-8,-10,-8,-2,3,-10,6,8,7,-11,4,3,12,-8,-9,4,-6,-9,-7,9,-3,-11,8,6,-8,-9,6,6,6,3
79,4,-7,6,19,3,-9,-7,-9,-12,-9,-5,2,-11,5,7,3,-12,4,0,17,-9,-9,4,-7,-7,-9,6,-11,-13,1,4,-10,-10,5,8,6,1
80,4,-9,4,22,3,-10,-6,-13,-13,-9,-4,1,-14,7,7,2,-11,5,0,18,-9,-10,4,-9,-4,-11,5,-17,-13,-3,4,-12,-14,3,8,7,1
81,4,-13,4,20,2,-12,-11,-13,-15,-10,-6,0,-12,3,8,2,-12,2,0,20,-10,-12,4,-11,-4,-13,6,-19,-13,-8,3,-9,-15,5,4,6,1
82,3,-13,2,20,0,-11,-12,-16,-16,-13,-9,-1,-12,1,8,0,-12,2,-2,22,-9,-14,4,-13,0,-15,3,-20,-16,-11,1,-5,-16,3,4,4,-2
83,1,-13,1,18,0,-13,-13,-16,-15,-14,-9,0,-13,0,7,-1,-12,2,1,21,-10,-17,3,-16,1,-15,-1,-22,-16,-15,0,-3,-16,4,3,3,-4
84,-1,-14,0,18,-1,-10,-15,-15,-16,-14,-13,-1,-15,-1,5,-1,-14,-2,0,20,-12,-18,1,-16,3,-14,-2,-25,-13,-18,0,-3,-18,3,-2,3,-2
85,-1,-13,-2,14,0,-13,-14,-14,-16,-15,-15,-1,-12,-1,2,-2,-11,-4,-1,17,-11,-19,-1,-18,5,-13,-2,-23,-14,-21,-3,1,-16,2,-1,3,-3
86,1,-15,-3,11,-5,-11,-16,-15,-14,-13,-15,-3,-6,-5,2,-1,-9,-4,-1,19,-12,-19,-3,-18,7,-13,-4,-22,-15,-21,-3,3,-16,0,-3,1,-5
87,-1,-14,-2,7,-4,-9,-18,-10,-10,-11,-16,-5,-6,-4,-3,-5,-7,-3,-3,14,-13,-13,-1,-15,5,-11,-5,-21,-12,-21,-6,4,-15,-1,-3,-1,-9
88,-1,-12,-1,2,-4,-8,-17,-10,-10,-8,-16,-6,-6,-6,-4,-4,-3,-5,-7,9,-12,-11,-3,-14,7,-10,-6,-16,-11,-24,-8,5,-14,-3,-6,-2,-5
89,-1,-9,-5,-4,-5,-6,-14,-6,-5,-10,-15,-7,0,-6,-6,-8,-2,-6,-4,5,-9,-10,-5,-13,5,-7,-8,-13,-11,-21,-9,6,-11,-5,-3,-5,-7
90,-6,-7,-7,-8,-9,-2,-11,-3,-2,-6,-11,-8,4,-10,-11,-7,1,-8,-4,-1,-6,-7,-7,-10,4,-3,-11,-11,-7,-17,-7,7,-7,-4,-7,-6,-10
91,-6,-3,-8,-14,-9,1,-11,2,2,-2,-9,-8,7,-9,-15,-9,2,-7,-4,-4,-3,-4,-6,-7,6,-1,-9,-5,-2,-14,-8,6,-2,-8,-7,-7,-9
92,-7,-2,-10,-15,-11,3,-9,4,6,0,-8,-9,7,-11,-15,-12,5,-10,-8,-7,-2,1,-7,-5,5,1,-11,-2,-1,-13,-8,7,0,-8,-9,-9,-10
93,-5,0,-8,-19,-12,5,-2,6,9,3,-5,-11,10,-9,-17,-11,9,-12,-8,-9,4,3,-8,0,1,4,-11,4,4,-7,-12,4,6,-6,-8,-9,-10
94,-8,5,-7,-22,-12,9,3,7,8,8,-2,-11,9,-7,-21,-11,10,-11,-9,-15,4,8,-9,3,1,9,-8,6,7,-5,-10,4,9,-9,-8,-8,-10
