,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
104,12,17,16,13,13,15,20,14,10,15,14,18,14,16,17,15,14,16,14,15,17
105,8,16,13,10,8,11,14,1,6,0,8,15,2,16,1,13,6,8,11,16,16
106,-2,11,6,-1,-1,3,-5,-18,-6,-18,2,11,-22,10,-18,8,-5,-11,1,10,14
107,-14,2,-8,-14,-14,-5,-21,-34,-20,-34,-9,3,-34,0,-34,-4,-17,-30,-16,-4,7
108,-26,-9,-20,-24,-24,-19,-34,-37,-27,-39,-22,-14,-34,-16,-33,-15,-30,-36,-27,-15,-4
109,-24,-22,-25,-26,-29,-23,-32,-26,-22,-28,-24,-23,-23,-25,-23,-24,-27,-30,-25,-25,-17
110,-14,-29,-19,-18,-20,-18,-25,-16,-11,-18,-21,-23,-16,-22,-15,-22,-17,-19,-16,-22,-22
111,-3,-21,-11,-6,-8,-5,-16,-10,-3,-11,-9,-13,-7,-17,-7,-14,-8,-14,-5,-12,-24
112,3,-10,0,2,3,3,-8,2,3,2,-1,-5,8,-5,3,-3,2,-3,0,-4,-13
113,6,-1,8,6,6,6,3,19,8,17,6,4,17,4,16,5,6,12,3,4,-2
114,12,1,11,10,10,11,16,23,11,25,12,10,24,5,23,6,13,22,8,6,3
115,21,8,18,17,21,19,17,19,23,19,19,10,21,11,18,12,19,21,17,14,7
116,24,17,27,26,25,27,13,18,22,17,25,19,16,18,12,23,23,19,22,24,13
117,11,22,19,14,13,16,10,15,7,17,20,27,13,20,11,24,10,13,8,24,22
118,-8,16,3,-3,-3,-3,9,13,-11,12,3,15,8,1,7,9,-10,8,-9,6,17
119,-10,-2,-12,-11,-8,-10,3,2,-5,0,-9,-7,-1,-15,-3,-7,-8,2,-10,-8,-2
120,-3,-9,-5,-3,1,-4,-9,-10,0,-12,-4,-14,-18,-10,-16,-8,0,-9,-1,-4,-15
121,-10,-3,-4,-9,-3,-6,-22,-21,-19,-23,-2,-1,-26,-4,-25,-2,-10,-23,-11,-1,-7
122,-29,-3,-22,-30,-20,-26,-27,-23,-30,-23,-21,-7,-21,-18,-27,-15,-29,-25,-28,-14,-6
123,-21,-20,-30,-26,-23,-32,-24,-14,-14,-18,-32,-28,-12,-35,-20,-32,-19,-17,-22,-29,-22
124,1,-29,-13,-2,-1,-7,-13,-2,9,-7,-11,-26,-3,-20,-4,-23,4,-10,4,-18,-30
125,11,-6,8,11,14,12,-1,1,13,0,11,-4,4,4,2,2,11,3,10,9,-12
126,6,12,8,7,6,8,5,4,6,4,7,9,8,9,5,9,6,8,4,12,10
127,11,11,4,13,4,7,10,9,20,10,5,4,13,7,9,5,13,11,13,7,12
128,28,8,18,29,21,23,14,18,32,15,19,9,19,16,20,15,29,21,28,14,5
129,23,22,27,29,24,33,25,23,21,19,31,24,23,31,24,27,27,29,25,28,21
130,2,31,18,13,3,14,24,11,-4,8,18,26,9,25,9,23,3,24,4,23,32
131,-14,17,-4,-6,-17,-7,7,-5,-17,-7,-7,6,-8,1,-9,4,-13,1,-14,-3,21
132,-12,-6,-14,-12,-19,-10,-8,-10,-12,-14,-12,-12,-8,-11,-10,-12,-12,-8,-13,-14,-4
133,-6,-15,-10,-5,-14,-5,-6,0,-9,-3,-7,-14,-1,-10,-1,-13,-8,-1,-7,-13,-13
134,-5,-10,-3,-4,-12,-2,0,-12,-11,-10,-5,-9,-12,-5,-9,-6,-5,-2,-5,-8,-9
135,-5,-4,-5,-6,-11,-3,-16,-29,-7,-30,-8,-6,-29,-3,-26,-4,-3,-24,-3,-7,-6
136,5,-8,-1,2,-3,5,-30,-27,5,-27,-2,-7,-21,-4,-22,-6,5,-29,2,-4,-8
137,18,-3,10,16,12,13,-16,-1,19,-3,8,2,6,7,0,-1,18,-5,15,7,-2
138,26,8,24,24,21,23,8,10,23,11,21,16,12,21,12,15,23,10,27,18,7
139,20,19,22,19,19,21,12,3,13,6,24,28,7,26,9,22,19,7,19,23,20
140,5,23,11,8,6,8,6,6,-1,10,12,20,13,16,11,16,1,3,3,17,24
141,-5,10,-1,-6,-4,-3,17,25,-9,25,-3,9,30,2,28,1,-6,21,-9,2,11
142,-9,-1,-10,-11,-8,-11,31,26,-14,28,-10,-4,27,-7,27,-11,-11,28,-13,-4,-2
143,-14,-10,-12,-21,-10,-16,21,5,-20,7,-14,-10,0,-12,6,-14,-18,11,-16,-11,-10
144,-22,-14,-18,-24,-18,-24,0,-16,-23,-12,-19,-18,-12,-19,-12,-20,-25,-9,-27,-16,-12
145,-20,-18,-20,-22,-16,-24,-17,-14,-18,-14,-26,-24,-13,-26,-12,-24,-22,-16,-23,-23,-18
146,-3,-24,-16,-11,-3,-11,-12,-6,0,-7,-16,-23,-7,-21,-4,-20,-3,-10,-8,-18,-26
147,13,-14,6,11,14,6,-5,-8,14,-8,5,-11,-6,-1,-5,-5,9,-5,11,-2,-15
148,22,4,19,21,23,15,-4,-4,19,-7,16,6,-5,12,-6,15,16,-6,17,15,2
149,23,17,19,24,24,20,-3,4,26,2,19,17,1,22,1,23,22,-1,21,17,16
150,31,20,24,28,30,26,4,18,29,14,26,21,15,24,13,23,28,13,28,22,20
151,27,24,30,28,31,29,19,26,25,24,31,26,23,28,22,29,25,22,27,30,23
152,15,30,29,19,22,22,21,20,15,19,25,25,16,27,17,30,12,22,15,27,29
153,5,21,15,4,9,9,14,10,4,3,11,20,2,13,5,15,4,9,4,13,24
154,2,6,5,1,7,3,2,-4,3,-6,4,5,-9,2,-6,2,2,-6,1,3,12
155,-2,3,5,2,5,0,-8,-9,-3,-11,2,0,-15,2,-12,3,-3,-12,1,3,2
156,-12,2,-4,-9,-7,-10,-12,-17,-16,-12,-3,1,-18,-1,-16,-1,-11,-15,-11,0,1
157,-23,-5,-19,-22,-22,-23,-20,-24,-26,-21,-18,-9,-24,-17,-23,-16,-21,-19,-24,-14,-5
158,-25,-18,-27,-25,-24,-28,-24,-22,-24,-24,-24,-22,-21,-28,-22,-26,-24,-24,-24,-24,-20
159,-20,-22,-24,-19,-24,-24,-18,-7,-18,-8,-21,-27,-3,-25,-7,-25,-17,-10,-18,-24,-26
160,-14,-21,-17,-13,-19,-19,-2,12,-13,10,-17,-20,11,-19,11,-19,-8,5,-12,-20,-26
161,-6,-15,-14,-5,-8,-10,15,18,-2,18,-13,-15,21,-17,17,-17,0,16,-7,-15,-17
162,8,-10,-4,10,7,4,18,23,15,21,-2,-11,24,-6,21,-9,12,22,9,-6,-13
163,23,3,16,25,20,21,24,25,28,29,19,6,28,11,28,9,27,27,26,11,2
164,25,19,26,29,26,29,30,26,21,27,28,23,29,28,27,25,28,27,29,24,18
165,16,29,23,24,18,21,27,18,12,17,21,28,18,26,18,26,16,22,17,24,30
166,6,21,11,12,7,12,16,5,4,4,8,18,8,17,7,17,7,9,9,13,27
167,-2,13,4,3,-3,4,4,1,-8,0,1,8,2,9,5,8,-3,4,1,5,16
168,-15,-2,-9,-12,-15,-8,4,-1,-25,-2,-11,1,2,-5,4,-2,-21,1,-17,-7,3
169,-30,-13,-24,-29,-29,-26,-3,-13,-35,-10,-27,-14,-10,-20,-8,-18,-33,-8,-33,-21,-7
170,-28,-28,-30,-32,-36,-30,-17,-24,-28,-24,-35,-28,-23,-32,-20,-28,-33,-20,-31,-32,-21
171,-15,-36,-26,-23,-24,-21,-27,-28,-16,-28,-26,-31,-25,-26,-22,-29,-18,-27,-19,-33,-31
172,-9,-26,-14,-9,-10,-10,-26,-21,-8,-22,-12,-20,-20,-16,-21,-15,-11,-26,-8,-18,-25
173,-3,-13,-8,-2,-6,-6,-18,-15,-1,-15,-9,-9,-15,-7,-17,-7,-4,-18,-5,-9,-13
174,8,-9,-1,2,3,0,-17,-6,15,-9,-1,-2,-8,-1,-10,-3,9,-15,5,-3,-7
175,23,-2,14,16,21,16,-7,7,24,6,13,6,7,10,5,9,22,-2,22,9,-4
176,22,14,27,23,28,23,12,23,22,24,25,19,26,24,23,24,23,15,23,22,10
177,13,20,22,17,22,15,21,30,12,30,18,26,26,24,26,26,13,26,13,26,24
178,6,18,9,7,11,8,23,19,5,23,9,18,14,13,16,15,4,20,7,14,20
179,-2,7,3,3,6,5,12,9,0,12,5,8,8,5,5,8,3,8,-1,7,6
180,-12,3,-1,-7,-6,-6,4,2,-14,2,-4,4,-2,-2,-5,3,-11,-1,-12,2,3
181,-26,-4,-16,-21,-20,-19,-6,-13,-24,-11,-19,-6,-17,-14,-17,-13,-22,-12,-26,-13,-1
182,-26,-18,-25,-26,-21,-25,-23,-27,-21,-30,-29,-21,-34,-28,-30,-24,-23,-28,-25,-24,-16
183,-14,-29,-24,-19,-15,-15,-33,-30,-13,-31,-19,-27,-34,-24,-32,-22,-13,-34,-18,-23,-28
184,-10,-22,-11,-8,-7,-8,-27,-16,-8,-19,-11,-17,-18,-15,-22,-11,-8,-21,-12,-13,-20
185,-7,-14,-9,-8,-6,-8,-16,-8,-4,-11,-9,-12,-11,-11,-10,-6,-10,-11,-9,-9,-12
186,0,-10,-8,-3,1,-3,-6,-4,5,-7,-2,-9,-4,-8,-5,-10,0,-6,1,-7,-11
187,12,0,9,10,12,6,-2,6,17,0,7,-1,6,1,5,2,12,3,14,7,-6
188,14,8,18,17,17,16,9,22,14,20,17,9,22,12,18,14,14,17,16,16,7
189,8,17,14,11,10,13,20,26,8,26,12,14,23,15,24,15,6,27,11,16,15
190,1,11,7,4,3,5,23,15,3,14,8,7,13,7,14,5,2,20,3,8,13
191,1,7,3,6,4,0,12,6,5,6,4,2,7,4,6,-1,2,12,4,6,7
192,-1,2,3,2,-1,-3,3,2,0,3,2,2,0,3,1,1,-2,4,5,2,6
193,-10,2,-6,-7,-8,-9,-3,-11,-8,-9,-2,0,-11,-1,-9,-5,-7,-4,-5,-3,4
194,-17,-2,-12,-9,-14,-15,-14,-23,-14,-22,-7,-8,-26,-11,-24,-13,-13,-18,-10,-6,-3
195,-15,-8,-13,-10,-16,-14,-25,-26,-11,-27,-13,-12,-25,-15,-26,-16,-10,-29,-9,-12,-10
196,-12,-12,-11,-10,-10,-10,-25,-15,-8,-20,-12,-10,-13,-11,-18,-13,-6,-23,-5,-13,-11
197,-5,-9,-5,-2,-3,-6,-13,-11,-3,-13,-6,-8,-9,-7,-10,-9,-2,-11,-1,-8,-10
198,-2,-3,0,3,0,0,-5,-10,-3,-9,0,-3,-5,0,-8,-5,2,-9,1,-2,-5
199,-1,2,1,4,-2,2,-6,0,-1,-2,-2,1,3,6,0,1,3,-3,0,0,0
200,1,2,-2,1,-4,1,3,12,0,12,-1,3,15,2,14,-2,5,9,1,-2,2
201,6,2,2,5,2,5,15,16,6,16,3,0,18,3,16,0,6,18,4,1,1
202,4,7,7,8,1,7,15,12,2,10,5,5,12,9,11,7,1,14,5,3,3
203,-2,7,0,-2,-4,5,5,4,-7,5,-2,7,8,7,8,6,-5,5,-3,2,6
204,-1,1,-8,-5,-7,-1,0,2,-3,0,-8,0,4,-3,4,-2,-5,2,-5,-6,3
205,4,-6,-3,3,-3,4,1,-4,0,-3,-5,-5,1,-5,3,-1,2,0,2,-5,-4
206,3,-1,7,7,3,10,-6,-9,3,-11,4,-1,-8,4,-4,7,4,-6,7,2,0
207,0,6,3,-1,-3,7,-15,-14,-5,-15,3,7,-13,4,-11,8,-4,-12,0,5,6
208,-2,3,-4,-7,-3,0,-17,-12,-5,-14,-2,2,-11,-7,-11,-2,-7,-14,-7,-2,2
209,4,-5,0,2,2,-1,-16,-9,2,-11,-5,-7,-9,-7,-8,-4,-2,-9,1,-1,-4
210,7,-3,7,4,8,8,-15,-2,5,-4,5,0,-4,2,0,5,7,-6,5,2,-1
211,4,4,7,-1,7,6,-9,1,1,1,5,7,-2,3,2,8,3,1,-1,6,3
212,-2,5,1,-5,5,-5,-4,1,-5,0,0,1,-1,-4,0,2,-5,-2,-5,4,1
213,1,-1,0,0,6,-1,-4,2,5,3,-3,-3,1,-5,-1,-4,1,-1,-1,0,-3
214,11,-2,7,7,13,6,-2,8,13,7,8,2,4,1,2,2,8,4,10,6,-5
215,6,6,10,9,14,9,4,5,6,7,14,8,1,6,3,10,4,6,6,12,5
216,-3,9,7,-1,8,0,1,-2,-2,-1,5,8,-5,3,-5,6,-5,0,-3,9,11
217,-2,3,0,-5,-1,-4,-3,-3,1,-5,0,1,-6,-3,-8,1,-2,-5,-4,-2,3
218,5,-4,1,2,4,0,-3,5,9,1,5,-2,2,-3,1,1,6,1,4,0,-6
219,4,3,7,4,8,6,4,5,4,5,8,4,5,4,4,9,5,8,2,5,-3
220,-3,8,2,-1,-1,2,5,0,0,3,6,7,-1,4,-3,9,1,7,-4,4,7
221,-4,5,-4,-5,-5,-5,-1,-6,2,-2,-3,2,-4,1,-5,2,-1,0,-5,1,2
222,1,0,-5,0,-4,-1,1,1,4,1,0,-3,1,-1,1,-2,2,3,-2,-2,-5
223,3,1,1,3,1,3,9,3,6,11,5,0,8,4,5,2,4,9,0,4,-3
224,-2,5,-1,1,-4,1,9,0,1,6,2,1,2,7,2,2,-2,8,-2,2,4
225,-2,1,-7,-1,-7,-2,4,-5,-6,0,-1,1,-1,1,0,-3,-4,-1,-4,-5,2
226,-1,-2,-5,2,-5,0,-1,-6,-1,0,-2,-6,3,-2,0,-6,-1,-1,-2,-6,0
227,4,0,1,7,-1,5,4,3,6,9,2,-3,11,2,8,-3,3,9,5,-4,0
228,5,2,5,5,2,6,12,6,5,10,5,3,9,9,9,3,6,11,7,1,4
229,4,4,6,6,2,9,7,-4,1,-2,5,2,-2,7,0,2,3,2,6,2,4
