,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
127,-11,-9,-17,-17,-3,-10,-12,-15,-15,-16,-18,-15,-13,-8,-19,-16,-15,-6,-16,-13,-7,-20,-15,-1,-14,-5,-19,-16,-18,-16,-15,-17
128,-17,-12,-15,-14,-12,-17,-18,-16,-14,-18,-18,-23,-15,-8,-17,-20,-17,-13,-17,-17,-11,-24,-18,-6,-15,-13,-20,-17,-23,-17,-22,-15
129,-23,-14,-16,-17,-18,-21,-25,-16,-11,-17,-16,-29,-15,-13,-16,-26,-17,-17,-16,-17,-18,-29,-18,-13,-16,-19,-20,-18,-27,-17,-28,-17
130,-28,-13,-17,-17,-24,-26,-28,-18,-8,-17,-17,-30,-17,-13,-16,-28,-18,-22,-19,-18,-22,-33,-18,-22,-17,-25,-18,-16,-29,-17,-31,-18
131,-32,-15,-17,-16,-27,-29,-30,-16,-5,-16,-19,-32,-16,-18,-15,-31,-18,-28,-17,-19,-28,-36,-15,-25,-16,-30,-16,-17,-34,-19,-34,-18
132,-33,-16,-16,-16,-30,-32,-35,-16,-2,-16,-18,-32,-16,-19,-15,-33,-16,-32,-20,-19,-29,-34,-15,-28,-15,-35,-16,-16,-33,-19,-34,-14
133,-32,-18,-16,-14,-33,-33,-35,-13,-1,-13,-15,-32,-19,-20,-15,-31,-15,-33,-17,-16,-31,-31,-15,-31,-16,-37,-14,-16,-33,-20,-34,-18
134,-33,-16,-16,-14,-32,-27,-31,-11,0,-11,-14,-28,-16,-19,-13,-28,-16,-31,-13,-15,-31,-28,-13,-35,-11,-32,-12,-14,-30,-16,-30,-15
135,-31,-16,-12,-14,-31,-23,-28,-10,3,-10,-13,-24,-14,-18,-12,-26,-10,-30,-12,-15,-29,-19,-10,-30,-8,-33,-7,-14,-25,-13,-28,-12
136,-22,-14,-10,-10,-29,-19,-23,-6,6,-7,-11,-18,-12,-16,-8,-19,-7,-26,-13,-12,-26,-15,-8,-32,-5,-28,-7,-11,-17,-12,-22,-7
137,-16,-12,-7,-8,-23,-12,-16,-3,6,-5,-6,-12,-13,-14,-5,-10,-4,-23,-10,-9,-20,-6,-8,-28,-4,-20,-3,-5,-13,-11,-13,-6
138,-9,-10,-3,-6,-15,-5,-7,-2,8,-1,-2,0,-10,-14,-3,-2,-3,-12,-7,-6,-12,2,-6,-19,-1,-14,-3,-7,-6,-8,-4,-3
139,1,-8,1,-4,-9,4,2,0,6,3,1,8,-5,-7,-1,7,-1,-7,-2,-4,-5,14,-2,-11,1,-5,2,-2,7,-4,3,-1
140,10,-4,1,-1,-1,12,11,2,6,3,1,15,-4,-7,4,16,3,5,1,-1,3,23,3,-3,2,5,4,-1,15,0,12,1
141,17,-1,7,1,12,21,20,3,5,5,6,25,-4,-3,7,25,6,14,3,2,10,28,3,4,4,13,5,3,25,1,22,2
142,24,1,10,3,19,30,29,7,6,6,8,31,0,3,7,32,7,19,3,6,20,36,7,14,9,21,9,6,32,5,33,3
143,32,4,13,5,26,35,34,9,5,10,9,38,5,8,6,36,9,28,6,7,28,40,10,23,11,28,12,9,36,6,35,3
144,40,9,13,8,33,40,39,11,4,10,14,41,5,10,9,43,10,35,6,12,32,43,9,32,13,36,13,13,42,9,40,5
145,43,9,16,9,37,41,41,11,3,12,16,44,9,11,9,42,12,39,9,14,38,44,10,33,15,38,11,13,44,8,44,9
146,46,10,16,11,41,42,45,14,4,11,14,44,12,11,12,42,12,41,11,14,40,44,11,38,17,40,11,13,46,9,43,10
147,45,11,17,10,42,40,43,14,6,11,15,41,11,13,11,41,10,42,11,18,44,41,16,41,14,42,14,14,43,10,44,11
148,44,10,16,13,43,39,40,15,6,15,16,37,10,15,14,37,14,42,13,19,42,35,13,42,15,42,13,13,38,12,40,11
149,41,12,16,15,40,34,37,17,8,15,17,31,13,12,16,30,13,40,14,17,41,30,15,42,15,39,14,17,32,14,32,12
150,34,11,13,13,38,27,32,18,5,14,16,25,14,15,14,24,14,36,17,19,37,20,16,37,16,32,15,16,27,16,27,11
151,29,12,11,14,31,18,24,17,9,16,14,16,14,13,15,18,16,28,17,20,29,13,15,31,15,27,15,15,18,17,19,14
152,22,10,15,16,23,10,13,16,10,14,17,9,16,12,16,9,16,20,16,18,21,4,14,25,14,20,18,18,9,18,10,14
153,12,11,13,17,14,3,7,16,11,15,20,1,17,10,17,1,15,13,17,19,16,-3,13,21,15,12,14,17,3,17,4,15
154,4,11,11,15,7,-4,-1,19,12,17,18,-6,17,6,17,-7,16,6,18,19,6,-8,16,11,12,6,18,17,-4,17,-3,15
155,-5,8,10,18,0,-11,-9,18,14,16,17,-13,19,7,18,-14,16,0,18,19,-2,-14,16,1,12,-3,17,18,-10,19,-11,17
156,-9,8,10,17,-7,-15,-15,17,16,14,14,-16,18,7,18,-16,15,-8,17,19,-6,-14,15,-3,11,-9,13,17,-15,18,-15,20
157,-13,6,7,15,-10,-20,-19,18,15,13,16,-18,17,4,15,-19,16,-15,17,12,-13,-16,14,-9,9,-12,15,15,-20,16,-17,18
158,-14,2,6,13,-12,-21,-19,16,15,14,14,-20,16,4,15,-17,15,-18,17,11,-17,-14,15,-13,13,-15,14,15,-19,16,-18,15
159,-18,3,6,14,-14,-18,-19,15,12,13,13,-17,14,4,14,-17,16,-19,17,12,-18,-15,16,-16,9,-17,12,13,-17,13,-17,16
160,-16,3,6,12,-14,-18,-18,13,9,12,12,-16,14,4,15,-16,16,-18,14,7,-20,-9,14,-16,9,-17,9,9,-17,14,-14,17
161,-15,5,5,12,-15,-15,-16,11,6,8,9,-12,14,4,13,-10,13,-15,14,6,-19,-4,13,-15,7,-14,5,6,-16,15,-12,13
162,-11,8,6,6,-9,-8,-9,6,4,8,6,-8,12,3,10,-6,9,-11,12,6,-15,-3,8,-13,2,-10,4,4,-13,11,-7,10
163,-9,9,4,6,-4,-1,-5,5,2,7,3,-3,11,6,6,-3,6,-7,10,4,-13,2,7,-10,3,-6,2,4,-5,9,-1,8
164,-4,8,6,4,-2,3,1,2,-2,1,2,3,7,8,5,3,5,-3,6,3,-5,8,4,-6,2,-3,1,2,3,8,2,8
165,2,10,7,0,2,9,4,0,-4,0,-1,5,4,9,2,10,3,4,5,0,0,12,-1,-3,-1,3,-1,-1,7,3,6,3
166,11,9,3,-4,10,15,10,-2,-9,-2,-7,10,2,11,-1,13,-1,8,1,-1,7,12,0,-1,-4,7,-5,-5,10,1,12,1
167,14,10,4,-7,12,20,11,-7,-10,-7,-10,15,-1,13,-1,13,-6,11,-1,-5,10,12,-3,5,-6,12,-8,-7,12,-3,14,-4
168,16,11,2,-5,14,18,12,-10,-12,-9,-13,14,-6,11,-4,12,-6,13,-5,-8,13,12,-6,8,-7,12,-8,-10,12,-7,15,-5
169,14,10,3,-10,13,16,14,-11,-14,-13,-16,14,-9,10,-9,14,-10,15,-9,-9,15,9,-7,10,-12,12,-12,-13,14,-11,15,-8
170,13,11,0,-12,11,13,10,-14,-11,-15,-16,13,-7,7,-11,8,-9,12,-9,-12,15,5,-12,12,-14,11,-13,-15,11,-12,9,-9
