,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
36,-3,-15,-12,5,-14,-9,0,-20,-26,-1,-10,-3,-10,-9,-4,-10,3,-8,-17,-11,-7,-1,-4,-3,-2,-6,5,-2,-12,-7,-12,-1,6,0,-13,-7,-14,-15,-14,-2,-9,-8,5,-7,-3,5
37,20,10,10,14,10,3,10,9,0,19,0,3,13,3,5,1,8,4,-3,3,17,8,18,4,21,15,9,5,-1,2,-1,9,14,8,-1,3,11,-2,9,18,2,1,23,3,2,12
38,31,25,24,16,25,8,13,19,18,31,7,11,27,10,8,8,15,12,5,7,29,11,34,10,32,25,15,13,7,12,4,13,16,13,9,13,25,3,24,31,9,11,35,10,11,14
39,40,33,34,16,34,15,18,33,31,40,15,13,37,13,13,11,13,17,11,12,37,18,39,13,43,36,16,15,15,14,13,14,17,16,14,18,36,11,35,42,15,13,41,14,17,18
40,43,41,43,9,42,14,12,45,40,42,18,13,45,19,16,16,7,14,16,17,43,16,44,12,47,43,12,12,18,14,19,10,10,9,17,18,40,18,44,45,16,14,41,16,14,11
41,31,40,36,-1,39,9,3,43,42,33,13,3,36,13,6,12,-3,9,17,12,34,5,37,4,33,31,-3,4,13,6,15,0,-4,-3,16,9,37,15,40,33,9,11,28,12,5,-1
42,8,23,16,-11,12,0,-8,23,28,13,3,-6,16,-3,-4,2,-11,-3,7,1,10,-4,15,-4,12,10,-11,-8,4,-4,5,-10,-9,-8,8,-2,17,6,22,11,-1,-2,5,1,-7,-8
43,-9,0,-1,-10,-4,-11,-8,0,7,-4,-7,-10,-4,-11,-9,-9,-13,-14,-4,-8,-7,-10,-4,-14,-6,-8,-12,-9,-4,-12,-6,-12,-9,-14,-5,-12,-3,-6,2,-7,-13,-9,-11,-9,-11,-8
44,-18,-13,-16,-9,-15,-11,-9,-11,-8,-16,-9,-12,-14,-11,-11,-11,-10,-12,-9,-15,-17,-9,-19,-14,-15,-19,-11,-7,-11,-11,-10,-9,-8,-11,-11,-9,-14,-11,-12,-20,-11,-12,-21,-12,-12,-9
45,-25,-24,-25,-11,-23,-11,-9,-23,-22,-27,-9,-9,-24,-10,-8,-10,-11,-12,-11,-11,-30,-9,-25,-10,-25,-27,-13,-6,-11,-10,-11,-10,-9,-11,-6,-8,-24,-11,-22,-27,-6,-13,-28,-8,-11,-8
46,-25,-28,-29,-4,-29,-10,-4,-29,-28,-26,-9,-11,-32,-10,-6,-9,-9,-11,-11,-7,-31,-7,-29,-7,-28,-28,-8,-5,-7,-7,-9,-8,-4,-6,-8,-9,-27,-10,-26,-27,-7,-11,-29,-9,-7,-1
47,-16,-27,-22,6,-22,-6,2,-25,-29,-21,-6,-2,-21,-4,0,-6,0,-6,-7,-7,-21,0,-23,-2,-20,-24,0,4,-6,0,-8,-3,6,2,-8,-6,-24,-9,-26,-22,-5,-7,-20,-5,-2,6
48,-6,-16,-12,13,-11,1,12,-12,-21,-9,1,6,-11,1,7,1,9,3,-1,-3,-11,5,-8,6,-9,-14,7,12,-2,7,-2,7,7,9,-2,4,-9,-5,-16,-8,4,-2,-5,2,7,10
49,4,-5,-1,9,-2,9,12,-5,-9,3,11,9,-2,7,10,6,12,11,9,5,-4,9,0,12,2,-2,10,10,7,11,7,7,9,9,6,10,1,3,-4,1,9,4,2,8,10,10
50,9,5,7,10,7,10,14,5,2,10,8,9,4,10,11,11,8,9,10,9,5,5,7,12,8,6,8,9,7,10,10,8,8,9,10,9,9,7,7,9,9,6,7,12,12,11
51,15,12,12,9,13,11,10,12,12,15,6,7,13,8,9,9,8,7,11,5,13,5,14,9,14,12,6,8,7,12,7,6,5,7,12,6,15,10,12,15,10,6,13,10,8,5
52,18,17,17,2,18,10,5,19,14,15,7,4,16,5,5,8,3,5,12,5,13,0,15,9,16,16,2,5,6,9,9,1,-1,4,13,8,18,7,15,15,11,3,13,8,5,2
53,11,16,14,-4,13,5,0,14,16,12,3,0,11,3,-2,3,-2,3,6,3,9,-8,11,4,10,12,-4,0,1,1,5,-4,-8,-3,8,2,18,3,15,10,5,0,5,4,2,-5
