,0,1,2,3,4,5,6,7,8,9,10
175,5,4,4,6,-1,-2,-2,4,3,3,-2
176,3,-2,2,4,-1,-1,-3,1,1,3,-1
177,2,0,2,1,-3,-1,-5,0,-1,0,-1
178,1,0,-1,3,-2,0,-4,0,-1,-1,-1
179,0,-2,2,1,-3,0,-4,-1,-4,-1,-1
180,1,0,-1,1,-4,0,-7,0,-3,-1,-3
181,2,-2,-2,-2,-6,-2,-8,-5,-5,-3,-4
182,-1,-3,-4,-3,-3,-5,-8,-5,-5,-3,-6
183,-4,-6,-4,-2,-5,-3,-8,-4,-7,-2,-6
184,-6,-6,-4,-2,-5,-2,-7,-5,-4,-3,-5
185,-10,-5,-5,-6,-5,-5,-5,-6,-2,-1,-9
186,-8,-6,-8,-6,-6,-4,-3,-7,-4,-5,-9
187,-7,-9,-6,-4,-3,-6,-2,-5,-1,-4,-7
188,-10,-5,-5,-5,-6,-4,-1,-8,-1,-3,-6
189,-8,-4,-6,-4,-5,-4,-3,-5,-2,-2,-6
190,-5,-3,-8,-4,-4,-2,0,-3,-1,-3,-6
191,-4,-6,-5,-5,-6,-1,0,-3,-1,-1,-5
192,-4,-3,-6,-2,-4,-1,2,-5,0,0,-3
193,-6,-2,-3,-2,-3,-2,4,-2,0,0,-2
194,-4,-3,-4,-1,-1,-1,4,0,-1,1,0
195,-1,-2,-3,-3,2,2,2,3,0,4,1
196,-1,3,-1,-1,1,3,7,3,1,3,1
197,3,4,1,-1,1,6,6,5,2,3,2
198,3,5,3,2,3,5,3,7,1,4,6
199,5,5,3,6,1,6,3,9,0,6,6
200,4,7,6,5,4,5,4,9,1,6,6
201,5,5,5,4,5,6,3,9,-1,6,6
202,6,4,5,6,7,3,2,9,-2,6,5
203,3,3,4,4,8,3,2,5,0,5,5
204,6,4,4,3,8,6,3,5,-1,1,6
205,8,6,5,2,6,5,2,4,-3,2,6
206,7,6,4,3,5,5,2,3,-2,1,4
207,5,8,4,2,3,2,1,0,-3,0,5
208,4,5,5,4,3,1,1,1,-5,-2,2
209,3,2,1,3,2,-1,0,-1,-6,-3,1
210,1,-1,2,1,2,-3,-2,-4,-6,-3,2
211,-2,-1,-1,0,-2,-3,-3,-4,-6,-4,1
212,0,-3,0,-1,-2,-2,-4,-6,-5,-3,-2
213,0,-7,-3,-1,-2,0,-5,-6,-7,-4,-1
214,-4,-5,-1,-2,-3,-3,-6,-6,-5,-7,-2
215,-3,-5,-1,-2,-2,-5,-4,-8,-5,-9,-2
216,-3,-9,-1,-3,-5,-6,-5,-7,-4,-7,-6
217,-4,-8,-5,-4,-4,-4,-7,-7,-2,-9,-5
218,-5,-8,-6,-3,-5,-5,-7,-7,-3,-9,-4
219,-7,-8,-7,-4,-6,-3,-5,-7,1,-10,-2
220,-7,-8,-6,-4,-5,-5,-7,-9,3,-9,-3
221,-6,-6,-5,-4,-3,-3,-4,-10,5,-9,-4
222,-6,-7,-6,-5,-5,-4,-1,-8,6,-9,-3
223,-4,-6,-4,-6,-4,-4,-2,-8,7,-7,-2
224,-4,-2,-4,-2,-1,0,-2,-7,8,-7,-1
225,-3,-1,-4,-1,-1,-2,1,-4,9,-6,1
226,-2,1,0,1,0,1,4,-2,11,-4,0
227,0,3,0,1,-1,2,4,0,11,-2,2
228,2,3,2,1,2,4,5,0,11,1,4
229,3,6,4,3,3,4,5,3,11,0,5
230,6,6,7,3,3,6,8,5,8,1,5
231,3,9,10,4,6,8,9,6,9,5,5
232,8,8,7,6,6,5,8,5,9,7,7
233,5,8,10,8,7,7,7,8,7,8,7
234,6,8,10,5,7,7,8,11,8,10,7
235,6,9,8,7,7,8,7,11,5,10,8
236,4,10,7,6,9,9,6,13,2,12,7
237,5,4,4,7,9,7,5,14,4,10,3
238,5,5,5,3,7,5,4,12,4,11,5
239,4,4,2,3,8,5,5,8,2,12,0
240,3,5,2,3,6,2,3,9,2,9,1
241,1,3,0,2,6,3,0,9,1,8,1
242,-1,2,-1,-2,2,0,-2,6,-1,6,-2
243,1,2,-5,-4,3,0,-3,4,-3,6,-6
244,-1,0,-5,-2,-1,-4,-4,4,-5,6,-5
245,-1,-5,-4,-4,-1,-3,-5,2,-8,3,-3
246,-2,-5,-4,-5,-5,-5,-8,1,-9,5,-3
247,-4,-5,-3,-2,-5,-6,-6,1,-12,5,-8
248,-3,-8,-3,-5,-7,-7,-11,-3,-10,2,-10
249,-7,-7,-5,-4,-7,-7,-9,-3,-10,1,-9
250,-7,-8,-4,-6,-7,-9,-9,-3,-10,-1,-6
251,-8,-9,-7,-6,-8,-5,-9,-3,-10,-1,-7
252,-7,-8,-7,-5,-9,-4,-8,-5,-12,-3,-7
253,-5,-7,-5,-6,-10,-4,-6,-6,-11,-4,-4
254,-4,-6,-7,-7,-9,-6,-4,-4,-10,-4,-5
255,-5,-4,-6,-7,-8,-7,-5,-4,-8,-3,-2
256,-5,-6,-5,-5,-4,-2,-4,-4,-7,-7,-1
257,-5,-5,-4,-6,-2,-4,-1,-3,-6,-7,4
258,-3,-3,-2,-3,0,-4,1,-4,-4,-6,1
259,-4,-2,-2,-3,0,-5,1,-7,-3,-6,3
260,-2,0,1,-3,1,-4,3,-7,-1,-8,1
261,0,3,2,-4,3,-3,6,-6,-1,-9,2
262,0,4,3,0,4,-1,7,-5,-1,-5,3
263,1,6,8,0,4,0,5,-2,-1,-2,5
264,1,8,9,1,6,1,7,0,-1,-3,7
265,3,7,9,3,7,3,6,-2,2,0,5
266,3,6,9,7,5,4,5,-2,1,0,5
267,5,6,10,6,4,3,5,-1,0,0,8
268,7,5,9,7,3,4,4,-3,1,0,5
269,7,6,9,6,3,8,4,-1,2,-1,5
270,7,6,7,7,3,7,0,-2,3,-2,5
271,7,5,8,7,4,6,1,-1,1,0,4
272,7,6,6,7,4,6,1,0,2,-1,3
273,5,4,6,5,3,5,1,1,3,0,4
274,4,4,2,4,-1,4,-3,-3,4,-2,3
275,3,1,3,4,0,4,-6,-2,4,-4,2
