,0,1,2,3,4,5,6,7,8,9,10,11,12,13
172,-4,-2,-7,-3,-5,-7,-3,-3,-6,-4,-7,-7,-7,-4
173,-8,-2,-5,1,-7,-7,-5,-5,-6,-3,-4,-4,-4,-2
174,-1,5,0,2,-5,2,1,-2,-1,0,0,-3,-3,1
175,6,3,2,4,2,2,7,-1,2,1,1,3,1,3
176,6,2,5,2,2,2,7,7,7,-3,0,3,-1,1
177,1,1,2,0,0,2,3,3,4,-2,1,3,-3,0
178,1,-1,1,2,0,-1,-2,-1,3,-2,1,1,-2,0
179,4,2,0,2,-1,0,2,-1,4,3,1,1,-1,2
180,-5,1,2,-1,3,1,0,1,0,3,2,2,1,2
181,-11,-3,2,-6,3,3,-8,1,-7,1,-3,3,-3,-2
182,-11,-5,-1,-6,0,-1,-13,0,-11,-7,-6,-3,-6,-5
183,-7,-9,-7,-6,-5,-8,-11,-7,-3,-6,-8,-7,-7,-7
184,-6,-5,-5,-5,-7,-5,-4,-8,-4,-4,-5,-9,-4,-5
185,-7,-6,-4,-10,-1,-4,-7,-6,-6,-4,-2,-8,-7,-5
186,3,-8,-4,-4,-6,-6,-3,-3,1,-7,-5,-9,-6,-5
187,12,-1,-7,2,-6,-5,9,-4,12,-4,-3,-10,-2,-2
188,12,4,0,6,1,1,13,-2,15,3,3,-5,3,6
189,10,4,7,1,7,6,8,5,9,4,7,0,3,7
190,5,-2,2,0,7,5,4,7,4,1,2,1,1,3
191,5,1,1,4,2,2,8,2,4,0,3,-3,1,1
192,2,4,3,0,7,5,7,3,2,7,5,0,2,4
193,-5,-4,4,-8,5,5,-4,3,-4,0,1,2,-2,-2
194,-14,-11,-6,-13,-1,-1,-10,3,-12,-8,-6,-5,-11,-11
195,-6,-7,-9,-3,-4,-7,-7,-9,-9,-7,-6,-10,-9,-10
196,0,-1,-3,-3,-2,-3,-1,-6,-3,-5,0,-7,-2,-5
197,3,-3,-1,-5,0,0,6,1,2,-5,-2,-3,-2,-4
198,4,-2,-2,-2,-5,-3,8,0,6,-5,-4,-3,-3,-4
199,5,10,2,13,0,1,8,-2,3,2,1,-4,2,6
200,6,17,12,16,10,8,6,6,8,12,13,7,15,15
201,6,11,16,8,16,13,8,15,7,15,12,14,16,13
202,0,6,12,6,14,13,5,16,3,12,7,13,8,9
203,-6,5,6,6,7,6,-3,11,1,7,5,7,6,8
204,-6,5,3,3,4,5,-4,8,-3,7,3,6,7,7
205,0,-1,3,-4,2,4,-2,6,-1,6,0,5,1,2
206,4,-11,-3,-8,-1,-2,5,5,3,-5,-8,0,-9,-7
207,6,-14,-14,-6,-11,-12,5,-5,4,-10,-13,-8,-12,-10
208,6,-8,-17,-3,-15,-15,6,-10,3,-8,-10,-12,-8,-5
209,8,-2,-9,3,-8,-6,10,-9,6,1,-4,-9,-3,0
210,10,1,-1,5,-1,-1,10,-1,10,5,4,0,3,6
211,7,3,2,4,3,4,9,4,8,8,8,5,7,8
212,-2,2,2,5,5,5,2,6,2,10,7,7,5,7
213,-7,5,5,5,7,6,-5,5,-2,8,7,8,7,5
214,-9,0,6,3,7,9,-6,5,-7,7,8,7,7,5
215,-7,-4,3,-6,5,4,-7,3,-6,1,0,5,1,0
216,-11,-7,0,-7,0,-2,-8,0,-9,-4,-4,-3,-3,-5
217,-10,-7,-3,-4,-7,-6,-11,-5,-9,-6,-4,-5,-3,-5
218,-1,-1,1,-4,-3,-3,-6,-7,-5,-5,-3,-7,3,-1
219,8,0,4,2,3,0,3,-2,3,2,4,-2,5,2
220,7,5,7,1,4,2,9,4,10,5,5,3,6,4
221,7,8,10,6,5,4,7,5,7,2,7,2,6,7
222,8,11,11,9,6,6,7,5,6,6,8,5,8,9
223,2,13,11,7,7,8,4,9,3,7,9,6,10,7
224,-5,8,10,4,9,10,-1,8,-4,7,8,9,8,8
225,-10,1,6,-3,5,7,-9,7,-9,-2,0,6,2,1
226,-7,-6,-1,-1,-2,-1,-10,3,-10,-7,-6,-6,-6,-8
227,-4,-5,-5,-4,-7,-4,-3,-7,-4,-6,-8,-8,-6,-9
228,1,-3,-4,-5,-7,-2,3,-6,-2,-5,-6,-7,-5,-10
229,6,-8,-6,-6,-5,-2,4,-5,0,-6,-8,-4,-7,-6
230,6,-6,-7,0,-8,-7,12,-8,9,-7,-9,-6,-7,-9
231,4,4,-2,9,-6,-3,11,-6,10,0,-1,-8,-1,-5
232,3,7,4,12,1,5,6,-2,2,10,7,0,9,7
233,-1,11,9,9,9,9,0,9,-1,10,10,7,12,9
234,-7,9,9,11,10,12,-2,11,-3,8,12,9,9,9
235,-8,9,10,8,10,10,-6,10,-3,10,7,9,9,7
236,-5,3,6,1,8,7,-5,8,-5,7,4,9,5,4
237,1,-5,1,-6,2,1,-3,2,-1,0,-3,6,0,-2
238,5,-5,-6,-8,-4,-4,4,-3,5,-8,-8,-6,-8,-7
239,11,-2,-9,-2,-6,-7,9,-9,9,-7,-7,-12,-7,-6
240,11,0,-5,1,-7,-9,12,-6,12,-4,-6,-9,-2,0
241,8,6,0,5,-1,-2,7,-3,7,1,-2,-6,0,4
242,3,10,4,11,5,0,5,3,3,6,3,0,5,7
243,6,12,6,11,7,8,1,9,1,8,9,3,8,13
244,4,6,7,5,7,8,1,14,4,9,6,4,6,10
245,-4,2,2,-1,6,6,-2,10,0,1,2,4,2,4
