,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
118,21,6,23,9,7,29,27,5,1,6,15,5,5,23,4,6,4,22,8,13,31,13,33
119,40,28,42,31,27,42,45,27,22,24,37,22,27,40,25,27,24,42,29,35,46,34,41
120,43,45,47,40,44,44,43,41,40,43,46,37,46,47,44,42,43,51,42,48,43,46,33
121,45,46,38,44,46,35,31,46,47,46,46,35,46,39,46,48,45,41,43,44,28,42,21
122,41,34,24,41,37,16,15,33,36,37,42,25,38,20,33,40,33,25,35,31,15,28,7
123,24,19,5,30,23,-2,3,20,24,20,29,10,22,5,17,22,19,12,15,15,-2,14,-5
124,1,3,-10,11,4,-18,-18,2,7,7,8,-1,5,-10,6,8,5,-4,0,0,-19,-3,-24
125,-19,-16,-25,-9,-13,-34,-34,-14,-10,-10,-15,-15,-11,-25,-12,-9,-12,-25,-18,-17,-35,-18,-39
126,-32,-29,-40,-28,-30,-41,-39,-29,-25,-29,-31,-33,-29,-41,-28,-25,-28,-36,-31,-33,-42,-34,-44
127,-40,-40,-39,-40,-39,-39,-36,-40,-40,-38,-41,-44,-39,-40,-39,-40,-39,-40,-42,-38,-35,-40,-40
128,-38,-40,-29,-39,-39,-25,-22,-36,-41,-41,-40,-43,-37,-27,-37,-37,-36,-32,-38,-32,-23,-34,-22
129,-27,-25,-12,-31,-25,-11,-5,-28,-31,-30,-28,-31,-26,-18,-25,-27,-29,-17,-24,-20,-7,-22,-6
130,-13,-11,5,-17,-9,6,11,-11,-15,-16,-17,-14,-12,2,-10,-12,-13,-3,-10,-5,11,-4,10
131,6,5,20,2,6,25,24,6,0,2,1,2,6,19,11,2,4,16,5,12,28,11,28
132,23,22,40,21,20,40,39,21,19,19,21,22,24,34,26,18,21,28,23,27,41,31,44
133,37,37,43,36,39,40,39,37,38,35,36,40,35,42,41,35,38,40,40,42,41,44,47
134,41,42,35,45,40,33,27,39,45,42,43,49,43,34,46,42,41,37,43,45,32,43,30
135,34,33,20,43,30,19,15,29,36,34,40,41,37,22,34,36,36,22,31,33,18,30,14
136,20,19,8,31,16,5,-1,15,24,21,30,21,21,8,18,23,19,7,20,15,3,16,0
137,6,6,-10,14,5,-12,-18,3,10,7,13,8,9,-5,6,5,6,-6,8,3,-12,3,-15
138,-15,-9,-31,-1,-9,-30,-34,-11,-5,-7,-7,-7,-4,-22,-10,-9,-6,-20,-7,-13,-31,-15,-34
139,-33,-28,-45,-21,-28,-40,-45,-30,-23,-26,-25,-25,-25,-39,-29,-25,-23,-38,-26,-34,-42,-33,-40
140,-43,-43,-48,-38,-42,-42,-44,-42,-40,-40,-43,-40,-40,-43,-44,-43,-40,-47,-39,-46,-41,-41,-32
141,-41,-41,-41,-48,-45,-30,-32,-42,-40,-45,-43,-39,-42,-37,-42,-46,-42,-37,-39,-43,-27,-39,-17
142,-32,-33,-24,-41,-34,-15,-17,-33,-35,-35,-36,-30,-33,-21,-32,-35,-33,-26,-30,-30,-13,-29,-3
143,-17,-18,-7,-28,-22,2,-1,-19,-21,-21,-25,-10,-21,-7,-20,-21,-19,-10,-14,-16,-1,-15,15
144,-1,1,10,-13,-5,19,19,-5,-5,-7,-7,8,-4,8,-5,-5,-4,4,-1,-1,19,1,28
145,17,19,30,7,12,36,35,14,12,12,10,27,12,29,13,12,15,26,14,19,39,19,39
146,37,36,43,25,30,49,45,32,27,31,33,36,30,43,33,35,33,43,34,34,46,38,37
147,49,47,44,41,44,40,39,47,42,43,47,42,44,46,44,46,45,46,46,42,37,44,31
148,43,44,30,45,43,23,22,46,45,43,41,38,41,29,41,45,41,34,42,36,20,38,16
149,27,26,13,33,24,7,6,25,28,30,29,26,26,14,26,30,25,17,25,19,6,19,-3
150,10,7,-1,19,10,-11,-9,9,11,11,15,8,8,-2,10,13,10,0,9,6,-10,4,-23
151,-5,-7,-17,1,-7,-26,-29,-4,-2,-3,-1,-13,-8,-18,-5,-1,-8,-12,-6,-9,-27,-10,-34
152,-23,-25,-34,-13,-21,-42,-41,-20,-19,-19,-19,-29,-22,-33,-24,-20,-23,-29,-25,-25,-39,-26,-40
153,-38,-40,-42,-30,-36,-43,-42,-36,-36,-33,-34,-36,-38,-39,-40,-37,-35,-41,-38,-38,-37,-37,-39
154,-39,-42,-34,-40,-37,-30,-31,-40,-42,-38,-39,-42,-43,-33,-42,-41,-42,-35,-40,-36,-26,-36,-32
155,-31,-31,-16,-36,-30,-15,-11,-30,-32,-29,-34,-36,-29,-17,-35,-33,-33,-23,-29,-23,-12,-23,-12
156,-19,-14,1,-27,-14,6,4,-15,-16,-12,-17,-21,-13,1,-17,-19,-16,-2,-14,-8,5,-7,7
157,-2,3,17,-9,3,23,25,3,1,4,-6,2,3,18,0,-1,-2,12,3,9,24,8,25
158,16,21,32,7,23,35,37,18,17,19,11,20,23,30,19,20,17,27,22,26,34,26,40
159,33,35,39,24,36,41,40,35,34,34,29,33,37,40,33,31,34,38,32,38,38,39,44
160,42,42,37,39,39,38,38,40,40,42,40,41,41,41,38,37,40,38,39,40,35,40,38
161,42,39,30,43,40,28,28,39,39,37,42,38,41,34,36,39,38,36,39,36,22,35,20
162,26,29,15,31,33,9,11,32,33,29,30,24,36,17,28,32,31,20,28,26,7,23,2
163,13,14,-6,17,14,-13,-13,14,17,11,16,10,21,-6,15,15,16,0,10,6,-14,5,-17
164,0,-8,-24,4,-8,-27,-27,-10,-5,-12,3,-11,-3,-25,-5,-6,-6,-21,-11,-17,-28,-17,-32
165,-16,-25,-34,-6,-24,-37,-35,-30,-22,-30,-12,-27,-22,-35,-23,-25,-24,-33,-26,-30,-36,-31,-42
166,-36,-36,-39,-28,-35,-42,-40,-37,-33,-38,-33,-40,-31,-41,-33,-37,-36,-38,-34,-37,-41,-36,-38
167,-46,-39,-40,-43,-39,-39,-37,-38,-37,-43,-45,-42,-38,-41,-38,-41,-40,-41,-43,-39,-34,-39,-25
168,-37,-37,-28,-42,-38,-25,-23,-37,-39,-44,-39,-34,-39,-32,-35,-40,-39,-33,-37,-38,-21,-33,-10
169,-26,-26,-9,-31,-25,-5,0,-26,-29,-31,-30,-19,-27,-12,-25,-31,-29,-16,-23,-21,1,-18,10
170,-13,-3,11,-19,-5,18,18,-5,-10,-9,-17,2,-6,10,-4,-12,-5,7,-4,1,23,2,31
171,7,18,27,-4,15,33,30,15,11,10,-2,24,12,24,17,11,14,24,16,19,36,20,46
172,26,31,37,15,29,41,41,30,27,28,19,43,28,38,28,29,27,35,32,33,41,33,49
173,41,41,38,32,39,40,37,40,38,41,40,54,40,39,38,38,40,43,40,38,41,39,36
174,46,41,32,45,40,32,25,41,40,42,48,45,41,36,42,39,42,38,39,39,30,36,22
175,35,30,15,44,31,15,8,30,32,31,41,30,30,17,31,32,33,22,32,25,11,25,4
176,19,13,-4,28,14,-5,-10,13,17,18,23,14,11,1,11,17,17,4,17,8,-6,8,-17
177,2,-5,-23,7,-4,-22,-27,-6,0,1,5,-6,-5,-16,-6,-3,0,-16,-5,-10,-24,-11,-39
178,-14,-22,-41,-8,-27,-35,-42,-24,-19,-21,-11,-30,-24,-33,-20,-19,-18,-34,-20,-30,-38,-29,-46
179,-28,-40,-44,-25,-41,-42,-43,-39,-36,-33,-28,-47,-38,-41,-37,-33,-36,-43,-34,-42,-39,-42,-38
180,-40,-43,-40,-40,-40,-34,-33,-41,-40,-41,-40,-44,-42,-37,-43,-40,-41,-40,-38,-41,-33,-42,-28
181,-34,-36,-26,-43,-36,-20,-18,-37,-36,-38,-40,-37,-36,-25,-37,-37,-38,-28,-34,-30,-16,-31,-15
182,-20,-23,-10,-32,-24,-3,-1,-21,-24,-24,-27,-25,-22,-7,-23,-22,-24,-13,-21,-18,0,-16,5
183,-2,-5,13,-14,-6,19,20,-3,-7,-8,-8,-2,-9,11,-6,-6,-6,9,0,0,23,2,28
184,13,18,34,3,17,39,41,20,13,14,5,19,15,34,15,12,14,31,18,23,43,24,40
185,27,36,47,22,39,51,47,40,35,36,23,37,34,46,39,33,37,49,37,43,49,43,43
186,37,46,49,32,48,44,41,52,47,48,35,41,44,48,47,47,46,50,47,47,41,49,37
187,42,45,36,40,50,33,34,50,47,46,37,40,43,36,45,46,47,43,42,43,27,44,26
188,36,36,24,35,35,18,15,36,38,36,36,31,34,24,35,35,37,30,31,34,11,30,2
189,22,18,6,28,20,-5,-5,20,21,21,27,14,20,6,19,21,20,11,16,15,-5,14,-18
190,1,-1,-20,11,1,-31,-28,0,3,5,9,-8,-2,-17,-1,5,3,-11,-4,-6,-30,-6,-37
191,-19,-23,-39,-8,-23,-45,-45,-23,-24,-18,-11,-31,-24,-38,-24,-21,-21,-33,-31,-23,-45,-27,-53
192,-33,-45,-47,-25,-41,-46,-44,-42,-43,-40,-26,-46,-45,-46,-41,-40,-41,-45,-44,-39,-40,-43,-49
193,-37,-47,-41,-36,-47,-39,-36,-46,-48,-46,-34,-54,-49,-39,-45,-46,-47,-41,-47,-42,-33,-42,-39
194,-41,-37,-29,-38,-38,-25,-21,-39,-39,-39,-36,-49,-40,-28,-38,-40,-42,-28,-39,-32,-21,-34,-24
195,-36,-26,-17,-35,-25,-7,-6,-29,-28,-28,-36,-36,-26,-16,-26,-27,-28,-16,-24,-17,-6,-21,-4
196,-17,-12,7,-24,-9,19,17,-13,-12,-11,-22,-18,-8,7,-9,-13,-11,3,-7,0,19,-2,25
197,4,13,28,-1,17,38,37,11,9,9,2,9,12,31,13,9,10,27,15,22,40,23,46
198,23,41,42,17,34,50,46,36,33,29,19,37,36,44,37,31,31,42,37,39,46,40,55
199,34,50,41,31,46,47,43,47,46,43,33,53,48,46,48,42,47,44,47,46,44,45,52
200,42,46,33,39,44,38,31,47,48,43,41,58,46,38,46,44,46,37,46,38,28,41,40
201,41,38,21,43,34,20,16,39,39,35,38,46,36,27,36,37,37,25,36,31,12,31,22
202,24,22,-1,33,20,-1,-6,25,24,23,26,36,22,6,23,21,25,6,19,14,-9,14,-2
203,5,1,-19,10,-3,-24,-28,2,4,2,9,11,1,-15,2,2,3,-16,-3,-9,-30,-6,-27
204,-16,-23,-41,-5,-26,-42,-48,-18,-22,-19,-12,-16,-20,-39,-23,-20,-19,-37,-25,-30,-47,-30,-45
205,-32,-42,-54,-23,-45,-53,-54,-41,-41,-40,-31,-35,-41,-51,-40,-40,-41,-50,-44,-47,-55,-45,-49
206,-42,-53,-52,-38,-56,-48,-49,-53,-54,-54,-40,-46,-53,-50,-49,-53,-51,-52,-52,-53,-47,-54,-43
207,-40,-50,-41,-45,-52,-37,-37,-49,-54,-52,-43,-43,-53,-41,-52,-53,-52,-44,-49,-49,-33,-49,-29
208,-28,-36,-23,-36,-41,-18,-18,-41,-47,-39,-32,-36,-39,-27,-39,-41,-44,-24,-38,-36,-16,-36,-5
209,-15,-20,-1,-25,-22,6,9,-21,-27,-20,-16,-16,-22,-3,-23,-26,-24,-3,-21,-13,12,-13,17
210,4,5,25,-7,2,34,32,2,-2,2,0,8,1,23,3,-4,4,24,5,10,36,10,38
