,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
122,8,4,-10,-12,5,7,-5,8,-7,-13,-12,5,9,9,3,0,10,8,8
123,5,2,-11,-11,4,2,-8,1,-6,-11,-14,4,5,4,2,-3,7,7,5
124,5,0,-13,-10,3,-1,-12,-1,-10,-8,-16,1,1,2,-1,-7,0,4,-1
125,0,-6,-13,-7,-2,-5,-13,-7,-11,-7,-19,-3,-3,0,-5,-10,-1,3,-4
126,-6,-9,-11,-6,-5,-9,-14,-10,-13,-5,-20,-7,-6,-1,-10,-9,-6,-2,-7
127,-7,-11,-10,-3,-8,-12,-14,-14,-12,-1,-19,-11,-8,-4,-15,-11,-9,-8,-10
128,-9,-16,-10,-1,-10,-16,-11,-13,-9,2,-18,-12,-12,-10,-18,-13,-11,-9,-14
129,-14,-19,-6,4,-12,-17,-7,-16,-8,4,-15,-16,-12,-11,-15,-11,-15,-10,-15
130,-12,-21,-4,6,-14,-19,-5,-18,-6,7,-14,-17,-15,-13,-17,-8,-16,-13,-17
131,-13,-18,-3,7,-17,-19,-4,-17,-6,11,-9,-19,-15,-16,-18,-6,-16,-14,-19
132,-14,-16,1,11,-17,-19,-3,-16,-3,13,-6,-20,-16,-16,-13,-4,-18,-14,-20
133,-15,-16,2,15,-14,-17,3,-15,3,15,0,-16,-15,-15,-11,3,-18,-15,-20
134,-12,-12,7,16,-14,-15,6,-13,5,16,7,-14,-13,-14,-10,5,-15,-16,-17
135,-10,-9,10,17,-13,-12,9,-10,8,16,12,-11,-12,-14,-8,8,-15,-13,-14
136,-11,-7,14,16,-9,-8,12,-6,11,17,16,-9,-9,-11,-4,11,-10,-11,-10
137,-6,-1,13,14,-4,-4,13,-3,14,15,20,-3,-4,-5,0,14,-8,-7,-5
138,-4,3,13,11,0,2,16,2,17,12,23,3,0,-1,3,15,-2,-4,-3
139,2,6,16,10,5,7,15,9,17,7,25,5,4,3,11,14,2,1,3
140,7,9,15,7,10,10,16,12,17,8,26,11,7,8,17,14,7,6,8
141,9,14,11,4,13,16,13,16,15,5,29,14,10,10,16,15,12,7,11
142,12,18,9,1,16,16,12,19,10,1,29,15,14,14,17,10,14,11,12
143,18,20,7,-2,17,20,10,22,9,-3,29,20,17,18,21,8,18,14,17
144,20,21,3,-6,19,23,8,24,8,-6,26,22,20,18,20,4,20,18,22
145,22,24,1,-8,20,23,3,21,1,-7,23,23,22,21,21,2,22,19,25
146,23,21,-2,-12,21,22,-1,22,-4,-10,17,22,22,20,21,1,23,21,24
147,23,20,-6,-13,18,22,-5,21,-7,-15,13,21,21,21,19,-3,21,20,26
148,21,19,-9,-13,16,18,-5,18,-10,-16,10,20,21,18,16,-6,19,19,21
149,17,15,-12,-14,14,13,-10,13,-12,-15,3,16,18,17,13,-9,19,15,19
150,15,10,-12,-14,12,12,-11,11,-12,-14,-2,12,14,13,10,-12,15,14,15
151,8,6,-15,-11,9,9,-16,6,-14,-11,-7,7,10,10,2,-10,11,12,11
152,4,2,-15,-9,5,1,-16,0,-15,-11,-12,2,4,5,-2,-13,7,8,6
153,0,-2,-15,-8,0,-2,-17,-4,-14,-8,-15,-3,0,1,-4,-13,5,4,-2
154,-6,-7,-12,-4,-4,-4,-14,-10,-13,-5,-19,-8,-5,-2,-10,-12,1,0,-9
155,-11,-11,-10,1,-4,-9,-12,-11,-10,-4,-21,-11,-9,-7,-11,-12,-4,-4,-11
156,-12,-13,-6,3,-11,-13,-9,-14,-6,2,-23,-13,-11,-11,-16,-8,-6,-10,-15
157,-14,-17,-4,8,-15,-14,-5,-17,-4,5,-20,-15,-16,-12,-17,-7,-10,-13,-16
158,-17,-17,-3,12,-16,-16,-2,-20,0,9,-21,-19,-19,-14,-18,-3,-12,-15,-17
159,-17,-19,1,17,-17,-18,0,-20,4,10,-19,-17,-19,-16,-19,-2,-13,-17,-20
160,-18,-18,3,17,-18,-19,1,-19,6,13,-16,-16,-21,-15,-17,-1,-17,-19,-20
161,-16,-16,8,16,-17,-17,5,-19,10,16,-10,-18,-19,-17,-15,3,-21,-15,-17
162,-17,-14,13,16,-16,-15,10,-16,12,19,-8,-14,-17,-14,-13,8,-19,-18,-17
163,-11,-12,15,17,-15,-12,13,-14,13,19,-4,-9,-14,-9,-10,11,-18,-16,-13
164,-11,-9,16,14,-11,-7,15,-9,16,18,-1,-9,-12,-11,-3,11,-15,-13,-13
165,-6,-4,18,12,-8,-8,16,-2,15,14,0,-7,-8,-7,2,14,-11,-7,-7
166,-2,1,15,9,-2,-2,14,2,15,11,2,-2,-5,-3,5,14,-7,-5,-2
167,1,5,13,6,5,7,14,8,13,9,4,3,2,2,8,15,-2,-4,0
168,9,11,13,2,8,10,13,13,12,4,5,9,7,6,15,12,2,3,6
169,10,15,9,-1,13,16,10,16,9,-1,9,11,12,10,17,10,8,9,13
170,14,18,3,-4,17,18,5,22,4,-1,9,19,15,14,23,6,13,14,18
171,18,21,0,-9,19,23,0,23,-1,-6,8,18,21,19,23,3,17,17,20
172,21,25,-5,-12,22,28,-2,25,-6,-9,7,19,23,22,24,-1,20,22,23
173,22,26,-10,-10,25,28,-6,26,-8,-12,5,24,26,25,26,-5,24,25,23
174,23,25,-14,-14,26,28,-12,28,-13,-12,6,25,26,25,27,-9,27,26,26
175,24,23,-17,-16,24,26,-14,25,-20,-14,4,26,23,25,26,-13,28,24,24
176,22,22,-22,-14,23,24,-18,21,-22,-14,4,22,22,24,23,-14,29,25,24
177,19,22,-24,-9,20,19,-19,19,-25,-11,-2,20,24,20,19,-22,25,23,19
178,16,15,-24,-5,17,16,-22,13,-24,-11,-5,11,21,16,11,-23,21,20,16
179,13,13,-25,-6,13,10,-21,10,-25,-10,-5,8,15,12,6,-23,17,17,11
180,8,9,-24,-3,7,5,-21,4,-25,-9,-8,5,11,7,2,-25,13,11,9
181,3,3,-21,-1,1,0,-19,0,-24,-4,-11,0,4,2,-4,-25,9,4,2
182,-3,-3,-19,1,-5,-7,-18,-6,-17,-1,-10,-7,0,-4,-9,-20,2,0,-4
183,-11,-10,-16,2,-9,-13,-14,-12,-12,3,-12,-11,-10,-10,-16,-18,-6,-5,-11
184,-14,-15,-11,6,-16,-17,-12,-21,-10,6,-11,-17,-14,-16,-22,-12,-12,-12,-17
185,-19,-23,-5,7,-21,-21,-7,-28,-1,9,-11,-19,-20,-20,-27,-8,-16,-16,-19
186,-23,-29,6,8,-23,-26,-1,-31,3,10,-10,-23,-23,-24,-29,-1,-24,-21,-25
187,-29,-29,9,9,-26,-30,6,-35,9,12,-10,-27,-28,-27,-31,6,-27,-25,-27
188,-29,-32,14,9,-30,-31,10,-36,13,12,-7,-29,-31,-29,-33,9,-30,-28,-30
189,-30,-37,18,8,-34,-31,17,-34,18,14,-6,-28,-32,-29,-32,13,-31,-31,-32
190,-31,-33,23,8,-29,-28,21,-32,22,13,-3,-28,-33,-27,-30,19,-31,-31,-29
191,-29,-29,26,7,-30,-27,24,-29,28,12,-1,-27,-31,-26,-27,25,-29,-31,-27
192,-26,-28,26,6,-27,-25,24,-28,27,11,5,-23,-30,-25,-25,26,-29,-29,-26
193,-21,-24,26,5,-24,-21,26,-24,28,8,11,-22,-24,-24,-21,28,-27,-28,-22
194,-18,-20,27,-1,-22,-17,26,-19,27,5,13,-18,-20,-21,-15,26,-22,-22,-19
195,-14,-15,25,-1,-14,-12,23,-15,26,2,15,-13,-15,-14,-9,24,-18,-18,-13
196,-10,-9,22,-4,-11,-7,23,-9,25,-3,17,-7,-11,-9,-4,23,-13,-15,-11
197,-5,-4,18,-9,-5,-1,18,0,22,-7,19,-3,-6,-5,3,19,-7,-9,-4
198,1,4,13,-11,1,3,16,5,17,-12,20,1,-1,1,6,16,-2,-3,1
199,7,8,8,-16,5,8,10,11,11,-15,20,5,3,5,10,12,3,0,7
200,10,12,3,-19,10,13,9,15,7,-18,18,11,10,12,15,6,7,6,12
201,13,21,-2,-18,16,20,4,21,4,-19,17,16,16,14,20,2,14,16,16
202,19,23,-6,-21,18,20,-3,22,-2,-20,14,19,19,16,23,-3,17,18,20
203,22,23,-9,-21,19,24,-9,25,-8,-20,13,21,23,19,26,-7,21,23,24
204,23,23,-10,-20,19,25,-10,27,-10,-19,8,23,21,22,26,-10,20,26,23
205,25,25,-11,-15,25,26,-13,27,-13,-17,5,24,24,23,25,-13,23,27,24
206,24,25,-14,-15,24,25,-15,25,-15,-13,1,23,24,22,25,-16,28,25,25
207,24,27,-15,-10,21,23,-17,24,-16,-11,-5,24,25,24,23,-15,26,24,23
208,22,23,-15,-4,20,21,-17,24,-15,-5,-7,20,26,22,20,-16,25,23,21
209,17,19,-14,3,20,18,-18,19,-16,0,-13,17,20,19,15,-16,24,22,19
210,14,14,-13,7,16,15,-17,13,-15,4,-14,15,16,13,10,-15,22,18,16
211,13,10,-13,10,12,11,-16,9,-11,8,-17,9,10,12,7,-13,16,14,10
212,7,7,-9,14,8,4,-13,5,-9,13,-17,6,7,7,2,-11,11,10,9
213,3,2,-9,21,3,0,-9,0,-6,18,-19,2,3,2,-3,-7,8,6,5
214,-2,-3,-5,23,-3,-6,-6,-6,-3,21,-19,-4,-1,-2,-6,-4,1,1,-2
215,-8,-9,-1,22,-8,-9,-2,-9,0,24,-16,-9,-5,-7,-10,-1,-2,-5,-5
216,-12,-12,4,22,-12,-15,4,-10,3,23,-12,-14,-10,-11,-13,4,-7,-9,-12
