,0,1,2,3,4,5,6,7,8,9,10
175,8,-2,0,-1,0,-1,1,1,-4,6,1
176,1,0,0,-2,-3,1,1,-3,-2,1,-3
177,-5,-1,-1,-4,-2,5,3,-2,3,-3,-6
178,-1,0,-1,-7,-3,5,3,-5,5,-2,-1
179,0,-2,0,-6,-5,3,-1,-4,0,-1,-4
180,-2,-1,2,-5,0,1,0,-6,-3,-2,-5
181,-5,-1,0,-2,-1,-2,1,-3,-2,-4,-3
182,4,0,1,1,1,1,2,0,-2,0,2
183,5,4,3,5,2,-2,0,4,0,9,2
184,4,4,-2,3,2,1,-5,6,-3,7,0
185,-2,6,3,3,4,0,-6,5,-4,4,-2
186,0,7,2,6,3,-2,-9,9,-1,2,-2
187,2,7,2,7,5,-2,-12,12,-5,3,-3
188,-5,10,2,7,5,-5,-13,5,-4,-1,-7
189,-8,7,4,6,2,-1,-16,1,-3,-9,-10
190,-10,6,7,11,5,-3,-16,-9,-4,-11,-10
191,-6,2,3,5,-1,-2,-14,-13,1,-10,-5
192,-2,1,4,3,-1,-1,-11,-9,1,-3,-7
193,-3,2,2,3,2,2,-7,-14,9,-7,-7
194,-2,-3,3,1,2,8,-2,-16,9,-5,-5
195,-2,0,5,-1,2,7,6,-12,12,-1,-4
196,-4,-2,4,-3,-1,8,8,0,14,-3,-5
197,-1,-2,6,-2,-1,4,9,5,10,-3,-5
198,-5,-1,4,-4,0,3,12,7,6,-2,-4
199,-7,-5,6,-6,-3,5,14,12,7,-4,-10
200,-11,-4,5,-2,-1,4,13,10,8,-9,-8
201,-11,-4,3,-4,-6,6,4,10,5,-10,-6
202,-7,-2,3,-6,-3,7,7,7,4,-6,-5
203,-9,-2,0,-5,-8,6,12,6,9,-4,-1
204,-3,-7,-2,-5,-6,10,10,5,8,-4,0
205,-5,-7,-2,-5,-6,9,6,2,9,-2,3
206,-5,-5,-3,-6,-5,8,6,10,5,1,-2
207,-6,-5,0,2,-1,7,12,13,4,-2,-7
208,-10,-1,2,2,3,2,13,14,3,-7,1
209,0,2,0,2,6,3,11,17,-1,-2,8
210,7,5,-2,6,7,-3,7,18,-1,8,9
211,7,5,0,7,6,-6,2,14,-9,7,4
212,5,8,-2,8,11,-9,2,8,-10,3,4
213,6,8,-7,6,8,-7,-4,5,-8,3,10
214,15,6,-7,5,4,-6,-3,0,-6,8,9
215,13,6,-8,7,3,-8,-6,-10,-4,10,9
216,13,3,-8,3,2,-3,-7,-12,-6,9,6
217,13,6,-7,3,4,-7,-4,-11,-2,10,4
218,10,5,-8,3,1,-6,-7,-5,-3,3,2
219,11,5,-3,5,3,-8,-4,-8,-8,6,3
220,10,9,-4,4,5,-13,-2,-14,-12,6,7
221,16,6,-2,5,4,-14,-1,-12,-14,7,10
222,15,9,-1,7,5,-14,-2,-13,-11,11,12
223,12,7,-2,3,0,-12,-8,-11,-11,8,12
