,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
89,32,51,53,52,53,49,45,51,24,-13,7,43,1,46,52,53,45,60,59,57,54,-9,110,104,78,77,101,70,92,99,95
90,57,38,31,19,23,40,56,55,19,-6,11,18,-2,20,33,45,26,38,13,14,15,-14,78,52,110,105,74,106,98,65,53
91,42,3,-11,-24,-17,3,30,24,15,3,12,-19,-8,-25,-11,11,-14,-7,-35,-35,-28,-16,5,-28,73,67,4,74,53,-4,-22
92,1,-32,-40,-43,-42,-31,-13,-19,14,11,15,-43,-14,-54,-44,-31,-53,-45,-60,-61,-56,-22,-77,-96,-5,-9,-75,0,-23,-77,-92
93,-37,-49,-43,-41,-40,-48,-41,-46,12,21,17,-43,-17,-48,-48,-54,-58,-60,-54,-54,-51,-23,-121,-109,-75,-79,-112,-71,-88,-109,-105
94,-49,-35,-29,-20,-18,-34,-41,-42,15,29,18,-18,-20,-17,-25,-41,-27,-45,-18,-16,-20,-23,-97,-59,-105,-104,-75,-99,-105,-67,-51
95,-33,-5,3,17,17,-8,-18,-14,14,36,23,15,-24,20,12,-4,11,-3,36,34,28,-23,-15,29,-72,-70,9,-73,-61,18,38
96,-1,31,35,46,46,30,16,20,15,45,26,36,-25,46,41,30,41,45,68,67,67,-21,69,98,4,2,84,-3,23,86,94
97,34,51,48,43,45,49,47,49,15,54,28,39,-27,47,50,50,49,69,56,57,64,-20,109,109,76,75,103,69,90,103,95
98,51,36,27,14,17,37,51,48,16,61,24,16,-28,18,36,46,28,51,14,12,24,-15,83,51,103,101,69,102,101,64,47
99,34,1,-9,-22,-17,2,25,19,16,72,11,-14,-27,-22,-4,14,-9,0,-29,-32,-28,-10,3,-32,71,70,-2,74,52,-12,-31
100,-4,-32,-37,-47,-45,-31,-17,-23,16,77,2,-39,-27,-45,-43,-29,-45,-41,-51,-51,-58,-5,-73,-92,-2,-5,-75,3,-26,-82,-93
101,-38,-48,-49,-47,-47,-47,-42,-45,17,84,-1,-42,-25,-44,-53,-56,-49,-61,-51,-52,-54,1,-108,-99,-74,-75,-106,-68,-88,-105,-104
102,-46,-37,-33,-20,-22,-37,-45,-41,18,92,-1,-17,-21,-15,-25,-43,-22,-46,-25,-22,-21,5,-80,-50,-103,-102,-74,-99,-99,-69,-54
103,-33,-3,5,23,19,-7,-27,-16,19,99,-7,16,-15,21,15,-6,16,-1,25,29,30,8,-8,30,-70,-66,4,-70,-53,9,29
104,0,38,42,48,48,36,8,19,21,108,-16,40,-11,45,42,30,48,50,69,68,66,10,74,92,10,12,81,5,23,80,92
105,37,52,51,41,43,53,42,45,21,115,-15,39,-10,47,51,50,51,69,58,57,60,13,113,102,82,86,107,79,83,99,97
106,52,35,24,12,15,35,46,43,26,119,-2,14,-4,20,29,43,30,46,12,8,21,17,86,50,101,102,68,99,94,58,44
107,32,-2,-12,-23,-21,0,20,13,25,124,-4,-19,1,-19,-9,13,-11,1,-34,-33,-23,22,13,-28,61,61,-8,63,52,-18,-34
108,-2,-29,-34,-40,-38,-27,-16,-21,28,131,-15,-39,5,-47,-41,-27,-44,-35,-55,-55,-50,25,-65,-93,-8,-9,-77,-3,-25,-83,-89
109,-33,-38,-37,-38,-38,-39,-44,-42,29,135,-17,-36,12,-48,-52,-55,-50,-53,-52,-53,-54,23,-107,-105,-72,-72,-99,-69,-87,-100,-94
110,-46,-30,-22,-15,-15,-30,-48,-42,28,139,-10,-14,11,-20,-26,-44,-24,-47,-27,-24,-31,20,-79,-50,-105,-103,-67,-102,-98,-61,-45
111,-35,-2,8,19,17,-2,-26,-18,30,142,-10,21,11,17,12,-9,16,-9,21,26,20,18,0,33,-73,-71,7,-75,-50,12,29
112,2,32,42,44,45,29,15,24,31,144,-6,41,11,45,42,31,43,46,64,70,63,18,81,97,7,11,77,1,31,80,88
113,43,48,47,42,43,46,47,53,29,146,2,34,13,47,48,50,50,75,65,67,65,18,106,92,81,84,102,75,89,99,94
114,54,33,24,12,15,29,49,47,31,147,7,9,12,20,28,40,32,54,22,23,18,13,69,38,104,104,68,102,90,62,43
115,31,0,-10,-19,-23,-4,19,10,29,149,7,-22,10,-16,-7,12,-8,1,-34,-35,-30,8,3,-33,60,63,-3,66,42,-11,-32
116,-4,-31,-32,-37,-40,-31,-14,-22,27,151,8,-39,10,-44,-46,-28,-44,-37,-67,-66,-54,4,-69,-93,-14,-14,-75,-7,-27,-77,-87
117,-31,-40,-38,-40,-39,-41,-36,-38,23,149,16,-34,7,-44,-54,-52,-51,-53,-61,-61,-54,5,-108,-102,-81,-82,-100,-75,-85,-97,-90
118,-37,-37,-31,-22,-26,-39,-36,-37,21,151,18,-9,4,-23,-28,-39,-25,-45,-21,-21,-30,1,-81,-48,-106,-105,-64,-101,-100,-58,-37
119,-27,-9,1,23,16,-9,-17,-14,19,151,11,25,4,12,9,-3,13,-13,31,32,18,-2,0,40,-72,-71,13,-73,-52,22,44
120,7,35,50,61,57,35,14,22,15,150,-1,43,-2,40,38,30,42,37,65,65,62,-6,81,103,4,2,82,-1,31,85,96
121,37,62,59,54,54,64,42,46,15,149,-7,32,-4,45,47,48,50,70,61,61,69,-11,112,100,79,77,95,74,90,94,89
122,47,32,23,7,8,36,43,43,12,149,-6,5,-6,24,31,45,29,55,19,20,28,-11,75,43,104,103,54,104,95,51,39
123,29,-18,-25,-34,-33,-12,17,12,10,147,-2,-22,-9,-11,-5,14,-9,1,-29,-31,-28,-12,-3,-35,65,62,-12,68,43,-18,-29
124,-7,-43,-43,-44,-44,-42,-16,-17,8,145,-3,-39,-11,-39,-43,-32,-44,-52,-69,-67,-63,-11,-78,-93,-13,-15,-76,-4,-32,-80,-83
125,-32,-47,-45,-41,-42,-45,-37,-37,7,141,-9,-36,-15,-41,-54,-54,-51,-75,-73,-69,-61,-9,-108,-99,-76,-78,-104,-69,-88,-101,-92
126,-41,-40,-36,-25,-28,-40,-41,-41,8,138,-9,-9,-15,-22,-29,-44,-30,-59,-32,-29,-25,-6,-78,-47,-91,-91,-70,-89,-99,-61,-40
127,-33,-13,-1,17,15,-14,-31,-21,6,133,-6,24,-14,11,9,-10,4,-14,32,36,26,-6,-3,34,-58,-57,8,-60,-50,18,39
128,0,36,48,64,63,36,11,23,5,128,-8,24,-13,35,40,25,37,37,80,75,65,-6,76,98,6,7,84,2,26,85,98
129,44,76,77,73,75,76,54,59,7,122,-5,11,-12,42,51,49,50,63,67,65,66,-6,110,99,75,73,102,72,89,97,96
130,64,61,49,26,29,63,55,50,7,119,3,0,-10,25,35,46,33,49,21,15,27,-3,76,43,103,100,58,98,95,50,35
131,32,0,-15,-38,-35,5,9,5,10,113,6,-13,-8,-6,-5,16,-7,6,-32,-39,-20,-2,-2,-38,68,60,-16,65,42,-24,-40
132,-18,-54,-66,-75,-73,-55,-33,-33,14,109,-2,-35,-6,-34,-40,-25,-42,-40,-72,-75,-60,-1,-73,-90,-16,-17,-77,-12,-30,-84,-90
133,-42,-77,-76,-71,-71,-78,-45,-44,19,103,0,-40,-3,-42,-48,-46,-50,-70,-73,-74,-68,1,-99,-89,-82,-83,-97,-79,-82,-99,-93
134,-44,-57,-47,-34,-36,-59,-45,-40,19,92,10,-9,0,-24,-32,-39,-32,-60,-31,-29,-35,2,-70,-40,-98,-97,-64,-95,-86,-60,-43
135,-38,-12,0,19,17,-16,-31,-24,20,86,1,32,2,11,5,-11,6,-8,40,40,30,4,-5,30,-54,-53,11,-58,-42,15,36
136,-9,45,57,72,70,41,9,19,23,79,-18,42,3,37,37,23,41,55,87,86,76,4,68,92,17,15,83,10,25,83,94
137,41,88,91,89,88,84,58,65,24,70,-24,17,4,42,49,48,53,84,76,73,72,5,106,96,79,75,107,69,87,98,90
138,76,81,67,47,46,79,75,69,26,62,-24,-7,5,21,34,48,35,60,15,12,25,5,74,41,94,93,64,91,95,50,32
139,55,23,-1,-22,-22,22,40,23,29,55,-33,-22,6,-12,-6,16,-1,11,-49,-52,-29,2,-6,-42,55,56,-10,57,45,-22,-40
140,-6,-46,-62,-72,-77,-49,-25,-41,27,44,-38,-20,4,-36,-40,-25,-35,-40,-80,-81,-72,-1,-80,-96,-19,-17,-68,-11,-35,-77,-85
141,-63,-80,-83,-77,-83,-81,-72,-76,25,34,-35,-9,5,-39,-51,-54,-45,-71,-67,-65,-80,-1,-101,-87,-82,-78,-84,-73,-88,-86,-82
142,-74,-70,-63,-45,-53,-74,-76,-69,26,28,-34,6,1,-19,-31,-45,-29,-62,-22,-18,-40,-2,-66,-31,-96,-94,-52,-90,-84,-49,-35
143,-53,-28,-15,11,3,-31,-40,-33,25,10,-34,23,-2,14,3,-18,0,-7,41,44,30,-4,5,40,-60,-54,12,-57,-32,17,33
144,-7,33,52,69,64,32,13,21,21,1,-31,29,-4,39,35,18,34,59,86,86,81,-5,72,91,19,20,78,16,32,80,88
145,50,81,88,87,84,77,66,73,20,-10,-25,23,-7,40,51,43,50,91,80,79,79,-5,101,89,82,83,101,79,81,96,92
146,86,76,65,48,47,76,91,88,22,-21,-25,2,-9,17,37,42,36,63,25,23,24,-6,70,35,96,93,59,95,85,51,33
147,76,17,-1,-24,-21,20,58,45,20,-32,-24,-15,-15,-12,0,15,0,-3,-49,-48,-43,-9,-7,-41,47,46,-19,51,35,-26,-47
148,15,-44,-52,-62,-62,-43,-12,-28,16,-43,-23,-28,-18,-36,-34,-22,-30,-59,-90,-89,-78,-8,-76,-92,-22,-22,-83,-14,-37,-84,-92
149,-51,-67,-64,-64,-61,-67,-69,-74,17,-54,-17,-17,-19,-40,-45,-45,-45,-78,-80,-79,-71,-9,-99,-89,-71,-69,-94,-60,-87,-89,-82
150,-82,-54,-48,-38,-39,-57,-80,-79,17,-63,-10,11,-19,-16,-33,-43,-33,-57,-28,-26,-29,-8,-66,-32,-82,-81,-52,-73,-87,-41,-25
151,-67,-22,-9,4,3,-25,-53,-46,17,-71,-5,29,-20,17,-3,-15,-1,-6,41,45,33,-6,9,44,-52,-51,19,-45,-39,28,44
152,-21,28,44,57,60,24,-1,14,12,-81,-7,22,-21,38,31,17,32,54,92,98,83,-4,80,94,13,13,77,14,38,79,87
153,41,79,85,88,90,75,61,71,12,-89,-14,4,-22,32,45,44,45,89,87,88,85,-4,100,84,76,73,90,76,87,87,84
154,84,83,71,48,55,82,89,87,13,-100,-8,-9,-19,9,30,50,34,68,27,24,32,0,58,23,88,85,48,90,80,45,29
155,70,22,0,-29,-23,24,56,41,11,-108,0,-19,-19,-20,3,27,6,1,-50,-53,-39,4,-13,-41,45,39,-21,47,26,-25,-43
156,10,-53,-69,-82,-78,-50,-12,-27,12,-119,-4,-24,-16,-40,-33,-10,-27,-63,-98,-97,-86,3,-68,-79,-21,-26,-79,-16,-39,-77,-86
157,-50,-86,-86,-78,-78,-87,-58,-66,10,-127,-6,-16,-12,-41,-45,-36,-42,-93,-86,-83,-83,5,-85,-77,-67,-71,-91,-63,-73,-84,-80
158,-70,-65,-54,-36,-40,-64,-62,-61,10,-137,2,7,-8,-16,-36,-37,-30,-72,-29,-28,-34,8,-57,-33,-76,-75,-52,-71,-72,-40,-26
159,-54,-16,-1,14,12,-17,-42,-37,11,-146,7,26,-3,20,-2,-15,-3,-10,36,36,36,10,5,40,-40,-42,22,-41,-34,32,47
160,-22,30,41,56,50,32,-1,5,11,-157,7,22,0,31,30,17,31,59,82,82,90,10,73,90,21,22,81,15,35,87,94
161,29,65,70,77,74,67,53,64,14,-166,16,6,4,18,42,41,42,100,89,89,93,12,94,81,71,70,91,66,83,87,76
162,80,75,70,63,63,79,86,87,14,-171,21,-15,9,7,37,43,30,77,40,40,38,11,58,24,76,75,42,73,76,34,18
163,78,41,27,5,6,47,60,47,11,-177,20,-24,12,-3,10,22,1,7,-37,-40,-39,10,-12,-40,37,31,-23,36,23,-31,-42
