,0,1
698,-11,-5
699,-8,-11
700,-3,-17
701,1,-23
702,3,-26
703,10,-27
704,12,-27
705,14,-28
706,17,-23
707,16,-19
708,13,-15
709,14,-10
710,14,-3
711,13,7
712,10,13
713,10,18
714,8,26
715,5,26
716,3,30
717,-1,33
718,-1,33
719,-3,32
720,-4,32
721,-4,30
722,-7,25
723,-9,19
724,-12,12
725,-13,5
726,-14,-3
727,-14,-10
728,-14,-13
729,-11,-20
730,-12,-25
731,-10,-26
732,-6,-24
733,-6,-26
734,-2,-28
735,2,-26
736,5,-23
737,7,-19
738,8,-13
739,13,-9
740,17,-1
741,16,5
742,17,10
743,16,19
744,17,23
745,13,29
746,9,31
747,3,34
748,1,32
749,-3,30
750,-6,30
751,-10,24
752,-15,19
753,-16,11
754,-20,4
755,-24,-6
756,-21,-14
757,-20,-22
758,-19,-28
759,-15,-34
760,-10,-37
761,-6,-40
762,-3,-39
763,4,-37
764,11,-38
765,13,-31
766,15,-25
767,22,-17
768,24,-6
769,23,-1
770,19,7
771,19,16
772,16,21
773,16,27
774,11,31
775,6,33
776,0,32
777,-7,31
778,-11,28
779,-16,26
780,-19,21
781,-25,15
782,-26,7
783,-25,1
784,-24,-7
785,-20,-11
786,-17,-17
787,-11,-20
788,-5,-26
789,-1,-26
790,5,-25
791,12,-24
792,21,-22
793,25,-19
794,26,-14
795,28,-7
796,29,-2
797,25,4
798,21,11
799,17,17
800,11,20
801,5,25
802,-5,29
803,-9,32
804,-14,30
805,-21,30
806,-26,26
807,-30,23
808,-33,19
809,-31,13
810,-28,4
811,-23,-2
812,-16,-6
813,-13,-11
814,-7,-15
815,1,-20
816,6,-19
817,12,-21
818,18,-20
819,24,-23
820,29,-22
821,32,-22
822,34,-17
823,32,-13
824,28,-9
825,22,-2
826,19,2
827,15,6
828,9,11
829,2,13
830,-4,15
831,-9,19
832,-14,20
833,-16,21
834,-20,18
835,-20,16
836,-21,13
837,-22,9
838,-22,7
839,-20,2
840,-17,0
841,-12,-4
842,-9,-10
843,-5,-12
844,-1,-16
845,3,-20
846,7,-20
847,11,-23
848,14,-24
849,18,-21
850,21,-19
851,25,-15
852,27,-13
853,24,-14
854,25,-9
855,24,-3
856,20,-2
857,14,3
858,9,11
859,3,14
860,-3,17
861,-7,24
862,-12,24
863,-17,26
864,-24,27
865,-27,25
866,-33,25
867,-34,20
868,-34,20
869,-33,16
870,-29,10
871,-26,7
872,-20,3
873,-14,0
874,-6,-6
875,6,-9
876,14,-13
877,19,-15
878,30,-18
879,36,-19
880,38,-20
881,40,-19
882,43,-18
883,39,-15
884,34,-11
885,28,-7
886,22,-5
887,12,0
888,3,3
889,-8,7
890,-20,12
891,-29,14
892,-35,17
893,-41,18
894,-43,18
895,-45,18
896,-45,16
897,-40,17
898,-34,11
899,-28,9
900,-19,6
901,-8,1
902,4,-3
903,16,-5
904,25,-10
905,34,-17
906,40,-19
907,46,-20
908,48,-23
909,51,-23
910,48,-24
911,41,-20
912,34,-17
913,26,-14
914,14,-10
915,5,-7
916,-7,-3
917,-17,2
918,-25,4
919,-33,10
920,-39,13
921,-45,16
922,-45,20
923,-43,21
924,-39,22
925,-35,22
926,-27,22
927,-19,18
928,-12,17
929,-3,13
930,8,8
931,15,4
932,24,-1
933,30,-6
934,36,-12
935,41,-14
936,40,-17
937,41,-18
938,38,-21
939,33,-22
940,31,-22
941,26,-20
942,17,-16
943,11,-15
944,5,-10
945,-3,-4
946,-12,3
947,-20,8
948,-25,12
949,-31,20
950,-32,23
951,-38,27
952,-39,31
953,-35,32
954,-33,33
955,-27,32
956,-19,29
957,-12,24
958,-4,20
959,4,13
