,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
152,-5,-2,-6,-5,-8,-6,-8,-8,-4,-6,-8,-7,-6,-9,-7,-12
153,-4,-1,-7,-3,-10,-6,-7,-5,-7,-3,-7,-6,-9,-6,-7,-10
154,-1,0,-7,-1,-10,-9,-6,-4,-8,-4,-4,-5,-12,-5,-10,-6
155,1,0,-8,0,-7,-10,-5,-2,-8,1,-2,-2,-13,-3,-10,-5
156,3,1,-10,2,-5,-12,-1,-1,-11,1,0,1,-11,-4,-10,-3
157,4,2,-9,2,-2,-10,-1,2,-8,1,0,3,-10,0,-7,-2
158,3,3,-9,1,3,-11,-2,4,-8,3,0,5,-10,3,-8,2
159,4,4,-7,1,5,-11,4,5,-8,8,2,6,-8,4,-7,1
160,6,0,-8,1,5,-7,4,9,-7,8,5,7,-6,6,-4,3
161,6,4,-4,-1,7,-7,5,7,-5,8,7,8,-2,8,-3,4
162,3,2,-1,-4,8,-4,5,8,-4,7,4,4,-2,8,-1,2
163,3,2,-2,-1,8,-2,4,5,-1,5,2,5,0,6,1,4
164,3,-1,-1,-4,8,1,4,2,1,5,4,1,1,4,4,5
165,2,-1,0,-6,6,2,2,0,3,3,2,1,3,3,3,4
166,0,-4,0,-5,4,1,1,1,5,1,2,-1,3,3,4,2
167,-3,-4,1,-5,2,4,0,-1,5,-2,0,-1,7,0,4,0
168,-2,-4,2,-5,-4,3,-2,-5,6,-2,-2,-4,6,-1,6,0
169,-5,-7,1,-5,-6,2,-2,-5,5,-2,-2,-6,6,-4,4,-2
170,-5,-7,3,-6,-6,3,-3,-5,6,-5,1,-3,6,-5,6,-3
171,-3,-6,0,-4,-7,3,-3,-3,4,-5,-1,-5,5,-4,5,-5
172,-6,-5,3,-3,-7,4,-3,-4,3,-2,-1,-1,6,-5,4,-6
173,-4,-3,3,1,-8,5,-2,-1,5,2,-1,0,3,-3,6,-5
174,-2,-1,4,5,-4,6,1,1,3,2,1,2,4,-2,7,-4
175,0,2,6,6,-5,5,3,3,2,2,2,2,2,1,7,-2
176,5,6,4,9,-4,6,3,6,5,5,4,6,4,3,5,1
177,6,10,6,14,1,8,8,11,4,9,6,8,5,9,5,2
178,10,10,6,19,4,6,9,10,4,10,10,9,2,10,7,6
179,12,14,9,20,8,7,9,13,5,11,10,12,6,13,6,8
180,14,16,9,20,11,7,12,15,5,16,13,14,5,15,5,11
181,15,15,11,20,14,7,13,18,5,15,15,14,4,16,6,11
182,14,18,10,18,13,7,12,16,7,14,16,13,6,18,7,12
183,16,17,11,18,14,5,14,15,9,11,16,13,8,17,4,13
184,14,13,11,12,16,4,13,13,7,10,14,10,6,15,4,12
185,12,11,10,11,16,3,11,11,9,8,12,7,1,12,3,11
186,10,10,9,7,14,1,8,10,8,5,8,4,3,7,0,9
187,7,6,7,1,12,1,4,4,8,-1,5,-2,1,2,-4,8
188,3,2,5,-5,7,0,-2,1,5,0,1,-3,0,-2,-2,3
189,-3,-2,1,-8,5,-4,-2,-3,2,-4,-2,-7,-1,-6,-4,0
190,-4,-6,0,-11,-1,-5,-5,-7,1,-10,-6,-11,-1,-9,-8,-4
191,-8,-10,-4,-17,-3,-6,-10,-9,-1,-11,-10,-10,-4,-12,-9,-8
192,-12,-11,-7,-19,-6,-9,-11,-13,-3,-13,-13,-12,-7,-15,-8,-11
193,-12,-16,-8,-18,-9,-9,-14,-14,-7,-17,-14,-13,-9,-17,-10,-11
194,-13,-16,-10,-19,-12,-9,-16,-15,-10,-17,-15,-11,-11,-15,-8,-13
195,-16,-15,-10,-16,-13,-8,-16,-11,-9,-14,-16,-9,-9,-14,-8,-12
196,-12,-12,-13,-13,-11,-8,-15,-11,-10,-12,-14,-8,-8,-16,-6,-13
197,-9,-12,-13,-9,-13,-8,-14,-10,-11,-8,-14,-7,-6,-11,-8,-11
198,-9,-9,-11,-5,-10,-6,-11,-8,-9,-4,-10,-2,-8,-7,-7,-10
