,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
114,5,8,10,1,-7,-3,-2,-6,-2,0,-4,-8,-2,4,2,8,4,2,-2,4
115,3,4,12,-3,-12,-4,-3,-7,-3,1,-4,-9,-4,1,3,4,1,-1,-3,1
116,1,6,13,-3,-10,-3,-6,-9,-6,-2,-6,-11,-6,-2,-1,7,-1,-4,-7,1
117,2,7,13,-7,-8,-3,-9,-7,-6,-2,-8,-9,-4,-4,0,5,-1,-5,-8,-1
118,1,8,14,-7,-9,-3,-8,-8,-9,-3,-9,-9,-8,-6,-1,0,-1,-6,-10,-4
119,1,10,11,-9,-11,-4,-8,-9,-8,-6,-9,-8,-8,-6,-3,-1,-5,-6,-11,-6
120,-2,9,9,-10,-7,-4,-10,-9,-12,-7,-9,-10,-8,-8,-4,-1,-7,-8,-12,-7
121,-6,9,7,-12,-6,-6,-12,-8,-13,-8,-9,-7,-9,-9,-5,-3,-7,-11,-11,-8
122,-7,9,8,-11,-2,-6,-11,-6,-12,-11,-8,-7,-12,-10,-7,-6,-7,-11,-13,-10
123,-11,10,6,-13,-1,-9,-15,-5,-13,-10,-10,-6,-9,-9,-8,-7,-8,-9,-13,-11
124,-13,11,2,-13,-2,-10,-11,-2,-12,-13,-9,-2,-7,-10,-10,-5,-10,-7,-10,-10
125,-13,10,1,-12,1,-11,-11,-4,-10,-12,-3,-3,-6,-8,-11,-7,-9,-10,-8,-9
126,-17,12,-1,-12,1,-8,-6,-1,-9,-12,-4,-3,-6,-6,-11,-10,-8,-8,-6,-8
127,-15,11,-1,-6,4,-6,-4,2,-6,-8,-3,0,-4,-5,-8,-7,-5,-8,-2,-6
128,-13,11,-4,-2,3,-4,-4,1,0,-3,-1,-1,-3,-5,-8,-7,-4,-7,2,-5
129,-12,10,-5,3,3,-3,3,1,4,1,1,2,-2,-3,-9,-6,-2,-6,5,-6
130,-7,5,-6,7,5,3,6,2,7,6,2,1,-1,-3,-3,-5,4,-5,11,-5
131,-4,3,-9,10,5,3,9,4,11,6,4,3,-2,-1,-1,-5,6,-3,14,-4
132,1,0,-9,11,6,8,13,5,17,9,2,2,-1,-1,1,-4,8,-1,16,-5
133,6,0,-11,15,6,11,14,3,17,12,4,4,2,1,5,-3,10,0,17,-3
134,11,-5,-12,18,4,12,17,1,23,14,2,6,1,2,9,-4,14,-2,20,-4
135,14,-7,-10,19,5,14,18,3,22,17,0,5,3,1,12,-4,14,1,19,-1
136,16,-10,-13,19,4,17,20,5,19,19,2,6,5,-1,13,-1,15,0,16,0
137,16,-9,-11,22,3,18,19,3,18,18,3,5,4,2,18,-3,15,3,13,-2
138,19,-11,-9,18,0,16,17,4,15,16,0,5,1,2,16,-2,14,0,14,-1
139,19,-11,-7,15,1,13,13,5,15,14,2,2,1,2,14,-2,13,-1,12,1
140,18,-10,-8,11,-2,14,9,2,12,10,0,2,-1,0,13,0,11,-1,10,1
141,13,-13,-5,7,1,10,7,4,9,7,-1,-1,-1,1,13,0,8,0,7,0
142,12,-13,-3,6,0,6,2,4,6,4,-1,0,-1,1,11,-1,7,1,1,-1
143,9,-11,-2,3,-2,5,-1,3,3,-2,-3,0,0,2,7,1,4,0,-1,-1
144,7,-11,-4,0,-1,-1,-5,1,-1,0,-4,2,-3,1,7,0,-1,1,-5,-1
145,4,-11,-2,-3,0,-3,-7,1,-4,-1,-6,0,-2,1,2,0,-2,1,-7,0
146,1,-13,-4,-3,-1,-4,-7,1,-6,-2,-5,0,-3,0,-1,-1,-4,-2,-6,-1
147,-3,-12,-1,-7,-4,-9,-9,-1,-9,-6,-4,-1,-1,-2,-3,-3,-7,-2,-10,-1
148,-4,-12,-2,-7,-1,-9,-10,-2,-12,-8,-6,-2,-3,-1,-3,-2,-8,-3,-11,-2
149,-6,-11,-2,-9,1,-11,-13,-1,-14,-8,-6,0,-3,-1,-5,-1,-13,-4,-13,0
150,-9,-6,-3,-12,2,-13,-12,-2,-13,-7,-4,3,-4,-3,-6,-4,-11,-3,-13,0
151,-9,-5,-3,-11,0,-14,-9,0,-13,-9,-5,3,-2,-3,-8,-2,-11,-1,-13,0
152,-8,-5,-4,-11,3,-13,-9,2,-11,-8,-4,5,-3,-1,-7,-4,-10,0,-11,0
153,-9,-5,-5,-11,4,-11,-10,0,-10,-9,-1,3,-1,0,-9,-2,-10,-2,-9,0
154,-11,3,-5,-9,5,-9,-8,2,-9,-7,0,4,1,-1,-9,0,-8,2,-8,3
155,-10,2,-4,-8,6,-8,-3,3,-9,-6,1,5,0,-1,-7,-1,-8,3,-7,3
156,-5,2,-5,-6,7,-5,-2,5,-5,-3,2,7,4,2,-6,3,-4,2,-6,2
157,-3,1,-1,-2,6,-2,-1,5,-1,-3,3,8,6,3,-4,3,-3,5,-3,3
158,-3,4,1,1,7,1,2,4,1,-3,5,7,8,2,0,4,0,6,-1,3
159,-3,2,4,5,8,3,4,5,5,0,10,7,9,5,0,5,3,8,5,4
160,-1,4,5,5,8,7,6,7,7,3,11,5,10,4,1,3,7,9,8,7
161,2,4,7,7,7,8,8,6,7,5,13,4,12,8,4,5,8,10,8,7
162,5,6,6,8,6,12,7,6,7,7,14,3,13,7,6,10,8,12,10,9
163,6,3,10,10,4,11,7,5,7,5,14,4,13,8,8,10,8,11,10,9
164,6,1,11,10,3,10,6,4,7,6,15,3,13,7,7,10,9,9,12,11
165,7,4,12,9,2,9,6,3,5,7,15,2,13,9,9,10,9,9,5,12
166,8,3,14,9,1,10,4,2,4,5,14,1,11,11,9,10,7,11,6,10
167,9,5,11,7,-1,10,1,0,0,4,12,0,10,10,6,13,5,10,3,11
168,6,5,13,4,-1,4,-2,0,-1,0,12,1,8,9,9,11,4,8,1,10
169,4,7,13,0,-2,2,-3,-2,-4,-1,9,-1,5,11,4,11,0,8,-3,10
170,2,9,12,-4,-2,-2,-6,-2,-6,-4,6,-1,6,12,1,10,-4,7,-4,8
171,0,10,11,-8,-7,-3,-8,-3,-8,-6,6,-6,6,11,-3,9,-6,3,-8,6
172,-4,10,13,-8,-8,-7,-11,-5,-11,-9,2,-8,1,4,-6,6,-10,-1,-10,4
173,-6,15,10,-9,-8,-12,-13,-6,-12,-10,1,-6,-5,4,-10,6,-13,-6,-12,1
174,-10,17,8,-11,-6,-14,-12,-4,-11,-10,-3,-6,-7,3,-9,0,-13,-5,-12,-1
