,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
164,10,23,14,6,17,6,9,11,11,6,11,8,13,11,8,12
165,10,25,16,9,16,9,11,11,12,11,13,10,15,9,12,11
166,12,23,15,9,18,7,12,12,14,12,10,14,16,11,14,12
167,15,23,13,9,17,9,15,14,14,10,13,10,16,14,12,14
168,16,17,15,11,16,10,14,12,15,13,15,10,14,15,14,15
169,15,17,13,15,14,13,17,12,16,13,14,12,13,15,16,15
170,14,11,10,13,10,11,18,11,14,14,13,14,10,14,14,16
171,16,8,8,11,9,14,15,7,14,15,13,13,8,14,12,18
172,12,3,4,12,8,13,14,5,15,13,11,13,9,10,9,13
173,12,-2,2,10,4,12,12,2,12,12,9,14,6,11,10,12
174,12,-5,2,8,2,11,9,0,7,11,5,11,1,11,11,12
175,6,-9,-1,6,-3,10,6,0,7,9,4,10,-2,6,6,8
176,2,-11,-3,4,-3,5,3,-4,4,6,1,8,-3,3,4,5
177,1,-15,-7,-1,-5,3,3,-4,0,1,-3,3,-5,1,1,0
178,-2,-17,-9,-3,-8,2,-1,-5,-1,1,-2,-1,-8,-1,-2,-2
179,-5,-17,-12,-4,-12,1,-2,-9,-5,0,-3,-1,-12,0,-5,-3
180,-8,-18,-11,-6,-14,-2,-4,-9,-6,-3,-7,-3,-10,-3,-5,-7
181,-10,-18,-12,-8,-14,-6,-8,-8,-10,-7,-10,-9,-12,-7,-8,-9
182,-13,-17,-15,-9,-15,-9,-10,-10,-11,-9,-10,-8,-14,-12,-11,-14
183,-14,-14,-14,-12,-16,-10,-11,-13,-13,-8,-11,-10,-13,-12,-12,-13
184,-14,-12,-13,-13,-15,-10,-13,-13,-12,-11,-13,-13,-10,-11,-12,-14
185,-14,-8,-14,-13,-14,-13,-12,-12,-14,-13,-13,-14,-12,-11,-14,-14
186,-14,-3,-11,-13,-11,-13,-15,-14,-16,-14,-14,-16,-9,-14,-14,-15
187,-14,0,-8,-14,-9,-14,-14,-13,-15,-14,-12,-15,-6,-13,-12,-14
188,-10,2,-7,-13,-7,-14,-16,-9,-14,-15,-11,-16,-5,-11,-9,-13
189,-10,4,-3,-13,-7,-14,-14,-9,-14,-14,-6,-14,-1,-10,-10,-10
190,-9,8,1,-9,-5,-12,-12,-5,-10,-14,-4,-10,1,-10,-8,-7
191,-5,9,6,-6,-1,-10,-9,2,-5,-11,-2,-9,3,-7,-3,-7
192,-1,10,9,-1,6,-9,-5,4,-3,-6,0,-7,11,-2,-1,-2
193,4,11,11,1,9,-5,-3,8,0,-3,2,-3,13,1,2,4
194,6,11,15,2,13,-5,3,13,5,3,8,3,17,4,7,7
195,14,12,19,7,18,1,8,18,8,4,13,6,20,8,11,8
196,14,12,21,13,20,6,13,19,13,8,17,8,19,12,17,10
197,18,11,24,16,18,9,17,22,17,14,21,13,21,15,15,17
198,21,8,25,17,21,13,20,21,20,16,22,19,20,17,19,19
199,23,2,24,17,22,14,20,22,20,19,22,21,21,20,19,18
200,23,-1,25,20,20,17,21,20,23,21,23,22,18,21,21,19
201,21,-1,22,20,17,16,22,17,26,24,23,23,17,21,19,21
202,24,-3,16,20,17,18,23,15,23,22,19,22,13,22,17,20
203,22,-3,11,16,14,20,21,9,21,23,19,21,9,22,16,20
204,19,-3,8,15,9,19,19,9,16,21,16,19,5,23,11,20
205,16,-2,1,13,5,15,15,4,14,18,12,15,1,18,10,17
206,13,-3,-4,9,1,15,12,-1,10,12,6,15,-4,12,6,12
207,9,0,-11,6,-6,12,5,-7,3,11,3,7,-12,10,0,11
208,-1,2,-13,1,-10,9,-1,-11,-2,6,0,7,-16,7,-1,4
209,-6,0,-20,-5,-15,3,-8,-16,-7,-1,-7,3,-20,-1,-8,-1
210,-12,2,-22,-11,-19,-2,-12,-18,-10,-5,-10,-3,-21,-5,-11,-6
211,-16,6,-25,-13,-22,-7,-15,-22,-16,-9,-10,-10,-22,-12,-16,-11
212,-18,9,-26,-14,-27,-11,-21,-22,-19,-15,-18,-15,-24,-14,-18,-17
213,-23,9,-25,-19,-24,-16,-24,-22,-19,-18,-24,-17,-26,-18,-20,-20
214,-24,9,-24,-21,-26,-20,-24,-23,-22,-22,-25,-21,-23,-24,-23,-26
215,-27,12,-21,-19,-27,-22,-26,-21,-24,-25,-25,-23,-23,-24,-24,-27
216,-28,12,-20,-20,-23,-21,-27,-21,-26,-25,-24,-24,-17,-26,-23,-27
217,-23,9,-18,-22,-19,-25,-26,-17,-24,-25,-21,-28,-14,-27,-21,-26
218,-23,10,-15,-20,-15,-22,-21,-13,-20,-24,-18,-24,-9,-25,-19,-23
219,-19,8,-7,-15,-11,-21,-17,-11,-15,-20,-13,-19,-2,-22,-14,-23
220,-12,7,-3,-12,-3,-17,-13,-3,-12,-19,-9,-16,2,-16,-11,-18
221,-10,5,4,-9,1,-14,-7,1,-9,-17,-5,-15,9,-14,-6,-16
222,-5,3,10,-3,6,-10,-4,6,-3,-12,-1,-12,12,-10,-1,-6
223,0,0,15,2,12,-5,2,11,3,-8,4,-8,13,-3,4,0
224,6,-4,16,6,14,-1,9,13,6,-2,9,-1,17,5,11,3
225,9,-6,18,10,19,6,10,14,11,4,14,6,19,7,12,9
226,13,-11,20,15,21,8,14,16,14,11,16,10,20,11,17,13
227,16,-14,18,16,22,11,16,17,16,15,17,14,18,16,18,17
228,18,-15,16,18,21,17,18,18,18,19,18,18,15,19,18,18
229,20,-15,12,19,20,17,16,15,19,23,19,20,13,22,18,20
230,17,-18,13,20,15,17,17,13,17,22,19,22,11,22,18,22
231,19,-16,9,17,14,14,16,13,14,21,16,23,8,21,16,20
232,16,-16,5,14,11,15,14,10,13,18,12,22,4,17,13,17
233,12,-16,3,13,8,15,10,3,8,16,8,20,1,13,10,15
234,10,-14,-2,10,4,11,9,-1,5,14,4,16,-2,11,6,11
235,7,-13,-5,5,-3,7,6,-1,1,8,-4,13,-7,6,1,8
236,1,-11,-9,1,-5,5,0,-3,-3,7,-5,8,-11,2,-2,3
237,-2,-6,-12,0,-9,0,-2,-10,-5,-1,-5,3,-13,-2,-7,-2
238,-5,-4,-12,-6,-11,-2,-4,-12,-6,-3,-10,0,-12,-3,-7,-5
239,-10,-2,-13,-6,-12,-5,-9,-12,-8,-6,-12,-6,-13,-8,-11,-8
240,-11,2,-13,-6,-11,-7,-12,-12,-10,-13,-12,-11,-11,-10,-12,-10
241,-13,2,-12,-10,-13,-9,-12,-11,-11,-13,-13,-14,-11,-12,-11,-13
242,-14,5,-10,-11,-11,-11,-10,-12,-12,-13,-10,-14,-11,-14,-12,-15
243,-12,7,-10,-9,-10,-11,-13,-10,-12,-13,-12,-15,-8,-13,-14,-12
244,-14,10,-10,-7,-9,-11,-11,-7,-11,-15,-11,-15,-3,-14,-11,-14
245,-11,11,-10,-6,-8,-8,-9,-7,-11,-14,-7,-14,0,-12,-9,-12
246,-10,10,-8,-7,-7,-8,-9,-4,-9,-11,-6,-11,1,-10,-6,-10
247,-6,13,-4,-5,-6,-6,-8,-2,-7,-11,-4,-10,3,-10,-5,-6
248,-5,13,-3,-3,-3,-6,-6,-1,-5,-6,-3,-9,2,-8,-1,-6
249,-3,14,-2,-3,2,-3,-4,2,-3,-8,-1,-7,5,-4,-1,-7
250,-2,12,1,1,4,0,-3,3,-2,-6,2,-3,5,-2,1,-4
251,-2,13,5,1,3,-1,2,5,1,-2,4,-3,5,-2,3,-2
252,1,13,6,2,4,1,2,6,2,0,4,-1,4,-2,4,3
253,3,8,6,3,6,3,4,8,2,2,4,1,5,5,2,3
254,5,5,8,7,8,6,3,8,4,5,6,5,3,6,5,5
255,4,4,8,6,9,6,6,11,3,3,3,9,5,6,7,7
256,6,2,8,6,11,8,7,9,4,3,7,7,6,7,8,8
257,7,-1,7,8,13,7,7,9,6,7,10,8,8,11,4,10
258,8,-1,8,9,12,8,7,7,7,8,9,10,7,11,9,10
259,9,-5,8,9,14,9,9,10,7,8,8,8,5,10,7,12
260,9,-8,10,9,14,8,10,11,8,9,8,9,5,10,7,9
261,10,-8,8,10,13,9,11,11,9,9,8,10,8,11,7,11
262,10,-10,9,10,10,12,12,10,9,7,8,12,5,10,7,13
263,9,-11,6,8,9,12,11,9,10,10,8,7,6,10,7,12
264,9,-13,4,8,8,10,12,7,8,8,7,9,1,10,9,10
265,8,-12,5,8,5,12,10,5,7,10,7,9,-1,10,6,11
266,8,-11,3,6,1,9,9,3,5,10,7,9,-2,9,8,10
267,5,-13,1,5,0,6,7,-2,5,7,3,5,-6,7,2,6
268,4,-10,-1,2,-3,3,4,-2,3,4,1,5,-8,4,0,4
269,3,-8,-5,1,-5,2,3,-5,1,4,-1,5,-11,3,1,3
270,-2,-6,-9,-3,-8,0,0,-10,-1,0,-4,3,-11,0,-2,0
271,-3,-2,-11,-7,-11,-5,-2,-12,-7,-2,-7,-2,-15,-3,-7,-3
272,-8,1,-12,-8,-11,-7,-4,-15,-7,-3,-9,-4,-16,-7,-8,-5
273,-11,6,-16,-11,-15,-10,-7,-14,-10,-7,-8,-9,-16,-11,-11,-10
274,-13,11,-16,-14,-16,-12,-9,-16,-12,-9,-13,-10,-15,-14,-13,-13
275,-15,15,-17,-17,-17,-12,-12,-18,-15,-12,-15,-12,-13,-14,-16,-13
276,-16,15,-15,-17,-18,-16,-17,-16,-16,-14,-18,-15,-16,-20,-16,-16
277,-18,18,-14,-17,-18,-18,-17,-15,-17,-16,-17,-18,-14,-19,-15,-20
278,-17,17,-15,-18,-15,-17,-18,-13,-16,-21,-16,-18,-12,-20,-14,-20
279,-17,20,-14,-18,-17,-15,-17,-13,-13,-17,-13,-20,-8,-18,-15,-18
280,-15,20,-7,-14,-13,-15,-17,-9,-13,-16,-13,-19,-6,-18,-13,-17
281,-13,19,-7,-10,-9,-17,-18,-6,-12,-16,-12,-18,-2,-16,-11,-16
282,-10,18,-2,-11,-6,-14,-14,-4,-8,-13,-7,-15,2,-13,-8,-14
283,-8,18,2,-6,0,-11,-10,-2,-5,-9,-4,-12,3,-10,-4,-12
284,-5,15,8,-4,5,-8,-5,3,-5,-7,1,-9,9,-7,-1,-8
285,-1,13,11,-1,8,-7,-1,6,0,-4,5,-7,12,-3,6,-4
286,3,10,15,2,11,-1,2,10,4,0,8,-3,15,0,7,0
287,5,5,15,7,13,1,7,12,8,3,8,2,14,5,9,3
288,11,-4,18,10,14,6,10,13,13,7,11,7,15,10,12,7
289,13,-7,16,11,15,9,12,12,16,9,11,11,15,14,14,10
290,16,-12,12,15,15,12,14,13,16,13,12,14,12,17,16,13
291,15,-16,10,16,13,14,16,14,17,16,13,15,11,18,17,16
292,16,-20,8,15,11,14,16,11,16,18,12,17,9,20,12,16
293,15,-24,6,13,8,14,13,9,14,18,9,15,4,17,10,18
294,13,-24,2,8,4,12,12,5,12,15,8,15,0,15,7,17
295,9,-26,-2,8,3,11,10,2,7,13,6,14,-3,14,5,15
296,9,-24,-5,7,0,8,6,-2,4,11,2,11,-5,12,2,11
297,4,-21,-9,3,-4,5,3,-6,1,8,0,8,-8,6,-3,8
298,1,-18,-12,-2,-8,2,0,-9,-3,6,-4,5,-11,3,-3,2
299,1,-15,-11,-6,-10,-2,-2,-14,-5,1,-7,-1,-11,-1,-7,-1
300,-3,-12,-13,-9,-9,-5,-6,-15,-6,-2,-8,-5,-11,-1,-10,-5
301,-8,-5,-10,-11,-12,-7,-9,-13,-10,-7,-8,-6,-12,-5,-13,-9
302,-10,2,-9,-12,-11,-8,-9,-10,-13,-10,-9,-6,-7,-10,-13,-10
303,-12,5,-7,-14,-9,-12,-10,-10,-13,-11,-9,-11,-2,-10,-11,-11
304,-12,11,-5,-12,-6,-13,-10,-8,-10,-11,-9,-13,-1,-12,-10,-11
305,-9,15,-2,-10,-4,-13,-5,-3,-9,-10,-5,-10,5,-14,-7,-10
306,-6,14,2,-6,2,-12,-5,2,-6,-11,0,-8,10,-9,-4,-8
307,-4,16,4,-2,4,-9,-1,5,-3,-7,2,-8,11,-5,1,-7
308,-2,18,11,-1,7,-4,2,7,3,-3,4,-7,14,-2,4,-3
309,1,16,11,6,8,-1,5,13,7,-1,9,-1,13,3,8,2
310,8,15,13,9,12,3,11,14,9,2,8,3,18,4,12,5
311,10,12,16,13,15,7,12,15,12,5,12,7,17,7,12,12
312,11,11,16,15,14,11,13,17,13,10,14,10,16,10,17,10
313,15,7,14,18,16,13,14,16,15,12,15,11,12,12,18,12
314,14,3,12,19,14,13,14,16,14,14,15,13,9,13,16,15
315,16,1,6,18,11,18,14,14,14,17,14,14,5,14,13,15
316,12,-4,3,18,7,15,13,11,13,20,11,14,-1,13,12,14
317,11,-6,0,14,2,16,10,7,8,18,6,15,-8,12,7,12
318,7,-8,-5,10,-4,13,6,0,3,17,2,11,-11,10,2,10
319,2,-9,-11,7,-8,9,1,-3,-2,12,-3,9,-15,5,-4,7
320,-5,-13,-17,0,-12,7,-5,-9,-7,9,-10,5,-21,1,-8,1
321,-11,-12,-18,-7,-18,1,-10,-14,-11,2,-16,0,-24,-5,-14,-6
322,-14,-13,-21,-11,-21,-4,-13,-19,-18,-3,-17,-5,-26,-12,-17,-10
323,-19,-12,-23,-15,-25,-12,-17,-22,-18,-8,-23,-9,-27,-16,-22,-15
324,-21,-11,-24,-20,-26,-17,-21,-23,-21,-14,-26,-12,-25,-19,-26,-15
325,-22,-7,-23,-25,-23,-21,-26,-24,-22,-19,-27,-15,-24,-21,-23,-21
326,-24,-5,-20,-24,-21,-22,-24,-22,-23,-20,-25,-16,-21,-24,-25,-24
327,-27,-4,-14,-26,-17,-25,-23,-20,-24,-23,-24,-19,-14,-24,-23,-23
328,-23,-2,-10,-26,-14,-24,-22,-18,-24,-25,-23,-19,-9,-25,-20,-21
329,-22,-1,-4,-23,-9,-23,-19,-15,-21,-24,-17,-21,-3,-20,-20,-18
330,-19,1,2,-20,-4,-20,-14,-6,-15,-21,-12,-20,5,-18,-12,-17
331,-12,4,7,-14,4,-19,-7,-1,-9,-19,-5,-18,10,-13,-8,-13
332,-4,5,13,-6,8,-15,-4,6,-3,-14,0,-13,18,-9,-2,-8
