,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
72,-4,-7,-21,-11,-22,-7,-10,-3,-8,-12,-7,-8,-7,-6,-7,-26,-7,-5,-6,-15,-2,-25,-8,-8,-11,-15,-10,-6
73,-7,-11,-22,-12,-21,-10,-12,-6,-12,-14,-5,-11,-11,-7,-10,-26,-9,-8,-9,-17,-1,-25,-11,-12,-13,-16,-11,-8
74,-8,-14,-22,-13,-23,-11,-10,-11,-14,-15,-9,-10,-11,-10,-13,-28,-13,-10,-12,-18,-3,-26,-12,-12,-16,-17,-10,-12
75,-10,-13,-21,-15,-24,-13,-9,-13,-13,-15,-11,-12,-14,-10,-16,-26,-14,-12,-15,-16,-5,-26,-15,-15,-15,-17,-14,-14
76,-11,-15,-19,-16,-24,-13,-5,-13,-15,-15,-11,-15,-14,-13,-16,-25,-15,-10,-16,-16,-5,-25,-15,-18,-14,-17,-12,-14
77,-12,-16,-19,-16,-21,-12,-4,-15,-14,-14,-13,-13,-16,-12,-17,-19,-16,-11,-15,-15,-6,-23,-17,-16,-16,-18,-12,-16
78,-12,-15,-14,-15,-19,-15,-1,-16,-13,-14,-15,-14,-16,-12,-16,-18,-19,-14,-17,-11,-4,-19,-19,-15,-14,-14,-11,-14
79,-12,-13,-8,-13,-16,-15,-1,-15,-14,-15,-15,-14,-17,-13,-16,-14,-17,-15,-15,-7,-5,-18,-17,-14,-11,-12,-14,-16
80,-12,-11,-6,-11,-12,-11,2,-16,-13,-10,-16,-15,-14,-12,-15,-11,-14,-14,-14,-5,-4,-13,-15,-12,-10,-12,-12,-16
81,-9,-12,-2,-7,-9,-10,3,-15,-8,-5,-14,-14,-11,-11,-13,-5,-13,-10,-15,-1,-5,-11,-14,-11,-4,-5,-9,-12
82,-9,-6,4,-4,-6,-9,3,-13,-6,-4,-14,-10,-10,-10,-9,0,-9,-9,-11,5,-5,-5,-11,-9,0,0,-6,-7
83,-7,-2,7,0,-2,-4,5,-10,-5,1,-12,-6,-6,-7,-6,5,-5,-6,-7,5,-3,-1,-11,-4,4,3,-1,-6
84,-4,-1,13,4,2,0,6,-6,0,5,-8,-4,0,-5,-3,11,-3,-1,-3,11,-4,1,-7,1,9,6,1,-3
85,-2,6,14,8,7,4,7,-3,3,10,-4,2,6,1,2,17,2,2,0,15,-6,6,-3,6,14,14,4,1
86,2,9,17,13,11,6,10,0,8,15,1,5,11,4,7,23,6,5,4,16,-4,12,4,10,17,16,8,4
87,7,13,20,17,14,11,9,6,14,18,3,10,14,8,8,22,11,10,9,17,1,17,7,12,19,20,13,7
