,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
71,20,-35,-43,-35,-46,-22,-43,-40,-47,-38,-44,-45,-42,-45,-40,-41,-43,-42,18,-44,-37,-14,-27,13,-45,-39,-30,-17,-47,-43,-44,-36,-43,-45,-38,-44,-34,-39,-36,-46,-41,-41
72,13,-26,-46,-29,-42,-11,-45,-36,-47,-41,-41,-44,-33,-40,-43,-43,-43,-44,14,-45,-33,-15,-21,21,-41,-43,-21,-17,-48,-44,-43,-27,-44,-44,-40,-37,-24,-37,-41,-42,-37,-45
73,12,-18,-45,-17,-38,2,-44,-27,-44,-43,-35,-42,-22,-40,-45,-45,-44,-45,11,-45,-22,-11,-8,20,-36,-42,-9,-15,-43,-42,-41,-18,-43,-42,-43,-31,-16,-30,-44,-40,-30,-46
74,9,-7,-41,-4,-30,13,-41,-19,-40,-41,-27,-37,-13,-32,-39,-43,-41,-42,7,-45,-11,-10,3,16,-26,-43,2,-14,-36,-33,-36,-6,-43,-39,-42,-22,-3,-19,-43,-34,-20,-46
75,0,6,-37,9,-22,26,-34,-12,-29,-34,-15,-30,0,-23,-35,-39,-35,-32,6,-38,-1,-9,18,13,-17,-38,15,-9,-30,-25,-30,5,-41,-32,-37,-13,6,-8,-40,-29,-10,-40
76,-8,19,-26,19,-12,33,-26,2,-22,-28,-4,-20,11,-13,-28,-31,-25,-23,-1,-31,12,-8,28,9,-6,-29,26,-5,-18,-15,-20,20,-32,-24,-32,1,21,3,-37,-18,3,-33
77,-8,26,-15,30,-1,40,-18,15,-12,-16,12,-7,23,-1,-18,-21,-16,-14,-9,-22,25,-5,36,7,8,-23,35,-2,-10,-4,-8,29,-23,-14,-23,10,29,15,-30,-7,15,-23
78,-10,33,-4,36,10,43,-5,26,2,-6,26,4,34,9,-7,-11,-7,-1,-9,-10,33,-2,40,0,15,-12,40,2,3,6,1,36,-12,-2,-14,21,34,29,-19,1,26,-11
79,-11,41,8,40,20,43,7,33,14,5,34,12,39,21,3,-1,4,11,-8,0,37,-2,43,-5,26,-2,43,2,13,16,12,39,-1,8,1,34,40,36,-8,15,32,-1
80,-14,41,18,44,29,41,14,36,25,14,39,24,39,28,14,10,16,18,-9,12,41,-1,44,-6,34,10,48,3,21,26,24,40,11,19,8,37,40,41,4,25,36,11
81,-16,40,28,43,38,38,23,43,34,25,41,33,40,36,23,17,26,30,-11,18,45,3,44,-7,40,18,43,7,33,34,33,44,22,29,19,40,40,41,14,33,42,22
82,-15,39,35,38,42,36,31,45,42,31,43,41,43,44,33,28,31,37,-12,30,43,6,41,-8,46,27,42,8,40,40,39,41,29,36,30,44,37,44,24,39,43,29
83,-13,40,42,38,47,31,41,42,48,39,45,45,39,48,39,37,38,43,-10,37,41,6,36,-13,48,36,38,11,46,45,45,37,34,44,36,47,34,43,29,45,40,36
84,-14,37,44,33,52,28,46,43,49,47,40,51,36,49,45,40,45,48,-11,42,35,7,31,-11,49,41,32,12,49,49,51,35,43,48,40,41,34,38,40,51,40,44
85,-12,31,49,30,47,21,53,36,51,49,39,51,35,49,47,49,46,50,-11,49,34,11,26,-7,48,47,28,13,50,50,51,29,48,49,48,37,27,36,45,51,35,48
