,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
80,-8,-11,-9,-7,-17,-13,-10,-8,-12,-7,-13,-21,-11,-8,-16,-11,-7,-14,-7,-12,-9
81,-7,-9,-10,-11,-21,-14,-7,-9,-9,-9,-13,-20,-14,-8,-18,-9,-12,-11,-5,-11,-10
82,-8,-10,-8,-11,-22,-12,-5,-8,-10,-6,-9,-14,-11,-7,-17,-13,-11,-11,-7,-6,-7
83,-8,-9,-7,-10,-24,-12,-5,-8,-12,-6,-10,-7,-9,-7,-13,-8,-7,-8,-8,-10,-7
84,-8,-10,-6,-5,-21,-9,-4,-8,-9,-4,-9,0,-9,-7,-13,-6,-8,-6,-6,-7,-6
85,-4,-6,-4,-7,-13,-9,4,-2,-8,3,-9,2,-7,1,-10,-7,-5,-5,-11,-6,0
86,5,-1,2,-7,-4,-5,7,3,-4,4,-4,4,-3,4,-2,-4,0,1,-9,2,2
87,5,2,7,0,2,3,8,6,0,7,1,12,6,6,0,0,6,8,-5,5,5
88,8,8,8,4,5,2,9,6,5,6,4,13,7,9,5,8,7,7,2,7,3
89,8,8,12,7,11,5,11,4,7,9,5,13,8,9,6,8,7,8,9,8,5
90,7,7,9,7,11,7,10,9,6,10,8,10,8,10,8,9,10,8,6,11,8
91,11,10,9,9,15,8,6,7,11,4,6,6,7,8,8,15,5,12,9,9,5
92,6,9,6,8,12,4,4,6,10,7,8,9,6,8,3,9,3,10,9,7,4
93,5,9,7,5,7,3,10,4,8,7,5,9,4,9,5,8,3,10,6,6,6
94,2,7,9,7,9,9,5,5,6,7,6,10,7,3,6,7,6,11,4,7,4
95,4,7,3,7,10,6,3,6,3,2,5,5,7,3,10,9,5,8,3,6,3
96,5,5,1,5,8,3,2,1,7,-1,3,6,5,-1,6,7,2,7,5,3,0
97,-1,1,-3,3,6,2,3,-1,1,3,2,11,3,2,4,4,2,2,2,3,0
98,0,0,-1,3,3,2,2,-1,-2,0,-1,11,2,2,7,1,3,4,-1,2,1
99,1,2,3,3,9,6,0,0,0,0,1,10,5,-1,5,-1,4,1,-2,5,-2
100,-1,3,0,2,9,1,0,1,1,0,3,9,5,-1,9,0,6,2,-2,1,1
101,-1,1,0,2,10,6,-3,-2,2,-3,1,8,3,-6,7,3,3,2,3,2,-1
102,-3,-1,-4,2,7,-2,0,-1,-1,-2,0,7,2,-3,3,-1,0,0,-2,-2,1
103,-2,2,-2,-4,5,0,5,-2,-1,2,2,3,0,-1,3,0,1,2,-1,-2,3
104,2,0,3,-1,7,4,5,4,-3,5,3,4,5,-2,6,-1,6,1,0,2,4
105,6,3,2,1,4,3,5,4,0,3,2,2,5,3,9,2,5,5,0,1,5
106,7,3,4,4,4,2,3,1,3,3,5,1,2,1,3,3,3,5,5,2,2
107,5,3,3,3,0,2,9,6,2,10,5,-1,3,8,3,1,7,1,4,3,11
108,8,8,11,1,-1,9,13,12,4,14,7,-2,6,13,13,5,8,10,5,12,13
109,13,10,14,9,0,12,10,15,7,13,12,1,11,13,9,8,13,12,5,14,13
110,10,12,13,12,-3,8,9,11,12,11,15,-1,10,16,10,12,9,11,9,10,12
111,10,11,10,10,0,10,10,10,12,11,11,1,10,15,6,12,6,11,12,13,11
112,10,9,10,10,-1,10,11,13,6,12,7,3,12,15,9,11,9,10,7,8,12
113,10,11,12,10,-1,11,6,11,9,6,6,-2,10,11,9,13,9,11,8,10,6
114,5,6,6,7,2,8,1,5,11,1,9,0,7,6,3,11,6,8,9,6,5
115,5,3,4,3,3,5,2,5,8,2,2,-4,2,6,5,8,3,5,7,1,2
116,7,2,5,3,3,4,4,5,5,5,3,-4,1,3,0,6,1,5,5,3,1
117,5,4,2,1,-1,2,4,5,3,5,5,-5,2,4,3,3,3,5,2,0,3
118,2,2,3,2,-4,4,2,-2,7,0,0,-7,3,-1,1,5,0,5,4,2,2
119,0,0,1,2,-5,2,1,1,5,-2,0,-5,1,-2,-1,3,1,0,2,0,-2
120,-1,-1,-2,-1,-9,-2,2,-3,1,-4,-2,-9,-1,-5,1,4,0,1,2,0,-4
121,-2,-2,-1,-2,-7,0,-2,-5,1,-4,-1,-6,-2,-6,-1,0,-2,-1,0,2,-5
122,-5,-5,0,-4,-8,-4,-1,-3,1,-6,1,-3,-3,-12,-1,0,-3,-1,-2,-3,-6
123,-8,-5,-3,-1,-9,-4,-8,-7,0,-8,-3,0,-6,-14,-5,1,-8,-4,2,-5,-10
124,-13,-8,-12,-4,-10,-9,-10,-10,-2,-11,-4,1,-5,-16,-8,-4,-6,-9,-2,-8,-10
125,-13,-10,-15,-9,-5,-12,-14,-16,-7,-19,-10,1,-12,-20,-13,-5,-13,-12,-7,-12,-14
126,-20,-18,-16,-11,1,-17,-18,-16,-10,-21,-13,1,-16,-24,-18,-12,-17,-18,-9,-14,-19
127,-26,-18,-21,-15,-4,-20,-21,-17,-16,-20,-15,-2,-18,-22,-17,-16,-18,-19,-13,-18,-20
128,-22,-18,-20,-17,-1,-18,-26,-21,-15,-22,-18,-2,-20,-24,-19,-21,-21,-18,-18,-18,-21
129,-25,-18,-23,-18,1,-22,-25,-23,-18,-23,-19,-1,-19,-22,-21,-24,-20,-22,-20,-19,-22
130,-24,-20,-21,-20,-1,-24,-29,-21,-22,-21,-23,-4,-22,-21,-21,-23,-23,-21,-20,-25,-23
131,-22,-20,-22,-23,1,-21,-24,-17,-23,-16,-21,-3,-20,-14,-20,-27,-20,-21,-22,-21,-20
132,-14,-15,-18,-21,0,-13,-13,-12,-23,-10,-20,-2,-19,-8,-13,-26,-15,-13,-25,-17,-8
133,-7,-9,-5,-14,2,-4,-6,-4,-19,-1,-11,-4,-8,-2,-6,-22,-6,-2,-20,-6,-4
