,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89
30,-15,-21,-18,-15,-15,-23,-22,-22,-15,-16,-14,-17,-20,-19,-17,-20,-17,-17,-17,-20,-13,-14,-21,-13,-16,-16,-16,-19,-24,-18,-18,-14,-21,-14,-19,-16,-14,-18,-15,-18,-17,-17,-20,-17,-17,-14,-19,-16,-18,-15,-19,-16,-15,-12,-19,-22,-19,-16,-13,-17,-17,-17,-20,-13,-18,-23,-20,-21,-19,-21,-19,-15,-12,-19,-18,-15,-20,-17,-17,-18,-16,-16,-23,-19,-19,-20,-17,-20,-22,-17
31,-15,-22,-19,-13,-11,-25,-21,-19,-14,-16,-15,-18,-17,-19,-16,-23,-15,-16,-15,-21,-11,-14,-19,-14,-17,-15,-14,-20,-25,-17,-17,-16,-21,-14,-19,-15,-16,-18,-16,-15,-15,-15,-20,-16,-17,-14,-18,-17,-19,-16,-17,-16,-13,-14,-17,-20,-20,-14,-13,-18,-18,-18,-16,-11,-17,-24,-19,-20,-19,-24,-16,-15,-11,-18,-20,-14,-18,-16,-17,-17,-16,-13,-25,-19,-17,-20,-16,-18,-23,-16
32,-14,-24,-19,-16,-8,-22,-21,-19,-14,-14,-14,-18,-18,-18,-14,-23,-15,-15,-15,-22,-12,-14,-18,-12,-16,-14,-16,-19,-24,-15,-14,-16,-21,-15,-17,-15,-13,-16,-11,-15,-16,-15,-17,-16,-16,-13,-18,-16,-18,-14,-18,-14,-13,-12,-16,-16,-24,-15,-13,-14,-16,-16,-16,-9,-17,-24,-18,-17,-18,-23,-15,-15,-11,-20,-17,-13,-16,-13,-16,-15,-17,-11,-25,-18,-18,-20,-15,-15,-26,-16
33,-12,-23,-20,-15,-3,-21,-20,-21,-13,-13,-15,-18,-19,-13,-12,-23,-12,-13,-13,-22,-8,-12,-21,-11,-15,-13,-17,-20,-25,-14,-17,-15,-18,-15,-16,-12,-14,-16,-9,-13,-17,-13,-17,-15,-16,-12,-16,-15,-17,-13,-17,-13,-12,-13,-16,-15,-24,-15,-14,-11,-16,-15,-15,-7,-16,-23,-17,-19,-13,-23,-15,-14,-8,-19,-16,-12,-14,-12,-13,-15,-22,-12,-23,-14,-17,-18,-15,-16,-25,-14
34,-12,-23,-22,-14,-3,-22,-18,-21,-12,-10,-14,-18,-18,-13,-10,-19,-12,-13,-14,-22,-7,-13,-22,-10,-13,-9,-15,-18,-25,-12,-16,-12,-16,-14,-14,-12,-12,-14,-9,-10,-12,-14,-14,-15,-16,-7,-14,-12,-14,-13,-14,-12,-9,-13,-15,-16,-22,-13,-12,-13,-15,-12,-17,-4,-14,-20,-15,-17,-15,-21,-13,-15,-5,-19,-16,-12,-15,-10,-12,-14,-21,-13,-21,-15,-15,-16,-14,-12,-23,-11
35,-10,-21,-20,-10,1,-19,-18,-22,-10,-10,-15,-14,-17,-11,-13,-18,-13,-14,-13,-20,-3,-12,-23,-9,-12,-11,-12,-17,-22,-14,-18,-10,-16,-15,-14,-10,-13,-13,-8,-11,-13,-12,-13,-16,-12,-6,-14,-12,-10,-12,-15,-11,-6,-13,-14,-14,-21,-13,-10,-10,-11,-10,-15,-3,-15,-20,-14,-16,-15,-17,-13,-15,-5,-17,-14,-12,-12,-9,-11,-12,-23,-9,-21,-14,-15,-14,-13,-12,-23,-12
36,-7,-21,-19,-11,5,-20,-16,-19,-8,-8,-15,-13,-18,-12,-10,-18,-8,-13,-11,-18,-2,-12,-23,-6,-13,-10,-11,-14,-19,-11,-15,-10,-13,-10,-14,-9,-13,-13,-9,-8,-12,-10,-11,-15,-11,-3,-13,-11,-11,-13,-13,-12,-3,-13,-13,-13,-23,-12,-10,-9,-12,-7,-13,2,-12,-19,-12,-18,-14,-16,-12,-17,-5,-16,-13,-12,-12,-8,-11,-10,-23,-10,-20,-14,-13,-13,-10,-13,-22,-10
37,-3,-20,-19,-11,6,-16,-15,-18,-5,-6,-11,-14,-17,-9,-10,-17,-10,-12,-7,-18,-1,-11,-20,-4,-12,-10,-9,-15,-20,-10,-13,-8,-12,-8,-13,-9,-13,-13,-6,-4,-9,-9,-10,-13,-10,-1,-8,-10,-12,-13,-11,-9,-1,-10,-12,-12,-21,-9,-8,-7,-8,-6,-12,0,-12,-16,-8,-16,-11,-16,-9,-13,-1,-15,-11,-9,-8,-4,-10,-10,-20,-7,-19,-11,-14,-13,-10,-11,-19,-11
38,-3,-21,-18,-9,7,-17,-14,-18,-2,-4,-11,-12,-16,-5,-8,-17,-7,-10,-5,-15,1,-9,-19,0,-9,-5,-8,-12,-16,-8,-10,-6,-9,-8,-10,-7,-13,-10,-2,-3,-6,-7,-7,-12,-10,4,-5,-9,-7,-12,-12,-8,2,-9,-9,-10,-21,-8,-7,-8,-7,-4,-9,5,-8,-15,-8,-15,-7,-15,-5,-12,2,-12,-7,-6,-8,3,-9,-9,-20,-6,-17,-10,-10,-12,-8,-11,-16,-9
39,-1,-19,-17,-6,12,-15,-14,-15,-2,-1,-11,-12,-12,-4,-8,-15,-7,-7,-4,-13,3,-8,-17,0,-5,-7,-7,-12,-14,-9,-8,-4,-10,-7,-12,-3,-10,-8,-1,2,-5,-5,-9,-10,-9,5,-3,-6,-7,-8,-8,-6,8,-7,-8,-10,-18,-7,-2,-6,-5,-3,-7,9,-5,-16,-5,-14,-7,-12,-7,-13,5,-12,-5,-4,-5,3,-6,-6,-17,-6,-16,-6,-7,-8,-9,-9,-16,-3
40,3,-15,-15,-5,12,-15,-14,-14,2,-1,-7,-8,-12,-1,-6,-12,-5,-4,0,-11,8,-7,-17,3,-2,-6,-4,-8,-13,-6,-8,-2,-3,-6,-9,-2,-6,-3,2,6,-3,-3,-5,-9,-6,4,-2,-4,-4,-6,-7,-1,9,-4,-6,-9,-16,-4,0,-6,-1,0,-4,10,-4,-13,-4,-11,-5,-11,-3,-9,6,-11,-5,-1,1,4,-3,-5,-17,-4,-16,-2,-5,-6,-3,-9,-14,1
41,4,-15,-14,-5,12,-12,-13,-12,5,5,-5,-5,-13,0,-3,-12,-4,-2,0,-11,10,-6,-17,2,-1,-4,-2,-7,-10,-4,-6,1,-1,-3,-7,1,-5,-2,1,6,-3,-1,-5,-5,-5,8,2,-2,-1,-3,-5,2,12,0,-3,-8,-14,-3,1,-3,2,1,-4,13,-1,-11,-5,-9,-5,-10,-1,-7,9,-10,0,1,2,9,-3,-4,-17,1,-13,-1,-2,-2,-4,-9,-15,2
42,5,-15,-14,-2,14,-11,-11,-12,7,7,-4,-2,-8,4,-1,-11,-2,2,0,-12,11,-3,-14,5,2,1,-1,-7,-10,-1,-5,3,0,0,-6,4,-4,1,2,8,0,2,-1,-5,-3,11,4,2,1,-2,-4,5,13,2,1,-5,-11,1,4,2,4,1,-1,15,1,-10,-4,-5,-2,-9,3,-2,11,-10,1,4,6,11,0,-1,-16,3,-10,0,-1,1,0,-8,-11,3
