,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
21,2,-8,9,-8,-23,-9,-5,-27,-9,0,-7,-21,-13,-22,-7,-9,-16,-11,-33,-30,-26,-9,-17,-21,-19,-20,1,-21,0,-21,0,0,-3,4,3,-1,-8,-2,5,-7,-7,-9,-12,-9,-14,-8,-18,-17,-19,-19,-10,-11,-9,-4,-14,-7,-2,4,11,12,20,4,5,-14,5,1,3,-17,-24,-12,-14,-14,-22,-14,-16,-1,-6,-3,-1,-4,-3,-4,-5,-10,-7,0,-4,-11,-12,-10,-5,-2,-3,-4,-2,-3,-11,-5,9,-9,-10,-7,-2,-5,-8,-9,-4,2,2,4,-2,4,1,-11,0,-6,-9,-9,-19,-8,-15,-8,-11,-5,-8,-4,-6,-11
22,2,-5,8,0,-15,-3,-2,-21,-5,-2,-6,-20,-10,-17,-6,-7,-17,-7,-29,-27,-20,-10,-16,-19,-19,-22,-1,-21,0,-21,-1,-4,-4,5,7,4,-5,1,8,-2,-4,-7,-10,-7,-13,-4,-15,-12,-17,-12,-9,-8,-2,-1,-8,-1,3,8,15,16,20,5,4,-13,6,2,1,-15,-22,-13,-15,-12,-20,-11,-14,-1,-6,-2,-2,-3,-2,-5,-4,-10,-8,-1,-2,-13,-11,-9,-5,-2,-1,-4,0,-3,-9,-5,9,-5,-10,-6,-4,-5,-9,-9,-2,0,2,4,1,6,1,-11,1,-9,-11,-10,-19,-13,-16,-5,-9,-1,-8,-2,-8,-9
23,1,-6,6,6,-8,5,3,-23,-1,-3,-2,-18,-7,-16,-5,-4,-13,-6,-25,-24,-19,-8,-11,-18,-18,-22,-5,-24,0,-18,0,-7,-8,12,11,5,0,3,10,0,-1,-2,-6,-3,-8,2,-9,-7,-12,-7,-9,-11,0,2,-1,3,9,12,17,18,20,4,4,-11,6,1,3,-9,-17,-10,-10,-8,-19,-10,-11,-2,-6,-2,0,-3,-3,-3,-2,-7,-11,2,-2,-10,-10,-10,-5,0,2,-3,0,-1,-10,-4,11,-3,-10,-4,-2,-3,-10,-10,-1,0,4,2,4,5,1,-13,-2,-8,-12,-12,-17,-14,-19,-4,-5,-1,-6,-1,-6,-6
24,1,-6,4,13,-1,11,12,-19,0,-2,3,-16,-3,-14,-2,-4,-12,-3,-24,-21,-14,-6,-10,-18,-18,-20,-7,-20,1,-14,-6,-10,-11,10,11,8,4,5,12,3,4,1,-1,2,-5,7,-3,-2,-6,0,-9,-9,7,9,2,6,13,18,20,18,20,4,6,-8,9,5,6,-10,-13,-8,-9,-5,-18,-8,-9,-5,-7,-1,0,0,1,-4,-3,-11,-10,0,-3,-8,-9,-8,-2,1,-1,1,1,-1,-10,-2,11,-1,-10,-2,-1,-1,-12,-10,-3,-1,0,4,3,6,1,-12,1,-11,-13,-13,-17,-18,-19,-1,-3,0,-5,0,-3,-3
25,0,-5,2,19,5,17,15,-17,4,-2,3,-11,1,-12,0,0,-7,3,-19,-17,-8,-9,-7,-18,-18,-18,-9,-18,0,-10,-9,-10,-14,12,10,11,6,8,14,8,6,5,3,6,1,10,8,5,0,8,-7,-7,11,14,7,13,13,21,18,16,18,2,3,-5,8,4,7,-7,-11,-7,-8,-5,-15,-9,-6,-3,-6,-3,0,-2,-3,-3,-3,-7,-13,-1,-2,-7,-12,-10,0,-1,-2,0,3,-3,-9,-1,11,0,-9,-2,-1,0,-13,-9,0,-1,1,2,2,5,-1,-11,4,-16,-12,-15,-19,-19,-20,1,-2,2,-3,2,-2,-2
26,1,-3,-1,18,11,18,17,-11,7,-2,6,-7,2,-8,-2,2,-5,2,-13,-12,-3,-5,-4,-17,-19,-16,-12,-18,2,-6,-12,-14,-17,13,12,12,9,11,15,10,7,7,7,9,2,10,10,13,6,13,-6,-7,15,16,14,14,17,20,15,13,20,1,1,-4,5,4,4,-5,-6,-5,-8,-1,-13,-5,-5,-6,-5,-3,0,-3,-3,-4,-4,-7,-14,-3,-1,-10,-12,-12,-2,-4,-2,2,2,-4,-7,1,9,1,-9,-5,-2,1,-13,-8,-3,1,0,3,2,2,-1,-10,4,-15,-12,-17,-20,-19,-19,1,-1,2,-2,3,0,-4
27,-2,-3,-4,19,17,21,16,-10,5,-1,8,-6,5,-4,-1,3,0,5,-9,-6,1,-8,0,-15,-17,-13,-17,-15,4,-4,-14,-18,-20,13,10,11,11,12,12,12,11,10,10,13,6,14,17,17,13,17,-5,-7,17,16,17,16,16,21,16,14,22,-2,-2,-2,8,0,4,0,-3,-2,-6,3,-11,-3,-2,-7,-4,-4,-1,-2,-4,-2,-1,-8,-16,-6,-1,-8,-9,-13,-6,-5,-5,2,-1,-3,-8,0,10,-1,-9,-1,-3,1,-16,-7,-4,-2,-2,2,0,-1,-6,-10,3,-16,-14,-16,-21,-18,-20,1,0,2,-3,2,0,-2
28,-2,-5,-7,18,18,20,12,-7,7,-6,7,-4,8,-1,0,6,4,5,-5,0,6,-8,2,-13,-14,-15,-18,-14,2,0,-18,-21,-20,12,9,13,14,10,10,14,16,12,11,14,10,14,21,20,20,21,-8,-6,16,18,18,16,14,20,12,9,18,-3,-5,2,5,0,4,0,0,-4,-1,3,-5,0,2,-7,-6,-3,-2,-3,-5,-5,-3,-8,-16,-6,-3,-11,-10,-13,-5,-8,-7,0,-1,-4,-6,-1,4,0,-11,-2,-1,-1,-13,-9,-4,-6,-2,1,-1,-2,-6,-10,5,-16,-15,-17,-20,-17,-18,0,0,1,-3,-1,0,0
29,-4,-7,-9,15,20,18,14,-2,12,-4,7,-2,10,0,2,5,3,4,0,4,9,-9,4,-16,-16,-15,-20,-10,4,0,-18,-21,-24,11,5,10,12,8,7,14,17,15,14,14,13,15,24,26,23,23,-7,-8,19,17,19,17,11,19,9,2,18,-8,-5,2,-1,0,0,2,1,-1,0,0,-5,1,4,-9,-7,-5,-5,-8,-6,-6,-1,-7,-17,-10,-6,-10,-10,-11,-6,-8,-9,1,-3,-7,-7,-2,1,-1,-10,-4,-5,-2,-12,-6,-4,-5,-4,-2,-1,-3,-8,-10,7,-17,-16,-17,-20,-19,-17,-1,1,3,-2,1,-1,-2
30,-7,-5,-12,13,19,15,11,1,8,-5,7,-1,9,2,0,6,6,2,2,7,11,-7,3,-12,-14,-15,-20,-8,4,1,-20,-21,-24,7,6,9,10,7,8,17,17,18,12,15,14,16,24,23,28,26,-8,-6,14,13,19,11,6,14,1,1,19,-8,-10,2,-1,-2,0,0,3,0,3,5,-2,-1,4,-11,-8,-6,-6,-8,-7,-6,-1,-7,-18,-13,-7,-11,-9,-14,-9,-11,-11,0,-6,-8,-6,-1,-4,-2,-11,-3,-7,-4,-12,-6,-4,-7,-5,-4,-4,-7,-9,-11,9,-16,-17,-17,-18,-18,-17,0,0,2,0,1,0,-1
