,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
116,-1,9,16,8,-4,-5,-2,14,3,-3,7,-4,10,3,1,-6,0,-5
117,-4,8,16,7,-6,-4,-3,13,4,-5,7,-4,11,5,0,-5,-2,-7
118,-5,8,16,9,-6,-7,-6,17,7,-6,5,-8,9,6,-1,-8,-4,-10
119,-8,7,17,8,-7,-9,-9,15,5,-8,5,-12,5,5,-2,-7,-5,-10
120,-9,6,14,6,-7,-7,-10,15,4,-9,4,-11,3,6,-5,-7,-7,-13
121,-11,3,15,7,-9,-7,-9,16,2,-9,3,-12,4,4,-8,-12,-8,-13
122,-12,0,13,6,-8,-8,-11,14,4,-10,3,-14,4,3,-8,-12,-8,-12
123,-13,-2,10,4,-11,-10,-11,13,4,-10,0,-13,1,3,-10,-11,-10,-13
124,-15,-4,9,2,-10,-10,-11,12,1,-12,-3,-13,-2,1,-10,-12,-12,-12
125,-15,-7,7,-2,-12,-8,-11,8,0,-12,-2,-14,-4,-2,-11,-12,-13,-10
126,-13,-5,7,-5,-11,-10,-9,6,-4,-12,-3,-14,-7,-3,-12,-13,-12,-12
127,-10,-9,6,-7,-10,-10,-9,5,-6,-11,-6,-13,-8,-3,-14,-13,-10,-11
128,-10,-11,2,-8,-12,-11,-10,4,-8,-11,-6,-14,-10,-6,-14,-15,-9,-11
129,-11,-11,-1,-7,-11,-12,-13,1,-8,-12,-8,-13,-11,-7,-13,-15,-10,-13
130,-13,-13,-3,-10,-13,-14,-15,-1,-11,-12,-10,-13,-12,-11,-13,-18,-15,-14
131,-13,-13,-6,-13,-15,-17,-16,-7,-15,-16,-11,-13,-13,-13,-16,-17,-16,-15
132,-11,-14,-8,-14,-16,-15,-16,-12,-17,-16,-13,-13,-13,-12,-16,-16,-17,-15
133,-11,-13,-13,-14,-14,-15,-16,-15,-15,-14,-15,-12,-12,-12,-18,-14,-13,-14
134,-12,-12,-15,-13,-16,-14,-15,-17,-14,-14,-14,-14,-14,-13,-17,-12,-15,-14
135,-11,-11,-16,-11,-15,-14,-13,-20,-12,-12,-12,-14,-15,-12,-16,-8,-13,-11
136,-11,-12,-17,-12,-13,-13,-13,-23,-12,-11,-13,-12,-11,-11,-14,-9,-12,-9
137,-10,-12,-18,-12,-12,-12,-10,-26,-11,-11,-13,-12,-11,-8,-13,-6,-11,-9
138,-11,-11,-18,-11,-10,-11,-9,-27,-11,-11,-12,-9,-10,-10,-10,-6,-9,-6
139,-9,-11,-20,-11,-7,-10,-8,-31,-10,-8,-12,-8,-7,-9,-10,-6,-9,-6
140,-10,-13,-25,-12,-7,-8,-8,-30,-9,-5,-13,-7,-8,-11,-7,-6,-10,-4
141,-11,-12,-24,-13,-6,-6,-6,-29,-12,-5,-14,-7,-7,-14,-8,-4,-9,-3
142,-8,-11,-25,-13,-6,-2,-5,-27,-13,-4,-13,-4,-9,-13,-6,-4,-5,0
143,-5,-11,-23,-14,-3,1,-2,-24,-11,-5,-11,-2,-12,-13,-3,-1,-5,2
144,-6,-7,-23,-14,-2,2,-1,-20,-9,-1,-12,-1,-10,-14,-3,1,-3,5
145,-4,-8,-20,-12,0,2,1,-18,-9,-1,-11,1,-9,-12,0,2,-3,5
146,-1,-5,-15,-10,0,3,2,-17,-7,2,-9,3,-8,-11,-1,2,-1,8
147,0,-4,-13,-8,0,5,4,-13,-5,2,-6,5,-9,-8,0,2,0,8
148,2,-2,-11,-9,3,9,5,-10,-5,1,-4,3,-6,-5,2,6,0,10
149,5,2,-10,-7,4,8,6,-5,-3,5,-2,7,-5,-4,5,6,3,12
150,6,4,-6,-5,6,13,10,-2,-1,7,-1,10,-4,-4,8,9,9,15
151,9,8,-2,-1,6,15,10,2,1,9,2,7,-4,-1,10,11,12,16
152,10,8,2,3,9,17,14,9,1,10,4,11,-2,1,12,14,14,17
153,13,12,5,3,11,17,13,12,7,17,7,17,2,7,14,17,14,17
154,13,11,9,7,14,19,15,16,9,19,10,19,1,9,17,17,19,20
155,18,13,13,10,16,17,17,19,11,16,13,20,4,10,17,17,22,15
156,18,13,17,12,14,18,18,21,11,19,14,18,8,11,17,18,20,16
157,16,12,19,12,16,17,16,25,12,19,13,18,11,12,18,17,19,14
158,16,15,22,12,19,17,16,24,13,18,15,18,11,15,19,16,21,17
159,18,15,22,13,18,19,20,26,12,17,12,18,9,13,18,18,21,16
160,22,16,23,15,18,20,18,25,14,19,15,17,10,15,20,17,21,16
161,21,15,23,15,20,17,15,26,16,19,16,19,12,16,20,16,18,17
162,20,14,23,16,18,15,17,25,16,18,17,17,13,17,19,16,17,14
163,21,15,22,16,17,12,14,22,16,19,16,15,14,19,16,15,15,13
164,17,16,18,16,17,10,11,19,18,17,18,15,13,18,14,11,14,11
165,19,15,18,16,16,9,12,19,18,15,16,12,17,19,12,10,11,9
166,14,15,15,15,11,7,9,16,17,13,14,10,15,17,9,7,7,6
167,11,12,14,15,10,4,8,14,16,9,13,8,15,15,7,6,4,4
168,8,13,13,12,8,2,5,12,14,7,13,5,16,16,4,5,3,4
169,5,11,13,8,8,0,4,10,12,5,11,6,16,14,3,4,2,4
170,5,11,8,9,3,-2,3,8,12,2,12,4,14,13,0,3,1,3
171,3,11,8,9,3,-3,0,6,12,2,9,2,14,10,1,0,-2,-1
172,3,6,9,7,1,-7,-2,6,8,2,9,-1,10,9,-2,-2,-1,-4
173,-1,5,5,6,-1,-8,-5,2,7,-2,5,-3,10,8,-3,-6,-3,-8
174,-4,2,3,7,-2,-8,-6,0,1,-7,5,-4,7,6,-4,-9,-5,-9
175,-5,0,3,5,-6,-11,-8,-4,-1,-9,2,-8,7,5,-7,-11,-6,-10
176,-6,-5,-2,2,-8,-12,-10,-2,-3,-9,-2,-9,3,2,-7,-11,-6,-10
177,-9,-7,-3,0,-9,-16,-12,-5,-6,-8,-4,-11,1,-1,-9,-13,-11,-16
178,-12,-10,-2,-3,-12,-16,-15,-6,-7,-10,-6,-14,-5,-6,-11,-14,-14,-18
179,-15,-11,-4,-2,-13,-18,-17,-6,-8,-14,-7,-16,-6,-8,-13,-18,-15,-19
180,-17,-16,-8,-3,-17,-17,-18,-7,-9,-17,-10,-18,-6,-10,-14,-20,-14,-22
181,-19,-18,-8,-6,-17,-19,-21,-7,-13,-17,-14,-22,-9,-16,-18,-23,-18,-21
182,-23,-21,-11,-7,-16,-21,-22,-7,-14,-20,-15,-22,-9,-17,-17,-21,-21,-22
183,-22,-19,-10,-10,-18,-17,-22,-8,-15,-24,-13,-21,-13,-20,-20,-24,-22,-22
184,-21,-19,-9,-11,-19,-17,-22,-10,-15,-22,-16,-20,-15,-21,-21,-21,-21,-20
185,-21,-19,-10,-14,-20,-14,-19,-9,-15,-20,-19,-21,-17,-21,-19,-19,-20,-17
186,-20,-19,-12,-15,-21,-13,-15,-8,-18,-19,-19,-18,-16,-21,-16,-16,-18,-15
187,-18,-22,-11,-16,-17,-11,-15,-9,-20,-17,-15,-16,-18,-21,-14,-17,-17,-14
188,-16,-19,-11,-16,-17,-10,-14,-11,-20,-14,-15,-13,-17,-21,-15,-12,-14,-13
189,-15,-18,-10,-17,-16,-10,-13,-13,-20,-13,-14,-11,-17,-20,-13,-13,-13,-10
190,-12,-18,-13,-17,-13,-6,-10,-13,-19,-11,-16,-11,-16,-19,-12,-10,-11,-9
191,-10,-16,-13,-17,-13,-5,-8,-17,-18,-11,-17,-8,-18,-20,-10,-7,-8,-7
192,-11,-13,-13,-18,-10,-4,-6,-16,-18,-10,-18,-3,-18,-18,-7,-5,-5,-4
193,-9,-10,-11,-17,-7,-2,-5,-16,-15,-8,-14,-3,-18,-15,-6,-4,-5,-2
194,-6,-8,-13,-16,-4,0,-2,-13,-13,-4,-15,2,-16,-13,-2,-3,-2,-1
195,-3,-5,-11,-13,-6,0,1,-12,-12,-2,-13,3,-13,-8,-2,-1,-1,2
196,-1,0,-11,-10,-1,-1,2,-12,-7,0,-10,4,-11,-6,0,3,2,0
197,-3,3,-11,-9,2,-1,2,-11,-4,2,-9,3,-9,-4,1,5,3,1
198,-1,3,-9,-6,2,5,2,-12,-1,3,-7,4,-7,-1,2,4,3,2
199,2,5,-8,-3,3,7,5,-12,1,5,-3,4,-4,2,3,6,4,5
200,2,7,-8,-2,5,8,5,-10,4,10,0,9,-2,3,4,7,6,10
201,3,10,-8,1,8,10,9,-9,8,12,3,14,2,7,6,11,7,16
202,7,12,-6,6,9,13,14,-8,10,14,5,16,3,7,8,15,9,17
203,12,16,-2,7,11,17,16,-4,16,16,7,17,6,11,13,17,14,19
204,15,15,-3,9,13,16,17,-2,14,18,10,18,9,14,13,19,15,20
205,17,15,0,12,14,16,17,-1,16,18,13,19,11,18,15,18,15,20
206,19,14,-1,14,18,17,19,1,17,19,18,18,16,19,16,20,13,19
207,19,15,-1,17,16,15,18,2,14,17,17,18,18,20,16,19,17,18
208,18,14,4,14,16,14,18,6,16,15,15,17,19,18,15,18,16,17
209,16,12,3,13,16,14,16,8,15,15,15,15,18,16,13,17,14,15
210,16,14,6,13,14,13,17,8,12,13,14,16,17,12,14,14,15,13
211,11,15,10,15,14,12,14,13,12,12,15,14,17,14,13,13,11,12
212,11,13,13,13,13,11,15,15,14,12,13,14,17,14,12,11,12,10
