,0,1,2
527,-58,-56,-60
528,-61,-60,-66
529,-67,-66,-63
530,-65,-66,-62
531,-58,-65,-56
532,-49,-57,-49
533,-38,-48,-37
534,-27,-37,-25
535,-10,-20,-10
536,6,-6,4
537,20,7,17
538,33,22,30
539,41,35,39
540,51,45,47
541,55,50,51
542,59,55,56
543,58,55,56
544,52,54,51
545,45,50,43
546,36,45,33
547,27,37,25
548,16,25,14
549,4,12,2
550,-8,1,-9
551,-19,-10,-18
552,-28,-22,-27
553,-37,-33,-36
554,-43,-40,-44
555,-45,-46,-49
556,-44,-49,-47
557,-44,-48,-46
558,-40,-45,-40
559,-35,-41,-32
560,-26,-33,-24
561,-14,-23,-13
562,-5,-13,-2
563,7,-3,7
564,19,9,18
565,25,21,26
566,33,30,35
567,39,36,41
568,46,42,43
569,47,47,47
570,46,47,46
571,45,45,43
572,38,40,40
573,30,34,32
574,22,28,22
575,11,18,12
576,-5,7,-3
577,-14,-6,-13
578,-26,-16,-26
579,-38,-26,-37
580,-43,-36,-44
581,-46,-44,-51
582,-50,-47,-50
583,-48,-51,-50
584,-48,-49,-48
585,-43,-49,-44
586,-35,-42,-37
587,-27,-36,-28
588,-16,-28,-20
589,-7,-18,-7
590,7,-4,6
591,15,8,15
592,24,17,23
593,35,26,35
594,45,37,44
595,51,48,53
596,53,55,52
597,53,57,54
598,52,60,52
599,46,60,47
600,37,52,37
601,30,44,27
602,20,35,17
603,8,22,7
604,-1,10,-3
605,-14,-3,-15
606,-24,-18,-28
607,-33,-28,-36
608,-38,-36,-44
609,-49,-44,-51
610,-53,-51,-56
611,-54,-56,-56
612,-54,-58,-55
613,-49,-57,-50
614,-44,-51,-42
615,-33,-43,-35
616,-21,-34,-24
617,-11,-25,-11
618,0,-11,-3
619,10,-1,9
620,21,9,23
621,33,22,32
622,40,32,41
623,48,39,48
624,51,44,51
625,54,50,53
626,51,50,51
627,47,48,46
628,39,44,39
629,30,40,31
630,22,28,20
631,14,19,9
632,-1,11,-2
