,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
110,39,30,36,40,27,30,41,38,29,33,34,38,31,28,38
111,43,40,44,45,34,38,47,46,37,41,39,45,37,36,47
112,46,46,48,49,40,45,53,51,44,46,45,50,43,41,52
113,48,52,52,44,48,50,49,53,46,53,49,52,44,47,51
114,43,51,46,39,51,50,44,46,46,51,49,47,44,50,47
115,39,48,40,34,48,44,38,40,42,47,43,42,40,45,42
116,37,41,36,29,43,38,35,36,37,43,38,34,37,42,36
117,26,35,28,18,38,33,24,29,32,39,33,26,29,35,28
118,13,30,16,7,33,26,12,18,23,28,24,16,22,26,16
119,6,19,1,-3,23,13,3,3,12,16,14,6,11,16,4
120,-6,6,-8,-16,11,1,-8,-7,1,3,1,-5,-2,5,-6
121,-16,-6,-18,-24,0,-8,-19,-17,-11,-9,-10,-15,-13,-7,-18
122,-25,-15,-26,-29,-11,-17,-27,-26,-20,-18,-18,-24,-22,-17,-26
123,-32,-25,-32,-36,-20,-28,-34,-30,-27,-26,-26,-31,-29,-26,-34
124,-38,-34,-35,-41,-29,-35,-38,-37,-31,-35,-32,-37,-38,-31,-40
125,-44,-38,-41,-44,-33,-38,-41,-42,-35,-40,-38,-43,-40,-38,-45
126,-44,-41,-41,-40,-39,-42,-40,-42,-37,-46,-38,-43,-41,-40,-45
127,-43,-42,-41,-37,-42,-43,-40,-42,-37,-46,-39,-39,-41,-40,-45
128,-39,-43,-38,-32,-42,-40,-37,-38,-36,-42,-39,-36,-38,-39,-42
129,-34,-36,-34,-28,-38,-38,-30,-34,-32,-37,-34,-33,-35,-36,-35
130,-30,-31,-27,-21,-34,-30,-23,-24,-24,-31,-27,-26,-26,-31,-27
131,-20,-23,-21,-14,-28,-24,-16,-18,-18,-25,-19,-21,-19,-26,-23
132,-12,-13,-13,-6,-21,-20,-10,-10,-13,-17,-14,-11,-13,-18,-13
133,-3,-7,-3,3,-16,-10,-2,-4,-5,-11,-6,-3,-7,-10,-3
134,7,2,3,13,-7,-1,8,7,3,-2,1,6,2,-4,6
135,13,10,13,19,2,8,18,15,11,9,9,14,11,5,16
136,18,19,20,22,11,17,21,18,17,16,17,19,18,13,21
137,23,23,23,28,17,22,26,23,21,18,20,23,25,19,27
138,28,24,28,31,20,28,29,32,23,23,28,31,28,26,35
139,35,29,34,37,24,34,36,37,32,31,30,35,33,27,39
140,36,34,36,37,30,39,36,34,36,36,38,38,38,31,44
141,35,36,35,36,35,40,32,35,35,37,39,37,39,37,43
142,33,33,33,34,35,38,34,36,32,36,36,36,36,35,40
143,30,27,32,32,35,35,33,33,32,33,33,33,34,34,38
144,28,28,31,29,35,35,27,29,31,32,32,32,31,32,34
145,26,24,28,22,32,30,24,29,28,31,29,24,26,31,29
146,17,20,19,12,30,24,14,22,22,24,24,16,21,27,19
147,8,14,11,5,22,18,8,12,13,17,17,8,12,18,9
