,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
116,1,-6,-11,-12,3,0,-12,-3,-13,-14,-7,-13,1,-2,-12,-12,5,-10,-12,2,1
117,-1,-5,-11,-12,1,-3,-10,-2,-15,-12,-9,-14,0,-4,-12,-13,5,-12,-13,3,-2
118,-3,-3,-10,-10,2,-4,-8,0,-9,-14,-7,-13,2,-5,-9,-10,1,-10,-10,3,-3
119,-3,-3,-8,-8,3,-4,-3,0,-8,-10,-7,-10,2,-3,-7,-10,0,-9,-7,1,0
120,-4,-2,-4,-7,2,-3,0,0,-5,-9,-5,-5,0,-2,-3,-8,-1,-6,-7,0,1
121,-6,1,-2,-5,0,-6,-3,2,-4,-12,-2,-6,-1,-2,0,-5,-1,-3,-5,-3,0
122,-4,2,0,0,0,-6,0,1,0,-7,1,-2,0,-1,2,-3,-3,-1,-1,-6,0
123,-4,2,4,4,-3,-5,4,-1,3,-3,1,1,-3,-1,2,4,-3,2,0,-3,2
124,-4,3,4,4,-5,-3,6,-2,2,2,5,2,-3,-4,4,5,-7,7,4,-5,1
125,-3,4,7,8,-6,1,7,-1,5,4,5,5,-5,-2,7,7,-6,8,3,-5,4
126,-2,0,10,9,-7,2,8,-2,6,5,8,8,-4,-1,7,8,-6,8,6,-7,6
127,1,-2,9,10,-6,5,8,-2,6,8,8,9,-6,-1,9,8,-8,11,9,-6,5
128,5,-4,10,9,-6,7,8,-4,8,9,12,10,-7,-4,11,9,-8,13,7,-2,4
129,5,-2,10,13,-6,9,8,-3,10,9,12,9,-7,-2,10,8,-5,12,8,-3,7
130,8,-7,7,11,-7,10,9,-2,9,10,9,11,-8,-3,8,10,-4,13,8,-4,7
131,10,-5,7,8,-5,12,9,-4,6,10,7,10,-5,-4,5,7,-2,12,7,-4,8
132,11,-6,7,11,-1,14,7,-3,8,10,6,11,-3,-4,5,5,0,13,7,-1,6
133,9,-2,5,8,-1,12,2,-2,6,10,6,7,1,-1,3,5,2,10,5,3,7
134,11,-5,3,8,0,14,2,-4,4,8,3,5,2,-1,4,5,4,9,3,8,8
135,10,-7,2,5,2,12,-2,-2,-1,3,1,2,6,-1,2,5,7,5,2,10,7
136,9,-7,0,2,4,8,-4,0,1,5,-1,0,7,-2,0,1,12,2,0,13,4
137,8,-3,-2,-1,8,11,-4,-2,0,2,-4,0,9,-2,-1,-2,11,-2,-3,11,4
138,9,-2,-1,-3,9,10,-5,-1,-2,-2,-3,-3,12,0,-5,-4,12,0,-3,13,4
139,6,-1,-3,-3,10,5,-7,0,-1,-2,-3,-4,12,0,-5,-5,15,-2,-7,13,0
140,5,-1,-2,-6,11,5,-4,-3,-6,-2,-5,-6,10,4,-7,-6,16,-5,-9,14,-3
141,-1,1,-3,-8,9,0,-3,-1,-6,-7,-5,-5,14,3,-11,-7,15,-6,-10,8,-8
142,-3,1,-5,-6,12,-2,-3,-1,-5,-7,-5,-6,12,3,-9,-7,12,-9,-11,8,-10
143,-7,0,-6,-8,11,-5,-1,-2,-4,-10,-4,-6,13,2,-8,-7,12,-10,-10,3,-13
144,-9,1,-8,-7,10,-12,-2,1,-4,-8,-4,-3,9,1,-8,-3,6,-10,-10,6,-16
145,-10,0,-4,-5,6,-15,0,0,-7,-9,-3,-2,8,-1,-8,-4,4,-11,-8,1,-20
146,-15,-1,-4,-4,5,-17,-1,-1,-4,-9,-2,-6,3,-3,-6,-3,-1,-10,-7,-5,-22
147,-18,-1,-1,-6,-1,-19,-2,-2,-1,-8,-1,-5,0,-4,-4,-4,-3,-14,-4,-10,-21
148,-19,-1,0,-4,-5,-21,-1,-4,-4,-8,-1,-4,-6,-6,-3,-3,-7,-7,-4,-10,-23
149,-22,-2,-1,-2,-5,-21,-5,-5,-2,-3,-1,-4,-10,-4,-3,-2,-12,-9,-3,-11,-23
150,-22,-4,2,-2,-9,-21,0,-4,1,-4,-1,-3,-14,-8,-3,-3,-15,-6,-2,-15,-25
151,-21,-5,1,-3,-14,-22,-1,-4,0,-2,0,-3,-17,-9,0,-3,-18,-2,-4,-16,-22
