103,-12,11,1,,0
104,-2,22,10,,0
105,10,33,17,,0
106,16,39,24,,0
107,26,44,29,,0
108,34,49,33,,33
109,38,50,32,,32
110,40,46,33,,33
111,43,41,35,,35
112,42,35,31,,31
113,39,27,26,,0
114,33,17,21,,0
115,25,3,13,,0
116,16,-9,7,,0
117,8,-24,-2,,0
118,-4,-36,-9,,0
119,-14,-46,-18,,0
120,-22,-55,-22,,0
121,-32,-57,-29,,0
122,-37,-59,-35,,0
123,-42,-59,-39,,0
124,-43,-54,-39,,0
125,-40,-47,-35,,0
126,-34,-40,-31,,0
127,-30,-26,-26,,0
128,-24,-14,-19,,0
129,-16,4,-10,,0
130,-7,18,2,,0
131,1,31,11,,0
132,7,47,21,,0
133,14,60,31,,31
134,19,68,38,,38
135,23,68,42,,42
136,25,69,45,,45
137,26,64,45,,45
138,25,56,39,,39
139,21,45,32,,32
140,21,31,26,,0
141,21,12,20,,0
142,17,-7,7,,0
143,10,-30,-1,,0
144,6,-46,-12,,0
145,3,-61,-20,,0
146,-1,-77,-29,,0
147,-5,-87,-33,,0
148,-7,-94,-37,,0
149,-8,-93,-40,,0
150,-11,-88,-40,,0
151,-16,-82,-35,,0
152,-12,-66,-27,,0
153,-16,-50,-22,,0
154,-16,-30,-12,,0
155,-17,-11,-4,,0
156,-16,8,8,,0
157,-17,27,19,,0
158,-15,46,27,,0
159,-13,61,28,,0
160,-10,73,36,,36
161,-9,82,40,,40
162,-4,89,39,,39
163,0,86,37,,37
164,2,80,33,,33
165,5,73,27,,0
166,7,66,18,,0
167,11,50,9,,0
168,14,36,0,,0
169,14,18,-9,,0
170,17,-2,-17,,0
171,19,-19,-23,,0
172,20,-32,-29,,0
173,18,-48,-32,,0
174,15,-63,-34,,0
175,14,-75,-32,,0
176,13,-79,-31,,0
177,10,-81,-27,,0
178,9,-80,-18,,0
179,7,-73,-10,,0
180,2,-63,-3,,0
181,-2,-49,4,,0
182,-5,-36,10,,0
183,-10,-16,16,,0
184,-13,1,23,,0
185,-17,15,27,,0
186,-21,34,32,,32
187,-20,48,35,,35
188,-17,61,35,,35
189,-18,73,32,,32
190,-14,82,26,,0
