,0,1,2,3,4,5,6,7,8
171,36,36,36,30,34,31,36,50,20
172,42,42,41,40,42,42,49,54,28
173,51,49,49,43,47,48,48,56,39
174,52,51,50,51,50,49,51,55,42
175,49,52,52,53,53,55,51,50,49
176,51,50,49,53,50,50,44,45,49
177,44,45,48,46,47,47,41,38,51
178,38,43,39,38,39,44,33,30,49
179,31,36,33,35,31,36,28,20,41
180,22,26,22,28,22,28,15,4,38
181,10,14,12,12,12,15,0,-6,26
182,0,5,-4,0,1,3,-8,-18,17
183,-14,-6,-14,-10,-10,-9,-17,-29,7
184,-24,-20,-24,-19,-21,-19,-30,-40,-6
185,-35,-31,-33,-31,-31,-29,-37,-48,-13
186,-42,-40,-44,-42,-42,-42,-47,-55,-26
187,-51,-48,-48,-47,-46,-49,-51,-59,-36
188,-55,-51,-53,-54,-54,-56,-53,-57,-45
189,-59,-53,-57,-56,-55,-60,-54,-56,-52
190,-57,-54,-56,-57,-56,-61,-53,-51,-57
191,-52,-54,-53,-57,-55,-59,-50,-40,-57
192,-48,-46,-42,-47,-48,-48,-40,-32,-55
193,-37,-37,-36,-40,-43,-38,-30,-20,-53
194,-28,-30,-27,-29,-29,-29,-19,-11,-45
195,-19,-17,-14,-21,-20,-18,-7,4,-34
196,-4,-5,-2,-7,-7,-6,7,19,-24
197,9,10,14,8,10,7,22,30,-9
198,25,23,27,20,21,19,32,41,3
199,34,33,36,35,33,31,43,50,15
200,47,44,47,46,46,39,54,57,31
201,56,51,54,55,55,50,59,64,41
202,59,59,61,62,62,61,62,60,53
203,62,66,63,64,61,62,64,62,58
204,60,61,60,64,64,60,60,55,65
205,59,58,60,58,58,58,51,47,65
206,53,53,53,55,54,55,44,38,60
207,42,46,43,45,46,45,34,22,58
208,32,34,30,33,31,34,20,11,50
209,19,19,16,20,19,22,6,-8,38
210,3,8,2,4,2,8,-11,-22,22
211,-15,-11,-15,-12,-12,-9,-26,-32,10
212,-27,-26,-26,-27,-28,-18,-36,-43,-2
213,-36,-36,-38,-39,-43,-31,-47,-50,-20
214,-49,-47,-46,-45,-49,-41,-54,-58,-32
215,-54,-55,-55,-56,-58,-53,-61,-60,-44
216,-59,-62,-61,-59,-62,-57,-62,-61,-51
217,-63,-60,-60,-65,-65,-61,-62,-58,-57
218,-63,-58,-59,-62,-63,-64,-59,-49,-65
219,-58,-56,-52,-56,-55,-56,-48,-42,-60
220,-49,-48,-46,-52,-50,-48,-45,-34,-60
221,-43,-40,-38,-43,-40,-44,-32,-22,-53
222,-29,-33,-26,-33,-29,-36,-18,-7,-43
223,-16,-19,-17,-17,-16,-22,-4,8,-37
224,-2,-7,0,-5,3,-6,9,18,-23
225,10,9,13,8,14,5,23,30,-12
226,22,23,24,25,27,20,35,40,5
