,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
50,1,5,-2,4,7,7,1,7,19,4,-21,-7,-11,-13,-14,-13,-12,-10,-14,-12,11,7,-8,10,12,10,18,-7,-15,-1,-5,-21,11,15,8,17,9,21,6,19,14,41,41,42,39,11,9,29,21,12,20,13,-24,1,58,8,11,8,8,6,-129,5,1,1,-2,-1,-10,-14
51,6,8,1,7,11,13,7,5,21,10,-14,-2,-4,-7,-7,-6,-10,-6,-8,-7,16,8,-4,9,9,8,18,-4,-14,-5,-6,-22,12,16,12,23,13,25,11,18,15,44,42,43,44,18,8,32,23,11,26,13,-18,2,55,13,17,7,8,11,-124,5,1,2,-3,0,-9,-8
52,10,12,7,10,14,15,9,5,24,17,-7,5,0,-2,-2,1,-1,2,-4,1,22,13,0,8,11,8,16,-1,-13,-7,-9,-21,13,20,17,25,16,26,13,20,17,44,44,48,46,22,9,36,20,9,30,17,-12,2,55,19,25,10,10,19,-116,4,-2,0,-5,4,-11,-6
53,14,17,11,11,18,18,14,15,32,22,1,12,7,7,5,10,8,9,3,9,26,14,7,7,8,7,13,3,-11,-7,-10,-19,13,23,24,28,17,29,17,20,17,45,46,49,48,28,7,38,23,8,36,15,-8,3,55,24,30,8,10,28,-103,2,-3,1,-7,4,-9,-4
54,18,17,17,15,22,21,21,27,39,26,7,18,12,13,14,14,12,16,8,16,29,15,9,7,7,7,12,3,-10,-9,-14,-17,15,21,27,31,17,29,18,18,17,43,45,49,48,32,8,37,24,8,36,15,-3,5,53,26,35,8,10,34,-91,-1,-5,-1,-9,6,-6,-1
55,22,20,22,20,26,24,26,23,39,28,13,25,16,16,16,19,17,21,16,24,33,19,15,6,7,5,9,4,-12,-11,-15,-17,19,22,33,28,18,27,18,20,18,39,45,47,47,34,5,36,23,7,37,15,3,7,51,30,37,7,16,40,-75,1,-7,-2,-10,8,-4,1
56,21,19,24,21,22,24,27,12,36,28,17,25,21,21,23,26,23,25,20,30,35,19,19,7,8,4,11,7,-12,-12,-17,-17,19,17,36,28,19,24,19,19,17,37,40,43,44,36,6,33,23,6,42,14,11,9,49,34,43,9,14,47,-61,-2,-5,-4,-10,13,-2,5
57,22,18,25,20,23,19,30,10,38,28,22,28,22,27,28,32,27,26,25,35,33,22,24,10,8,4,9,6,-8,-13,-13,-13,19,15,41,22,16,21,17,13,14,34,39,38,40,38,4,31,23,5,42,13,16,8,46,35,47,10,15,50,-42,-4,-8,-6,-8,17,2,9
58,19,20,23,17,22,17,33,11,42,30,28,31,26,30,30,32,28,31,28,36,32,20,25,10,7,7,6,8,-10,-14,-16,-9,20,13,47,19,13,17,18,13,14,30,32,34,35,40,3,28,22,5,44,12,23,7,44,37,49,12,16,53,-26,-5,-7,-5,-9,21,6,8
59,21,20,21,14,18,18,35,-3,44,26,30,30,27,31,30,35,30,31,30,38,29,15,27,12,7,9,3,11,-7,-16,-14,-5,18,8,48,15,11,10,14,13,10,25,28,27,27,41,1,22,20,2,44,11,28,12,38,39,49,9,14,59,-9,-7,-7,-6,-9,26,8,7
