,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111
24,-54,88,42,-20,-23,-29,-30,-29,-27,-23,-27,-26,-27,-30,-29,-31,-32,-30,-28,-28,-28,-29,-26,-29,-28,-29,-25,-30,-25,-28,-27,-32,-24,-34,-33,-39,-36,-29,-25,-28,-30,-30,-24,-30,-28,-30,-39,-30,-29,-40,-24,-25,-28,-32,-27,-34,-26,-36,-23,-30,-29,-27,-33,-36,-29,-36,-24,-40,-38,-26,-32,-26,-40,-28,-31,-24,-30,-39,-25,-32,-28,-41,-29,-27,-31,-24,-43,-24,-43,-37,-40,-41,-23,-22,-25,-42,-34,-26,-41,-25,-30,-31,-36,-28,-37,-33,-32,-40,-42,-37,-30,-38
25,-65,76,40,-21,-27,-31,-31,-29,-27,-24,-27,-27,-29,-32,-29,-32,-31,-32,-27,-29,-30,-31,-28,-28,-28,-29,-28,-30,-28,-30,-30,-31,-27,-34,-33,-40,-36,-30,-24,-30,-31,-31,-28,-29,-30,-31,-42,-30,-29,-39,-27,-27,-30,-31,-28,-34,-27,-39,-26,-29,-28,-29,-32,-36,-30,-40,-27,-43,-38,-32,-31,-29,-38,-29,-33,-29,-33,-38,-30,-34,-30,-42,-29,-28,-30,-25,-43,-22,-43,-36,-42,-40,-27,-26,-29,-40,-33,-26,-41,-29,-32,-28,-37,-28,-38,-34,-32,-39,-44,-37,-29,-36
26,-78,70,41,-22,-24,-33,-29,-29,-30,-26,-29,-27,-29,-31,-29,-30,-32,-30,-27,-30,-30,-33,-32,-29,-30,-28,-29,-32,-32,-31,-31,-32,-28,-32,-31,-37,-33,-29,-28,-32,-31,-33,-28,-29,-32,-30,-42,-29,-32,-40,-29,-28,-31,-33,-31,-31,-28,-37,-26,-29,-32,-28,-32,-39,-30,-38,-28,-40,-38,-33,-31,-30,-41,-29,-32,-30,-34,-37,-30,-35,-32,-43,-33,-29,-31,-26,-43,-25,-42,-39,-42,-40,-32,-26,-32,-40,-31,-30,-43,-28,-30,-31,-40,-30,-41,-36,-28,-41,-42,-41,-31,-39
27,-85,70,43,-21,-25,-31,-29,-31,-32,-27,-28,-24,-29,-31,-28,-30,-33,-32,-28,-31,-28,-32,-32,-28,-33,-27,-27,-30,-32,-31,-30,-34,-31,-31,-32,-37,-30,-31,-28,-33,-29,-31,-32,-31,-33,-33,-43,-30,-34,-37,-32,-30,-31,-33,-33,-30,-29,-37,-29,-31,-31,-30,-34,-38,-33,-39,-27,-42,-39,-31,-32,-32,-42,-30,-32,-28,-34,-34,-31,-34,-31,-40,-30,-32,-32,-28,-40,-26,-40,-37,-42,-38,-30,-30,-33,-41,-31,-32,-42,-28,-32,-31,-42,-32,-39,-37,-31,-42,-40,-43,-32,-41
28,-93,68,44,-22,-27,-30,-29,-30,-33,-27,-28,-16,-30,-28,-29,-31,-35,-34,-29,-31,-30,-31,-34,-29,-32,-25,-29,-29,-33,-31,-32,-31,-31,-31,-32,-33,-24,-31,-29,-33,-31,-32,-31,-31,-33,-32,-43,-29,-33,-36,-32,-31,-31,-31,-34,-25,-30,-35,-32,-29,-29,-31,-31,-39,-34,-40,-27,-42,-39,-33,-30,-31,-41,-30,-32,-32,-31,-31,-29,-36,-31,-35,-33,-28,-32,-29,-37,-27,-39,-39,-40,-36,-29,-29,-36,-37,-30,-32,-40,-29,-31,-32,-40,-32,-38,-35,-32,-41,-41,-40,-32,-40
29,-100,65,45,-22,-29,-31,-28,-29,-32,-30,-30,-12,-28,-26,-27,-30,-30,-29,-29,-31,-32,-29,-32,-29,-30,-25,-33,-28,-37,-29,-32,-31,-30,-28,-31,-29,-23,-31,-30,-33,-29,-31,-31,-29,-32,-32,-40,-27,-31,-37,-32,-29,-32,-29,-32,-24,-29,-32,-31,-28,-31,-29,-32,-37,-31,-39,-28,-40,-37,-33,-29,-33,-38,-32,-32,-35,-31,-28,-29,-33,-32,-31,-31,-27,-30,-29,-36,-29,-35,-38,-36,-34,-30,-30,-33,-37,-26,-31,-41,-30,-29,-30,-39,-32,-37,-35,-32,-40,-38,-40,-33,-39
30,-101,63,45,-22,-29,-31,-27,-29,-32,-30,-29,-15,-28,-28,-28,-27,-26,-25,-28,-27,-29,-30,-31,-28,-29,-26,-28,-25,-35,-29,-31,-29,-31,-24,-31,-27,-19,-30,-28,-33,-30,-31,-31,-29,-32,-29,-38,-25,-32,-31,-34,-32,-32,-29,-33,-21,-29,-30,-29,-26,-31,-28,-27,-34,-29,-38,-28,-38,-34,-33,-28,-32,-34,-30,-30,-34,-32,-23,-25,-32,-31,-26,-32,-29,-30,-31,-36,-26,-30,-35,-34,-31,-29,-29,-32,-36,-23,-32,-39,-30,-30,-30,-38,-30,-36,-33,-28,-37,-35,-41,-32,-38
31,-104,57,40,-21,-29,-28,-26,-27,-32,-29,-30,-17,-26,-27,-27,-29,-24,-24,-27,-27,-28,-27,-30,-27,-29,-23,-29,-24,-33,-27,-30,-27,-32,-24,-30,-23,-15,-29,-30,-32,-30,-28,-29,-28,-30,-27,-34,-24,-31,-28,-35,-31,-31,-27,-32,-19,-26,-31,-30,-27,-29,-28,-25,-33,-28,-34,-28,-35,-29,-32,-27,-31,-33,-28,-29,-32,-31,-18,-24,-29,-29,-22,-29,-27,-29,-31,-31,-27,-26,-34,-32,-28,-29,-29,-33,-31,-22,-31,-35,-29,-29,-26,-36,-30,-33,-30,-28,-36,-30,-38,-33,-35
32,-102,47,42,-18,-26,-26,-26,-23,-29,-27,-29,-15,-24,-25,-26,-25,-22,-22,-27,-24,-26,-25,-31,-25,-29,-21,-30,-21,-32,-25,-27,-23,-29,-21,-27,-16,-11,-30,-28,-32,-27,-28,-29,-26,-26,-29,-31,-23,-30,-21,-34,-32,-32,-23,-33,-16,-26,-26,-30,-26,-29,-26,-25,-30,-28,-31,-28,-29,-27,-29,-24,-29,-28,-27,-27,-32,-27,-16,-25,-27,-26,-18,-29,-23,-27,-29,-26,-28,-21,-31,-28,-24,-26,-28,-33,-28,-16,-32,-33,-27,-25,-25,-30,-28,-31,-29,-26,-34,-25,-34,-32,-33
33,-99,37,43,-18,-26,-24,-24,-24,-26,-27,-28,-10,-21,-22,-27,-24,-21,-22,-22,-22,-23,-21,-27,-25,-24,-18,-27,-21,-27,-26,-25,-20,-29,-16,-25,-9,-8,-28,-27,-29,-24,-21,-28,-23,-28,-27,-27,-18,-28,-20,-32,-33,-30,-21,-30,-13,-26,-22,-29,-21,-26,-25,-22,-28,-25,-27,-28,-25,-21,-28,-21,-25,-27,-24,-25,-31,-26,-11,-22,-25,-25,-12,-27,-22,-26,-27,-24,-25,-16,-30,-23,-20,-26,-26,-31,-23,-13,-28,-28,-27,-23,-23,-27,-28,-26,-26,-24,-30,-20,-27,-27,-28
34,-95,27,43,-19,-24,-23,-21,-25,-24,-26,-25,-4,-18,-20,-24,-22,-19,-19,-20,-20,-21,-19,-26,-22,-25,-15,-25,-16,-25,-21,-23,-18,-29,-12,-23,-6,-4,-23,-28,-26,-22,-19,-23,-21,-25,-23,-27,-17,-23,-16,-28,-29,-27,-19,-31,-8,-24,-17,-27,-21,-27,-20,-18,-22,-24,-20,-26,-23,-16,-24,-19,-24,-22,-22,-22,-28,-25,-5,-19,-20,-21,-9,-22,-22,-22,-27,-18,-26,-13,-25,-16,-16,-23,-25,-29,-19,-8,-24,-20,-24,-21,-23,-23,-25,-25,-20,-22,-26,-14,-25,-26,-24
35,-90,21,44,-18,-21,-20,-17,-24,-21,-22,-24,-6,-16,-16,-20,-18,-16,-14,-18,-18,-20,-17,-22,-19,-22,-12,-22,-15,-26,-20,-20,-13,-27,-6,-20,-3,4,-20,-26,-26,-18,-16,-22,-18,-21,-19,-19,-14,-23,-10,-25,-28,-24,-15,-28,-8,-22,-12,-25,-17,-22,-19,-16,-17,-20,-15,-23,-20,-10,-24,-16,-22,-17,-19,-20,-26,-23,-1,-17,-17,-19,-4,-19,-20,-20,-26,-11,-24,-5,-21,-13,-13,-21,-23,-24,-13,-7,-22,-15,-24,-19,-18,-18,-23,-21,-19,-19,-19,-11,-23,-22,-20
36,-83,15,41,-16,-22,-17,-15,-19,-18,-19,-21,-5,-15,-13,-17,-14,-11,-10,-17,-14,-17,-15,-21,-19,-19,-8,-20,-11,-22,-17,-17,-9,-23,-2,-15,1,7,-15,-25,-22,-13,-14,-21,-15,-17,-17,-15,-11,-18,-5,-25,-25,-19,-9,-25,-3,-18,-8,-24,-15,-21,-17,-13,-14,-20,-13,-20,-13,-6,-21,-14,-20,-15,-16,-14,-27,-17,3,-12,-12,-17,-1,-16,-16,-18,-21,-8,-22,0,-16,-6,-7,-19,-19,-21,-8,-4,-20,-10,-23,-14,-12,-14,-21,-13,-17,-15,-15,-5,-16,-20,-15
